gsis_id,player,n_seasons,n_games,mu_hat,mu_hat_h05,mu_hat_h2,mu_hat_hinf,n_eff,sigma_W,naive_v,small_sample_corr,tau2_B_untrunc,tau_B,tau2_B_untrunc_reported,cv,q25,q90,boom_raw,boom_eb,bust_raw,bust_eb
00-0033280,Christian McCaffrey,9,112,21.0408,22.0943,21.1991,22.0059,2.9883,8.8295,39.2804,9.4751,29.8053,5.4594,29.8053,0.4196,14.6,35.02,0.7768,0.7495,0.0,0.0063
00-0039139,Jahmyr Gibbs,3,49,20.7376,21.2784,20.2741,19.6898,2.3333,10.6271,9.4647,6.9385,2.5262,,,0.5125,11.6,32.96,0.6735,0.6366,0.0,0.0127
00-0038542,Bijan Robinson,3,50,20.4032,21.1792,19.8052,19.0956,2.3333,8.1994,11.1146,4.0371,7.0776,,,0.4019,11.9,29.85,0.68,0.6425,0.02,0.0287
00-0036223,Jonathan Taylor,6,83,19.1292,20.2446,18.4277,17.9401,2.9077,10.049,9.314,7.6703,1.6437,1.2821,1.6437,0.5253,11.1,31.84,0.6506,0.6297,0.0,0.0082
00-0039040,De'Von Achane,3,44,19.0455,19.5572,18.7202,18.3842,2.3333,10.1768,2.4285,7.3268,-4.8983,,,0.5343,12.625,30.55,0.7045,0.658,0.0682,0.0676
00-0032764,Derrick Henry,10,152,17.4879,17.0334,17.6953,16.2855,2.9941,9.4805,29.7606,6.1978,23.5628,4.8542,23.5628,0.5421,7.175,30.01,0.5329,0.5289,0.0592,0.0597
00-0034844,Saquon Barkley,8,106,16.6968,16.052,16.6098,16.5548,2.9767,8.7021,29.2296,9.2317,19.9979,4.4719,19.9979,0.5212,9.525,31.6,0.6226,0.6085,0.0189,0.0236
00-0037248,James Cook,4,64,16.2628,17.2568,15.2781,13.953,2.6471,7.8958,20.4776,3.9211,16.5565,4.069,16.5565,0.4855,7.975,26.47,0.4375,0.4428,0.0625,0.063
00-0035700,Josh Jacobs,7,105,16.1148,16.0261,16.1051,15.9308,2.9535,8.3417,3.2655,4.6869,-1.4214,0.0,-1.4214,0.5176,10.4,26.94,0.4857,0.4845,0.0095,0.0152
00-0040715,Cam Skattebo,1,8,15.9625,15.9625,15.9625,15.9625,1.0,8.6184,,,,,,0.5399,12.25,26.17,0.625,0.537,0.125,0.0895
00-0037840,Kyren Williams,4,53,15.8829,15.9078,15.4204,14.3892,2.6471,6.5401,55.6647,3.5251,52.1396,7.2208,52.1396,0.4118,10.0,27.06,0.5849,0.5656,0.0755,0.0737
00-0038597,Chase Brown,3,40,15.1017,16.0509,14.3013,13.3013,2.3333,7.1694,26.7449,4.5264,22.2185,,,0.4747,8.4,25.58,0.525,0.5138,0.05,0.0535
