gsis_id,player,n_seasons,n_games,mu_hat,mu_hat_h05,mu_hat_h2,mu_hat_hinf,n_eff,sigma_W,naive_v,small_sample_corr,tau2_B_untrunc,tau_B,tau2_B_untrunc_reported,cv,q25,q90,boom_raw,boom_eb,bust_raw,bust_eb
00-0037744,Trey McBride,4,56,16.0616,17.5085,14.8242,13.3037,2.6471,7.4081,22.4974,4.2943,18.2031,4.2665,18.2031,0.4612,7.775,25.4,0.5714,0.5197,0.0179,0.0472
00-0039338,Brock Bowers,2,29,14.9399,14.8373,15.0021,15.0681,1.8,8.87,0.2961,5.5923,-5.2961,,,0.5937,8.8,25.0,0.6207,0.5202,0.0,0.0518
00-0033288,George Kittle,9,123,14.7134,14.8112,14.5344,14.0204,2.9883,8.3179,7.8677,5.2885,2.5792,1.606,2.5792,0.5653,6.8,24.5,0.5854,0.5545,0.0813,0.0851
00-0030506,Travis Kelce,12,190,12.8195,11.7844,14.153,15.154,2.9985,7.3814,10.1458,3.4503,6.6955,2.5876,6.6955,0.5758,9.425,25.02,0.6474,0.6187,0.0368,0.0457
00-0038996,Tucker Kraft,3,34,12.4089,13.4798,11.6858,10.9021,2.3333,6.6384,11.9231,4.2232,7.6999,,,0.535,5.75,17.15,0.3235,0.3597,0.0588,0.0785
00-0039065,Sam LaPorta,3,41,11.8916,11.7823,12.0391,12.2603,2.3333,6.7075,2.7501,3.5483,-0.7983,,,0.5641,6.9,20.2,0.5122,0.4717,0.0244,0.057
00-0034351,Dallas Goedert,8,99,11.7846,12.0864,11.4677,10.8058,2.9767,6.4034,3.5825,3.4369,0.1456,0.3816,0.1456,0.5434,6.8,20.34,0.404,0.4047,0.0808,0.0854
00-0040663,Harold Fannin Jr.,1,16,11.65,11.65,11.65,11.65,1.0,5.7291,,,,,,0.4918,8.2,18.95,0.5,0.4428,0.0,0.066
00-0040128,Tyler Warren,1,17,11.0882,11.0882,11.0882,11.0882,1.0,4.8784,,,,,,0.44,7.6,18.06,0.4706,0.4324,0.0,0.0647
00-0040126,Colston Loveland,1,15,11.0067,11.0067,11.0067,11.0067,1.0,8.3246,,,,,,0.7563,5.6,23.62,0.3333,0.3801,0.1333,0.1109
00-0034753,Mark Andrews,8,115,10.5989,9.2776,11.6081,12.1716,2.9767,7.5275,11.6349,4.0349,7.6,2.7568,7.6,0.7102,6.1,23.48,0.4696,0.4582,0.0696,0.0761
00-0036970,Kyle Pitts,5,77,10.3472,11.3216,9.7534,9.2987,2.8182,6.9958,4.2087,3.3179,0.8908,0.9438,0.8908,0.6761,4.6,15.96,0.3247,0.3454,0.1039,0.1028
00-0038041,Jake Ferguson,4,50,10.2421,10.9204,9.762,9.2045,2.6471,5.5782,6.5881,3.1266,3.4615,1.8605,3.4615,0.5446,4.6,17.27,0.38,0.3893,0.12,0.1124
00-0038933,Dalton Kincaid,3,40,10.108,10.6584,9.8062,9.5371,2.3333,5.1559,3.456,2.041,1.4151,,,0.5101,5.65,16.17,0.325,0.3573,0.125,0.1141
00-0033090,Hunter Henry,9,123,9.9315,10.2908,9.8328,10.1502,2.9709,6.1828,1.626,2.8423,-1.2163,0.0,-1.2163,0.6225,4.9,17.2,0.4146,0.4134,0.1707,0.1565
00-0040189,Oronde Gadsden II,1,13,9.7923,9.7923,9.7923,9.7923,1.0,7.5977,,,,,,0.7759,4.3,17.4,0.3846,0.3997,0.0769,0.0932
00-0035229,T.J. Hockenson,7,93,9.5258,8.4907,10.3633,10.838,2.9535,6.7994,8.9667,3.5989,5.3679,2.3169,5.3679,0.7138,6.2,18.8,0.3871,0.3915,0.129,0.1218
00-0034383,Dalton Schultz,7,102,9.509,9.7779,9.4327,8.9791,2.9307,6.0246,7.8002,2.8193,4.9809,2.2318,4.9809,0.6336,4.25,18.25,0.3529,0.3639,0.1667,0.1511
00-0036040,Juwan Johnson,6,67,9.2564,9.9596,8.5231,7.3221,2.9077,5.5809,11.7966,4.8822,6.9144,2.6295,6.9144,0.6029,3.55,15.72,0.3284,0.3503,0.2388,0.1949
00-0036894,Pat Freiermuth,5,68,8.9306,8.6834,9.1248,9.3811,2.8182,5.3876,1.0514,2.2347,-1.1833,0.0,-1.1833,0.6033,6.1,15.62,0.3529,0.3679,0.0735,0.0818
00-0038935,Brenton Strange,3,25,8.8983,9.6778,8.3399,7.7081,2.3333,4.839,7.8646,4.021,3.8436,,,0.5438,4.5,14.66,0.28,0.3447,0.2,0.1446
00-0037838,Isaiah Likely,4,44,7.5689,6.8484,7.9463,8.1988,2.6471,6.1491,4.6584,3.5105,1.1479,1.0714,1.1479,0.8124,3.575,18.14,0.25,0.3082,0.2273,0.1746
00-0037809,Chig Okonkwo,4,60,7.1616,7.2065,7.1671,7.2165,2.6471,4.6155,0.3097,1.4508,-1.141,0.0,-1.141,0.6445,3.875,13.27,0.15,0.2274,0.1667,0.1439
