frame,window,pos,bin,hitdef,tier,outcome_def,n,k,rate,wilson_lo,wilson_hi,n_per_season
12team,2015-2024,RB,R1-2,top12_T,top12,total,123,66,0.5365853658536586,0.44868827716312104,0.6222663623242395,12.3
12team,2015-2024,RB,R1-2,top12_P,top12,ppg_ge4,115,65,0.5652173913043478,0.4739559762173702,0.6522624523463649,11.5
12team,2015-2024,RB,R1-2,top24_T,top24,total,123,89,0.7235772357723578,0.6386804892834868,0.794931196472606,12.3
12team,2015-2024,RB,R1-2,top24_P,top24,ppg_ge4,115,97,0.8434782608695652,0.7661108636409549,0.8986395267947175,11.5
12team,2015-2024,RB,R1-2,top36_T,top36,total,123,102,0.8292682926829268,0.7530576906610562,0.8855340647251893,12.3
12team,2015-2024,RB,R1-2,top36_P,top36,ppg_ge4,115,110,0.9565217391304348,0.9022408250995758,0.981288174846571,11.5
12team,2015-2024,RB,R1-2,value_T,value,total,123,53,0.43089430894308944,0.34678176065773125,0.5191928091994765,12.3
12team,2015-2024,RB,R1-2,value_P,value,ppg_ge4,115,53,0.4608695652173913,0.37250496228084184,0.5517639805809169,11.5
12team,2015-2024,RB,R3-4,top12_T,top12,total,90,22,0.24444444444444444,0.16732663395366268,0.3424856454618631,9.0
12team,2015-2024,RB,R3-4,top12_P,top12,ppg_ge4,89,29,0.3258426966292135,0.2374382846345705,0.42865967145407946,8.9
12team,2015-2024,RB,R3-4,top24_T,top24,total,90,52,0.5777777777777777,0.4746099802268749,0.6745775869075303,9.0
12team,2015-2024,RB,R3-4,top24_P,top24,ppg_ge4,89,56,0.6292134831460674,0.5254685409761142,0.7222652335387585,8.9
12team,2015-2024,RB,R3-4,top36_T,top36,total,90,65,0.7222222222222222,0.6220457832888489,0.8042044085237374,9.0
12team,2015-2024,RB,R3-4,top36_P,top36,ppg_ge4,89,73,0.8202247191011236,0.72774687912431,0.8862020403255917,8.9
12team,2015-2024,RB,R3-4,value_T,value,total,90,31,0.34444444444444444,0.2544576592146297,0.44716720651655983,9.0
12team,2015-2024,RB,R3-4,value_P,value,ppg_ge4,89,37,0.4157303370786517,0.318903646548075,0.5195308483335298,8.9
12team,2015-2024,RB,R5-6,top12_T,top12,total,81,10,0.12345679012345678,0.06846042262503366,0.21255266529410033,8.1
12team,2015-2024,RB,R5-6,top12_P,top12,ppg_ge4,77,9,0.11688311688311688,0.06272491064586315,0.2074528196316177,7.7
12team,2015-2024,RB,R5-6,top24_T,top24,total,81,27,0.3333333333333333,0.24028620252704974,0.44147368884699306,8.1
12team,2015-2024,RB,R5-6,top24_P,top24,ppg_ge4,77,28,0.36363636363636365,0.26505270593089814,0.47518004552379856,7.7
12team,2015-2024,RB,R5-6,top36_T,top36,total,81,41,0.5061728395061729,0.3995059708753621,0.6122806998144883,8.1
12team,2015-2024,RB,R5-6,top36_P,top36,ppg_ge4,77,43,0.5584415584415584,0.44738036790961955,0.6639484528955104,7.7
12team,2015-2024,RB,R5-6,value_T,value,total,81,30,0.37037037037037035,0.27331523697645854,0.4791646785366859,8.1
12team,2015-2024,RB,R5-6,value_P,value,ppg_ge4,77,22,0.2857142857142857,0.1968937869371719,0.3949005367773513,7.7
12team,2015-2024,RB,R7-8,top12_T,top12,total,92,8,0.08695652173913043,0.04472065376437301,0.16230427069431713,9.2
12team,2015-2024,RB,R7-8,top12_P,top12,ppg_ge4,87,2,0.022988505747126436,0.006326952471398799,0.07999473274770788,8.7
12team,2015-2024,RB,R7-8,top24_T,top24,total,92,28,0.30434782608695654,0.2197355752358598,0.4046446521393093,9.2
