term,beta,se_cluster,t_cluster,p_cluster,se_hc3,p_hc3,vif,fdr_survivor,holdout_improves,final_survivor
const,6.766985850582641,2.450104311281751,2.7619174495646472,0.022042926055887528,2.933097521793188,0.021048551292691443,224.62172432874289,False,,False
age,-0.12406976144491455,0.08056413353461309,-1.5400123603589675,0.15794344869657928,0.08046719378578251,0.12310576323653934,1.2172906420079528,False,,False
team_change,0.004599466440511582,0.42119820531376356,0.010919957356146134,0.991525537821782,0.45850106215050684,0.9919961325843213,inf,False,,False
ts_prior,-7.339071380149921,16.893093556825985,-0.43444212011626643,0.6741970794429759,23.921193226924714,0.7589940395296964,22.972129436109586,False,,False
adot_prior,-0.24203256844241566,0.1741500989894645,-1.389792884683102,0.19800570460622766,0.1676383711529256,0.14880147226159327,3.688589716841251,False,,False
wopr_prior,2.3067557176834015,8.053361495733235,0.2864338970634247,0.7810300915399069,9.543339964833313,0.8090020372323761,23.260950690703922,False,,False
games_prior,-0.02306215146545482,0.06180417868209891,-0.3731487410273537,0.7176749333560832,0.07541178611940799,0.7597445366891882,1.1999958967618491,False,,False
rookie,-6.866432462560354,0.48547321800318777,-14.14379250580053,1.877451235487488e-07,1.074590423938918,1.6608813105814266e-10,2.678618288108996,True,False,False
vet_x_change,0.0045994664405428765,0.4211982053137597,0.010919957356220533,0.9915255378217243,0.45850106215050423,0.9919961325842668,inf,False,,False
agec_x_adotc,-0.024475289005257618,0.028820568453032623,-0.84922991873473,0.41776933657909365,0.033579024575254406,0.4660712517373671,1.0649088983277477,False,,False
rook_x_epa,-4.037236357472041,0.6803868202740733,-5.933736864341027,0.00021970582132945613,1.4716561552332128,0.006081979782719427,2.6385694356919625,True,False,False
no_prior_vet,-1.339659923083815,1.463753818606561,-0.9152221542001655,0.3839409948138134,66.76387979350939,0.9839910105751097,1.1816156948030123,False,,False
