panel,measure,window,what,n,sd_within,sd_R,beta,se_cluster,t_cluster,p_raw_cluster,se_hc3,p_raw_hc3,beta_per_sd,ci_lo,ci_hi,mde_unit,mde_per_sd,mde_per_sd_in_sdR,ceiling_per_sd,power_ratio,beta_raw_level,p_raw_level,beta_firstteam,p_firstteam,beta_huber,p_huber,r2,resid_skew,jb_p,bp_p,bh_rank,bh_thresh,fdr_survivor,beta_train,beta_eval,sign_stable,n_train,n_eval,holdout_mse,mse_zero,holdout_improves,survives_both
WR,sos_wr_fpa_w15_17,w15_17,"positional, weeks 15-17 (pts/g)",291,2.2110029538542486,3.3233154611530593,-0.09491147982634707,0.05167647760159572,-1.836647624439021,0.09944000887899851,0.08420048091899121,0.25965442773719116,-0.2098495622507313,-0.21181179378386622,0.0219888341311721,0.1625515137257212,0.359401877001049,0.10814557967853906,0.1,3.5940187700104897,-0.11572474288605142,0.012748291391084738,-0.09788136330440796,0.09469612549926297,-0.11440227228688511,0.21292775796129548,0.0038667274925471284,-0.017560414839419034,0.9529885861463686,0.4631502275877999,1,0.00625,False,-0.067735581409942,-0.17805818349263436,True,231,60,9.355856089599492,9.335584903911947,False,False
WR,sos_vegas,full,"team quality, market-implied (mean opp preseason win total, wins)",291,0.24461722041203998,3.3233154611530593,-0.4498341341223779,0.4194420141380065,-1.0724584542319398,0.3114276746426359,0.7724664272394111,0.5603411442770341,-0.11003717553547286,-1.3986778908066195,0.4990096225618638,1.3193804508880254,0.3227431785622128,0.09711481872089076,0.061398922323422034,5.2564958202710175,-0.17983447853752982,0.7054678819720321,-0.5021038660604029,0.1970445516055866,-0.36917478331364323,0.6550594932471789,0.0010628572767887867,-0.0008615982217835331,0.996229194253155,0.5072158084405418,2,0.0125,False,-0.15144044318700445,-1.0053795412997333,True,231,60,9.438723820216417,9.335584903911947,False,False
WR,sos_vegas_w1_14,w1_14,"team quality, market-implied, weeks 1-14 (wins)",291,0.3023406952187678,3.3233154611530593,-0.6005675446940251,0.567610176380343,-1.058063385198362,0.3175972682548306,0.6685430283501441,0.3690134012641527,-0.18157600898861992,-1.8845909709016964,0.6834558815136462,1.7854524468188453,0.5398149340512597,0.16243264907026467,0.07588751449991071,7.113356361828068,-0.3653125003432748,0.4767243651624551,-0.5051738395377876,0.4388120190185518,-0.4644527661678588,0.49565914439958725,0.0027392668348741323,-1.4221333382102638e-05,0.9998668128990248,0.7117477024015914,3,0.018750000000000003,False,-0.6013033728861191,-0.5974825203821791,True,231,60,9.425419856846291,9.335584903911947,False,False
WR,sos_wr_fpa,full,"positional (mean opp prior-season PPR allowed to WRs, pts/g)",291,0.9765215674562479,3.3233154611530593,0.15598787015779997,0.1541026570415259,1.0122334887176285,0.3378645221753118,0.21048402020109266,0.4586381016021083,0.1523255194706565,-0.1926165592835365,0.5045922995991364,0.48473931145961446,0.47335839223420506,0.142435588124989,0.1,4.73358392234205,-0.05734885401364197,0.7109457663119596,0.11885074578582808,0.4205275664497019,0.12344191044009355,0.5690690700638321,0.0019047518056707347,0.003084628145592443,0.9992090865088789,0.3512641521607922,4,0.025,False,0.07217830618142367,0.6232950497192101,True,231,60,9.41305998367089,9.335584903911947,False,False
WR,sos_prior_wpct,full,"team quality, prior-year (mean opp prior-season win %)",291,0.03371740626482722,3.3233154611530593,3.280134047328291,3.358623124246437,0.9766305792538851,0.3542710202127015,5.412197812050695,0.5444727715342348,0.11059761227685999,-4.317599310513198,10.87786740516978,10.564753989029834,0.35621610233607287,0.10718696629915474,0.14387217253201776,2.4759207848675495,2.318309203196942,0.555451415217781,2.3173509081424237,0.47333977179076536,3.6382997362915326,0.5196864761760966,0.001217905199337288,-0.005288266014982137,0.9893424036877587,0.8938169895530144,5,0.03125,False,1.7202055177546027,12.651475092893351,True,231,60,9.431594215311756,9.335584903911947,False,False
WR,sos_prior_wpct_w15_17,w15_17,"team quality, prior-year, weeks 15-17 (win %)",291,0.10754325189421951,3.3233154611530593,1.3262827583977352,1.6192628409869452,0.8190657654994183,0.43390115374077765,1.7357373087042889,0.4448056334225581,0.1426327607693279,-2.3367442758843606,4.9893097926798315,5.0934900778553045,0.5477704864635008,0.16482650920940442,0.45888705583263467,1.193693479694236,1.215852476039657,0.47466603490952897,1.144520792046292,0.5204262693989148,1.0512026612792034,0.5730543093484524,0.001810707968007419,-0.0005568290055739843,0.9988544777572984,0.552364441728685,6,0.037500000000000006,False,2.4625385389840924,-2.6691592967603106,False,231,60,9.707400804826845,9.335584903911947,False,False
RB,sos_rb_fpa,full,"positional (mean opp prior-season PPR allowed to RBs, pts/g)",286,0.6569198662897595,3.623531462853343,0.29610955923506455,0.5006395848612517,0.5914625375001639,0.5687667505838349,0.3060268033463218,0.33324740276021325,0.19452025205981824,-0.8364158636671185,1.4286349821372477,1.5747923644799695,1.0345123895083157,0.28549838744705996,0.1,10.345123895083157,0.1830259419485257,0.5547347739429974,0.30711001397360216,0.5546754124899871,0.33671288580812897,0.3074952702535214,0.0030468147839758375,0.20800146212129395,0.21939005788856694,0.29222412523329966,7,0.043750000000000004,False,0.3417345353144402,-0.03402469579373027,False,228,58,13.815369584590972,13.674893703073213,False,False
RB,sos_vegas_w15_17,w15_17,"team quality, market-implied, weeks 15-17 (wins)",286,0.9877768820380123,3.623531462853343,-0.09847461797626395,0.2071165318116751,-0.47545513202105943,0.6457900855833772,0.20685836705233174,0.6340398165924866,-0.09727095110447839,-0.5670047639595437,0.37005552800701574,0.6514976895903923,0.6435343564785665,0.17759866668076799,0.2479319973915411,2.595608325061324,-0.09591096451237535,0.6304866998400394,-0.05446847033064993,0.7964454644008865,-0.13609926163006703,0.5403350834685503,0.0007473629201202314,0.192580656963948,0.2552521139494429,0.8680424150254221,8,0.05,False,0.028831383702972377,-0.49720216299894826,False,228,58,13.816568463014056,13.674893703073213,False,False
WR,sos_vegas_w15_17,w15_17,"team quality, market-implied, weeks 15-17 (wins)",291,0.9877768820380123,3.3233154611530593,0.08639171819857051,0.18704698069041722,0.4618717601304565,0.6551343958584261,0.1856249383225575,0.6416378139303243,0.08533574203609058,-0.33673794896048914,0.5095213853576301,0.5883676918434972,0.5811760041410717,0.17487837400167439,0.2479319973915411,2.34409438981473,0.08741235117876468,0.6437859973403461,0.051762481768449026,0.8069540153573707,0.08081886387967661,0.6846403751857013,0.000680337408199283,-0.00504874489995559,0.9941830003117161,0.8088921044571694,9,0.05625,False,0.20327720022729884,-0.18654675214856636,False,231,60,9.638066560775274,9.335584903911947,False,False
RB,sos_prior_wpct_w15_17,w15_17,"team quality, prior-year, weeks 15-17 (win %)",286,0.10754325189421951,3.623531462853343,0.8244356961375109,2.578788098599696,0.3196988913455846,0.7564931565653538,1.9364601752165573,0.6702946241952737,0.08866249574030255,-5.009188272592693,6.658059664867714,8.11173532834426,0.8723623957153661,0.2407492261784933,0.45888705583263467,1.9010394488737425,0.80768725534638,0.7593154276866063,0.8797643927574827,0.7398358830467162,0.5217299326564957,0.798026869027938,0.0006187837920342831,0.18543110616791617,0.25521317414199707,0.15934826037850758,10,0.0625,False,1.5449460128617203,-3.5841130334562012,False,228,58,13.882298338670513,13.674893703073213,False,False
