k,sched,played,floor_p25,bust_sched,avail,yrs,usable
aaron jones,54,40,0.575,0.4074074074074074,0.741,38,True
adonai mitchell,36,33,0.0,0.8611111111111112,0.917,2,True
aj brown,54,45,3.875,0.3148148148148148,0.833,7,True
aj dillon,36,21,0.0,0.7777777777777778,0.583,6,True
alec pierce,54,48,2.025,0.6111111111111112,0.889,4,True
alvin kamara,54,38,0.0,0.4074074074074074,0.704,9,True
amonra st brown,54,50,12.450000000000001,0.14814814814814814,0.926,5,True
ashton jeanty,18,17,7.6,0.2777777777777778,0.944,1,False
baker mayfield,54,51,11.09,0.12962962962962962,0.944,8,True
bhayshul tuten,18,15,1.25,0.6111111111111112,0.833,1,False
bijan robinson,54,51,11.025,0.14814814814814814,0.944,3,True
blake corum,36,32,1.25,0.8611111111111112,0.889,2,True
bo nix,36,34,12.49,0.1388888888888889,0.944,2,True
breece hall,54,49,6.075,0.3148148148148148,0.907,4,True
brenton strange,54,33,0.0,0.7222222222222222,0.611,3,True
brian robinson,54,46,2.1,0.5185185185185185,0.852,4,True
brian thomas,36,31,6.0,0.3888888888888889,0.861,2,True
brock bowers,36,29,6.15,0.3333333333333333,0.806,2,True
brock purdy,54,40,0.54,0.37037037037037035,0.741,4,True
bucky irving,36,27,1.6500000000000001,0.3888888888888889,0.75,2,True
caleb williams,36,34,9.82,0.19444444444444445,0.944,2,True
calvin ridley,54,41,1.05,0.5555555555555556,0.759,8,True
cam skattebo,18,8,0.0,0.6111111111111112,0.444,1,False
ceedee lamb,54,45,9.075,0.2037037037037037,0.833,6,True
chase brown,54,45,1.45,0.42592592592592593,0.833,3,True
chig okonkwo,54,50,3.525,0.6666666666666666,0.926,4,True
chris godwin,54,33,0.0,0.5185185185185185,0.611,9,True
chris olave,54,40,0.0,0.3888888888888889,0.741,4,True
chris rodriguez,54,28,0.0,0.8518518518518519,0.519,3,True
christian kirk,54,31,0.0,0.7407407407407407,0.574,8,True
christian mccaffrey,54,37,0.0,0.3333333333333333,0.685,9,True
christian watson,54,33,0.0,0.6481481481481481,0.611,4,True
chuba hubbard,54,47,3.725,0.4074074074074074,0.87,5,True
cj stroud,54,46,8.8,0.24074074074074073,0.852,3,True
colston loveland,18,16,3.425,0.6111111111111112,0.889,1,False
cooper kupp,54,40,0.0,0.6296296296296297,0.741,9,True
courtland sutton,54,49,6.0,0.2777777777777778,0.907,8,True
dak prescott,54,42,3.495,0.35185185185185186,0.778,10,True
dallas goedert,54,39,0.0,0.5370370370370371,0.722,8,True
dalton kincaid,54,41,0.0,0.6111111111111112,0.759,3,True
dalton schultz,54,49,3.925,0.5370370370370371,0.907,8,True
dandre swift,54,49,7.525,0.2777777777777778,0.907,6,True
daniel jones,54,29,0.0,0.6111111111111112,0.537,7,True
darnell mooney,54,45,2.2,0.7037037037037037,0.833,6,True
davante adams,54,45,6.95,0.3148148148148148,0.833,12,True
david montgomery,54,45,5.925000000000001,0.3333333333333333,0.833,7,True
deebo samuel,54,46,4.125,0.46296296296296297,0.852,7,True
derrick henry,54,51,10.125,0.2037037037037037,0.944,10,True
devon achane,54,44,4.5249999999999995,0.2962962962962963,0.815,3,True
devonta smith,54,46,4.675,0.37037037037037035,0.852,5,True
dj moore,54,51,5.775,0.3148148148148148,0.944,17,True
dk metcalf,54,46,6.2,0.35185185185185186,0.852,7,True
dontayvion wicks,54,45,0.0,0.7037037037037037,0.833,3,True
drake london,54,45,4.575,0.37037037037037035,0.833,4,True
drake maye,36,30,11.11,0.2222222222222222,0.833,2,True
dylan sampson,18,15,0.375,0.7777777777777778,0.833,1,False
emari demercado,54,36,0.0,0.8148148148148148,0.667,3,True
emeka egbuka,18,17,5.0,0.4444444444444444,0.944,1,False
garrett wilson,54,41,0.225,0.37037037037037035,0.759,4,True
george kittle,54,42,1.25,0.4444444444444444,0.778,9,True
george pickens,54,48,6.075,0.35185185185185186,0.889,4,True
harold fannin,18,16,6.025,0.3333333333333333,0.889,1,False
hunter henry,54,46,2.5,0.5370370370370371,0.852,10,True
isaac teslaa,18,14,0.0,0.6666666666666666,0.778,1,False
isaiah likely,54,41,0.0,0.7037037037037037,0.759,4,True
isiah pacheco,54,34,0.0,0.6481481481481481,0.63,4,True
jacory croskeymerritt,18,17,2.925,0.6666666666666666,0.944,1,False
jahmyr gibbs,54,49,9.35,0.18518518518518517,0.907,3,True
jake ferguson,54,48,3.725,0.48148148148148145,0.889,4,True
jakobi meyers,54,47,7.025,0.37037037037037035,0.87,7,True
jalen coker,36,22,0.0,0.7777777777777778,0.611,2,True
jalen hurts,54,48,12.14,0.16666666666666666,0.889,6,True
jalen mcmillan,36,17,0.0,0.7777777777777778,0.472,2,True
jalen nailor,54,35,0.0,0.8333333333333334,0.648,4,True
jamarr chase,54,49,8.3,0.2222222222222222,0.907,5,True
james conner,54,32,0.0,0.5555555555555556,0.593,9,True
james cook,54,50,8.225,0.24074074074074073,0.926,4,True
jameson williams,54,44,0.45,0.46296296296296297,0.815,4,True
jared goff,54,51,11.02,0.1111111111111111,0.944,10,True
jauan jennings,54,43,0.0,0.5740740740740741,0.796,6,True
javonte williams,54,49,6.1499999999999995,0.37037037037037035,0.907,5,True
jaxon smithnjigba,54,51,6.6,0.2962962962962963,0.944,3,True
jaxson dart,18,14,0.005000000000000025,0.3888888888888889,0.778,1,False
jayden daniels,36,24,0.0,0.4166666666666667,0.667,2,True
jayden higgins,18,17,1.8,0.5555555555555556,0.944,1,False
jayden reed,54,38,0.0,0.5185185185185185,0.704,3,True
jaydon blue,18,5,0.0,0.9444444444444444,0.278,1,False
jaylen waddle,54,45,4.875,0.4074074074074074,0.833,5,True
jaylen warren,54,48,6.9,0.35185185185185186,0.889,4,True
jerry jeudy,54,50,4.05,0.46296296296296297,0.926,6,True
jk dobbins,54,24,0.0,0.5925925925925926,0.444,6,True
joe burrow,54,35,0.0,0.42592592592592593,0.648,6,True
john metchie,54,37,0.0,0.9259259259259259,0.685,4,True
jonathan taylor,54,41,3.725,0.3333333333333333,0.759,6,True
jonathon brooks,18,3,0.0,1.0,0.167,2,False
jordan addison,54,46,4.3,0.4074074074074074,0.852,3,True
jordan love,54,47,8.945,0.24074074074074073,0.87,6,True
jordan mason,54,44,0.0,0.6666666666666666,0.815,4,True
josh allen,54,49,14.445,0.12962962962962962,0.907,12,True
josh downs,54,47,4.9750000000000005,0.5555555555555556,0.87,3,True
josh jacobs,54,45,5.875,0.2962962962962963,0.833,7,True
justice hill,54,41,0.0,0.7037037037037037,0.759,7,True
justin herbert,54,46,9.34,0.24074074074074073,0.852,6,True
justin jefferson,54,44,4.7,0.3333333333333333,0.815,6,True
juwan johnson,54,45,3.05,0.5740740740740741,0.833,6,True
kayshon boutte,54,32,0.0,0.7962962962962963,0.593,3,True
keaton mitchell,54,24,0.0,0.9074074074074074,0.444,3,True
kenneth walker,54,43,3.125,0.3888888888888889,0.796,4,True
kenny gainwell,54,50,2.3,0.7222222222222222,0.926,5,True
khalil shakir,54,47,2.2,0.48148148148148145,0.87,4,True
kimani vidal,36,22,0.0,0.8333333333333334,0.611,2,True
kyle monangai,18,17,3.075,0.5555555555555556,0.944,1,False
kyle pitts,54,51,3.725,0.5740740740740741,0.944,5,True
kyler murray,54,30,0.0,0.46296296296296297,0.556,7,True
kyren williams,54,45,8.95,0.2037037037037037,0.833,4,True
ladd mcconkey,36,32,4.5249999999999995,0.3333333333333333,0.889,2,True
lamar jackson,54,46,10.125,0.24074074074074073,0.852,8,True
luther burden,18,15,1.05,0.6111111111111112,0.833,1,False
malik nabers,36,19,0.0,0.5277777777777778,0.528,2,True
malik washington,36,31,1.2,0.75,0.861,2,True
malik willis,54,12,0.0,0.9074074074074074,0.222,4,True
mark andrews,54,44,1.6,0.5370370370370371,0.815,8,True
marvin harrison,36,29,1.0499999999999998,0.5833333333333334,0.806,30,True
matthew golden,18,14,0.1,0.7777777777777778,0.778,1,False
matthew stafford,54,48,9.705,0.18518518518518517,0.889,17,True
michael pittman,54,49,4.65,0.35185185185185186,0.907,28,True
michael wilson,54,46,2.575,0.5740740740740741,0.852,3,True
mike evans,54,39,0.0,0.42592592592592593,0.722,34,True
