starter,team,starter_adp,starter_board_value,starter_ppg_2025,handcuff,handcuff_adp,handcuff_depth_order,handcuff_car_2025,handcuff_ppg_2025,handcuff_g_2025,standalone_value,conditional_ppg_if_starter_out,conditional_sd,p_startable_12,p_rb1_15,cond_p10,cond_p90,cond_minus_standalone,out_of_support,committee_flag,rookie_flag,starter_carries_2025,med_carry_transfer
Bucky Irving,TB,42.8,12.035856922066072,13.85,Kenny Gainwell,89.6,2,114.0,13.01764705882353,17.0,9.4762971493062,16.14751988491819,5.893152778444368,0.753968253968254,0.5158730158730159,9.544972245647992,24.325858333821966,6.671222735611989,0,0,,173.0,0.30857142857142855
Rico Dowdle,PIT,71.3,10.925918745824406,12.723529411764707,Jaylen Warren,67.2,1,211.0,13.56875,16.0,10.925918745824406,16.11107328425071,5.893152778444368,0.746031746031746,0.5158730158730159,9.508525644980514,24.289411733154488,5.185154538426305,0,1,,236.0,0.30857142857142855
Jaylen Warren,PIT,67.2,10.925918745824406,13.56875,Rico Dowdle,71.3,2,236.0,12.723529411764707,17.0,10.925918745824406,15.87098404557796,5.893152778444368,0.7222222222222222,0.5,9.268436406307762,24.049322494481736,4.945065299753553,0,1,,211.0,0.30857142857142855
Cam Skattebo,NYG,30.6,13.416324058711414,15.9625,Tyrone Tracy,156.1,2,176.0,10.72,15.0,7.491790151433535,15.432759310874943,5.893152778444368,0.7063492063492064,0.46825396825396826,8.830211671604745,23.61109775977872,7.940969159441408,0,0,,101.0,0.30857142857142855
TreVeyon Henderson,NE,55.7,11.36028003858886,12.129411764705882,Rhamondre Stevenson,72.2,2,130.0,12.771428571428572,14.0,10.925918745824406,15.417872588665531,5.893152778444368,0.7063492063492064,0.46825396825396826,8.815324949395334,23.596211037569308,4.491953842841125,0,1,,180.0,0.30857142857142855
Rhamondre Stevenson,NE,72.2,10.925918745824406,12.771428571428572,TreVeyon Henderson,55.7,1,180.0,12.129411764705882,17.0,11.36028003858886,15.235504425269287,5.893152778444368,0.6825396825396826,0.46825396825396826,8.63295678599909,23.413842874173064,3.8752243866804275,0,1,,130.0,0.30857142857142855
Jahmyr Gibbs,DET,1.6,19.40125646412411,21.58235294117647,Isiah Pacheco,148.9,2,118.0,6.7153846153846155,13.0,7.491790151433535,14.837011892905505,5.893152778444368,0.6428571428571429,0.4523809523809524,8.234464253635307,23.01535034180928,7.34522174147197,0,0,,243.0,0.30857142857142855
Jadarian Price,SEA,64.5,10.925918745824406,,Zach Charbonnet,139.1,2,184.0,11.3375,16.0,7.491790151433535,14.12591205422569,5.893152778444368,0.6190476190476191,0.4126984126984127,7.523364414955493,22.304250503129467,6.634121902792155,0,0,,,0.30857142857142855
Travis Etienne Jr.,NO,37.1,13.416324058711414,14.935294117647059,Alvin Kamara,132.8,2,131.0,9.154545454545454,11.0,7.491790151433535,14.118451969758386,5.893152778444368,0.6190476190476191,0.4126984126984127,7.515904330488189,22.296790418662162,6.626661818324851,0,0,,260.0,0.30857142857142855
D'Andre Swift,CHI,44.4,12.035856922066072,14.2875,Kyle Monangai,100.1,2,169.0,8.629411764705882,16.0,9.4762971493062,13.575860796873886,5.893152778444368,0.5238095238095238,0.373015873015873,6.973313157603689,21.754199245777663,4.099563647567686,0,0,,223.0,0.30857142857142855
De'Von Achane,MIA,9.4,16.783941579810566,20.175,Jaylen Wright,,2,70.0,5.355555555555556,8.0,,13.522575377549153,5.893152778444368,0.5238095238095238,0.373015873015873,6.9200277382789555,21.70091382645293,6.041405505754281,0,0,,238.0,0.30857142857142855
Kyren Williams,LAR,32.2,13.416324058711414,15.488235294117647,Blake Corum,121.7,2,145.0,7.188235294117647,17.0,8.514685960281549,13.085838290399291,5.893152778444368,0.5158730158730159,0.35714285714285715,6.483290651129094,21.264176739303068,4.571152330117743,0,0,,259.0,0.30857142857142855
James Cook III,BUF,15.1,15.48991409805029,17.776470588235295,Ty Johnson,167.0,2,50.0,5.8999999999999995,16.0,7.481169871794871,13.055329147408514,5.893152778444368,0.5158730158730159,0.3412698412698413,6.452781508138317,21.23366759631229,5.574159275613643,0,0,,309.0,0.30857142857142855
Bijan Robinson,ATL,2.0,19.40125646412411,21.811764705882354,Brian Robinson,164.9,2,92.0,3.676470588235294,16.0,7.481169871794871,13.03142759818985,5.893152778444368,0.5158730158730159,0.3333333333333333,6.428879958919653,21.209766047093627,5.550257726394979,0,0,,287.0,0.30857142857142855
Derrick Henry,BAL,16.1,15.48991409805029,16.441176470588236,Justice Hill,163.6,2,18.0,6.5200000000000005,8.0,7.481169871794871,12.991518875606639,5.893152778444368,0.5079365079365079,0.3333333333333333,6.388971236336442,21.169857324510417,5.5103490038117675,0,0,,307.0,0.30857142857142855
Jeremiyah Love,ARI,25.6,14.434106455309395,,Tyler Allgeier,161.4,2,143.0,7.235294117647059,17.0,7.481169871794871,12.761413468187236,5.893152778444368,0.5,0.3253968253968254,6.158865828917039,20.939751917091012,5.280243596392364,0,0,,,0.30857142857142855
Tony Pollard,TEN,63.5,10.925918745824406,10.929411764705883,Tyjae Spears,126.9,2,72.0,8.592307692307692,13.0,8.371889717425432,12.426503439223307,5.893152778444368,0.46825396825396826,0.31746031746031744,5.82395579995311,20.604841888127083,4.054613721797875,0,0,,242.0,0.30857142857142855
David Montgomery,HOU,63.6,10.925918745824406,9.818823529411764,Woody Marks,144.7,2,196.0,9.06875,16.0,7.491790151433535,12.349133651505461,5.893152778444368,0.46825396825396826,0.31746031746031744,5.746586012235264,20.527472100409238,4.857343500071926,0,0,,158.0,0.30857142857142855
Chase Brown,CIN,12.2,16.783941579810566,16.623529411764707,Samaje Perine,165.1,2,84.0,5.193333333333333,13.0,7.481169871794871,12.230845909113285,5.893152778444368,0.46825396825396826,0.30158730158730157,5.6282982698430875,20.40918435801706,4.749676037318413,0,0,,232.0,0.30857142857142855
Jonathan Taylor,IND,7.5,16.783941579810566,21.311764705882354,DJ Giddens,,2,26.0,1.92,3.0,,11.775626200305073,5.893152778444368,0.4444444444444444,0.24603174603174602,5.173078561034876,19.95396464920885,4.2944563285102015,1,0,,323.0,0.30857142857142855
Christian McCaffrey,SF,5.3,18.801468895250412,24.50588235294118,Jordan James,166.3,2,0.0,,,7.481169871794871,11.657605786754033,5.893152778444368,0.4444444444444444,0.23809523809523808,5.055058147483836,19.83594423565781,4.176435914959161,1,0,,311.0,0.30857142857142855
Omarion Hampton,LAC,19.8,14.434106455309395,15.077777777777776,Keaton Mitchell,157.1,2,59.0,4.2615384615384615,12.0,7.491790151433535,11.13514443639578,5.893152778444368,0.4126984126984127,0.2222222222222222,4.532596797125583,19.313482885299557,3.6433542849622453,0,0,,124.0,0.30857142857142855
Quinshon Judkins,CLE,49.8,11.36028003858886,12.12857142857143,Dylan Sampson,164.1,2,65.0,5.840000000000001,14.0,7.481169871794871,11.12373834985583,5.893152778444368,0.4126984126984127,0.2222222222222222,4.521190710585634,19.302076798759607,3.6425684780609595,0,0,,230.0,0.30857142857142855
Javonte Williams,DAL,36.7,13.416324058711414,15.175,Malik Davis,,2,52.0,4.06,8.0,,11.04290657853652,5.893152778444368,0.3968253968253968,0.2222222222222222,4.440358939266323,19.221245027440297,3.561736706741649,0,0,,252.0,0.30857142857142855
Saquon Barkley,PHI,18.7,15.48991409805029,14.518749999999999,Tank Bigsby,155.6,2,63.0,3.5866666666666664,9.0,7.491790151433535,10.529568195868954,5.893152778444368,0.373015873015873,0.20634920634920634,3.9270205565987566,18.70790664477273,3.037778044435419,0,0,,280.0,0.30857142857142855
Kenneth Walker,KC,26.5,14.434106455309395,11.288235294117648,Emari Demercado,164.4,2,44.0,4.858333333333333,11.0,7.481169871794871,10.233753461809805,5.893152778444368,0.35714285714285715,0.20634920634920634,3.631205822539607,18.41209191071358,2.7525835900149334,0,0,,221.0,0.30857142857142855
Bhayshul Tuten,JAX,51.2,11.36028003858886,5.906666666666666,Chris Rodriguez,160.6,2,112.0,7.666666666666667,11.0,7.491790151433535,10.168358569064747,5.893152778444368,0.35714285714285715,0.19047619047619047,3.5658109297945493,18.346697017968523,2.676568417631212,0,0,,83.0,0.30857142857142855
Breece Hall,NYJ,28.3,13.416324058711414,12.97875,Braelon Allen,,2,18.0,3.825,4.0,,10.160662065300755,5.893152778444368,0.35714285714285715,0.19047619047619047,3.5581144260305577,18.339000514204532,2.679492193505884,0,0,,243.0,0.30857142857142855
Josh Jacobs,GB,24.6,14.434106455309395,15.806666666666667,MarShawn Lloyd,,2,0.0,,,,8.73970883510436,5.893152778444368,0.24603174603174602,0.1349206349206349,2.1371611958341616,16.918047284008136,1.258538963309488,1,0,,234.0,0.30857142857142855
Ashton Jeanty,LV,14.1,15.781450991037447,14.41764705882353,Mike Washington,162.2,2,0.0,,,7.481169871794871,8.273802916033757,5.893152778444368,0.23015873015873015,0.12698412698412698,1.6712552767635596,16.452141364937535,0.7926330442388858,1,0,rookie (owner excludes),266.0,0.30857142857142855
