sample,route,term,est,se,ci_lo,ci_hi,mult,mult_lo,mult_hi,n,n_dropped_small_e2,scale,gamma0
primary_2014_2025,A_harvey,rookie,-0.14827013697539815,0.0677973847458447,-0.281150569323259,-0.015389704627537304,0.8621981718738503,0.7549146599329333,0.9847281117161666,18942,154,,3.660633000167812
primary_2014_2025,A_harvey,soph,-0.0627041535910673,0.057675646494168835,-0.17574634350470206,0.05033803632256745,0.9392212978386271,0.8388307312169212,1.0516265242618477,18942,154,,3.660633000167812
primary_2014_2025,B_gammaGLM,rookie,-0.1693401405821536,0.0560247558985864,-0.2791466443860309,-0.059533636778276305,0.8442217004834529,0.7564289690195698,0.9422038403565347,19096,0,3.4763682651550094,3.7644640759411683
primary_2014_2025,B_gammaGLM,soph,-0.08231342171433782,0.04579779615918671,-0.17207545275765057,0.0074486093289749394,0.9209832573046886,0.8419156459146834,1.0074764192249122,19096,0,3.4763682651550094,3.7644640759411683
window_2021_2025,A_harvey,rookie,-0.11100385811619984,0.1054417308095357,-0.31766585297045724,0.09565813673805754,0.8949352961580065,0.7278459553495231,1.1003828192255454,7974,70,,3.6149544637230657
window_2021_2025,A_harvey,soph,-0.08220815327480963,0.09206580488237304,-0.2626538150519526,0.0982375085023334,0.921080212878108,0.7690080702548179,1.1032247792594159,7974,70,,3.6149544637230657
window_2021_2025,B_gammaGLM,rookie,-0.1574061520165711,0.09343494501773957,-0.3405352791488208,0.025722975115678615,0.854356989526842,0.711389428901451,1.0260566658694128,8044,0,3.529642411685212,3.7292058933549357
window_2021_2025,B_gammaGLM,soph,-0.05643998854250862,0.07272533576608127,-0.19897902740761056,0.08609905032259332,0.9451232010141111,0.8195670815990219,1.0899142793197147,8044,0,3.529642411685212,3.7292058933549357
top30_sensitivity,A_harvey,rookie,-0.17508155380425872,0.14817384117468027,-0.46549694595759017,0.11533383834907274,0.8393885626472001,0.627823033536092,1.122248024470463,1991,1,,4.206797663057603
top30_sensitivity,A_harvey,soph,-0.22965864157998134,0.16863980076855048,-0.5601865774463504,0.10086929428638775,0.794804869535545,0.5711024990619519,1.1061320545349036,1991,1,,4.206797663057603
top30_sensitivity,B_gammaGLM,rookie,-0.2690727766047418,0.11800837104533186,-0.5003649337278316,-0.03778061948165204,0.7640876459200846,0.6063093566008811,0.9629241645235204,1992,0,2.6659053421347876,4.267631407591084
top30_sensitivity,B_gammaGLM,soph,-0.15447174089504695,0.09729272979178645,-0.3451619872445355,0.036218505454441635,0.8568677061144006,0.7081056400955201,1.03688238619694,1992,0,2.6659053421347876,4.267631407591084
linear_exp_0to5,A_harvey,exp_lin,0.031308566018265094,0.01197561187938653,0.007836798041837467,0.05478033399469272,1.0318038343718146,1.0078675861177047,1.0563085541080657,18942,154,,3.5394271745505086
linear_exp_0to5,B_gammaGLM,exp_lin,0.029952631568732693,0.00980158966225614,0.010741868839470547,0.049163394297994836,1.0304057240947835,1.0107997698485163,1.050391964776973,19096,0,,3.641713421592435
