year,name,gsis_id,adp,adp_rank,rookie_season,exp,games,ppg,tier,in_fit,m_ols,m_iso,resid_iso,resid_ols
2015,Antonio Brown,00-0027793,2.5,1,2010,5,16,24.3875,vet,True,20.449084870820734,20.3425,4.044999999999998,3.9384151291792655
2015,Julio Jones,00-0027944,6.2,2,2011,4,16,23.06875,vet,True,18.346170052997557,18.379251629089865,4.689498370910137,4.722579947002444
2015,Dez Bryant,00-0027902,7.6,3,2010,5,9,9.899999999999999,vet,True,17.874772062774667,17.943725961538462,-8.043725961538463,-7.974772062774669
2015,Demaryius Thomas,00-0027874,9.1,4,2010,5,16,16.7125,vet,True,17.457721235342813,17.943725961538462,-1.2312259615384633,-0.7452212353428145
2015,Odell Beckham Jr.,00-0031235,11.4,5,2014,1,15,21.28666666666667,soph,True,16.93598808502182,16.94065359477124,4.3460130718954275,4.35067858164485
2015,Calvin Johnson,00-0025389,13.1,6,2007,8,15,17.233333333333334,vet,True,16.614160351920425,16.42261932202348,0.8107140113098552,0.619172981412909
2015,Randall Cobb,00-0028002,15.9,7,2011,4,16,12.68125,vet,True,16.165665744697378,16.42261932202348,-3.7413693220234787,-3.484415744697378
2015,A.J. Green,00-0027942,16.7,8,2011,4,16,17.10625,vet,True,16.052007285300828,16.42261932202348,0.6836306779765202,1.0542427146991713
2015,Brandin Cooks,00-0031236,20.6,9,2014,1,16,15.85,soph,True,15.56606117197149,15.39774859415863,0.4522514058413698,0.2839388280285089
2015,T.Y. Hilton,00-0029608,22.8,10,2012,3,16,13.2125,vet,True,15.331126274913494,15.39774859415863,-2.1852485941586295,-2.1186262749134936
2015,Jordan Matthews,00-0031299,24.4,11,2014,1,16,14.41875,soph,True,15.174094842370494,15.39774859415863,-0.9789985941586306,-0.7553448423704943
2015,Alshon Jeffery,00-0029137,26.1,12,2012,3,9,17.633333333333333,vet,True,15.018152572390724,15.39774859415863,2.235584739174703,2.615180760942609
2015,DeAndre Hopkins,00-0030564,28.7,13,2013,2,16,20.693749999999998,vet,True,14.7982850117146,14.881502854988153,5.812247145011845,5.895464988285397
2015,Mike Evans,00-0031408,30.0,14,2014,1,15,14.173333333333336,soph,True,14.695715462742909,14.881502854988153,-0.708169521654817,-0.5223821294095732
2015,Emmanuel Sanders,00-0027685,31.9,15,2010,5,15,15.093333333333334,vet,True,14.553534458680842,14.881502854988153,0.2118304783451812,0.539798874652492
2015,Davante Adams,00-0031381,34.6,16,2014,1,13,8.176923076923076,soph,True,14.365419596429497,14.318447404719464,-6.141524327796388,-6.188496519506421
2015,Jarvis Landry,00-0031382,36.6,17,2014,1,16,17.21,soph,True,14.235310864617647,14.318447404719464,2.8915525952805368,2.974689135382354
2015,Andre Johnson,00-0022044,37.7,18,2003,12,15,7.686666666666667,vet,True,14.166749763860414,14.318447404719464,-6.631780738052797,-6.480083097193747
2015,Jeremy Maclin,00-0026995,38.8,19,2009,6,15,16.21333333333333,vet,True,14.100160630739081,14.318447404719464,1.894885928613867,2.11317270259425
2015,Amari Cooper,00-0031544,40.8,20,2015,0,16,13.29375,rookie,True,13.983788089079662,14.318447404719464,-1.0246974047194648,-0.6900380890796622
2015,Julian Edelman,00-0027150,41.9,21,2009,6,9,19.166666666666668,vet,True,13.92219174073536,14.318447404719464,4.848219261947204,5.244474925931307
2015,Golden Tate,00-0027891,43.5,22,2010,5,16,13.0875,vet,True,13.835424634949588,13.894337842606387,-0.8068378426063862,-0.7479246349495874
2015,Keenan Allen,00-0030279,48.7,23,2013,2,8,20.4375,vet,True,13.573982420952664,13.894337842606387,6.543162157393613,6.863517579047336
2015,Brandon Marshall,00-0024334,50.5,24,2006,9,16,21.2,vet,True,13.489949263829956,13.894337842606387,7.305662157393613,7.710050736170043
2015,Allen Robinson II,00-0031428,53.5,25,2014,1,16,19.0,soph,True,13.356335685541778,13.173062271062273,5.826937728937727,5.643664314458222
2015,Nelson Agholor,00-0031549,56.6,26,2015,0,11,5.072727272727272,rookie,True,13.225919541012155,12.543744208908237,-7.471016936180964,-8.153192268284883
2015,Charles Johnson,00-0030113,61.6,27,2013,2,5,3.44,vet,True,13.02992049983826,12.543744208908237,-9.103744208908237,-9.58992049983826
2015,Sammy Watkins,00-0031325,62.5,28,2014,1,13,16.83076923076923,soph,True,12.996337420216115,12.543744208908237,4.287025021860995,3.8344318105531165
2015,John Brown,00-0031051,64.3,29,2014,1,15,13.833333333333334,soph,True,12.930598191641666,12.543744208908237,1.2895891244250972,0.902735141691668
2015,Martavis Bryant,00-0031373,67.2,30,2014,1,11,15.47272727272727,soph,True,12.828460781192666,12.543744208908237,2.928983063819034,2.644266491534605
2016,Antonio Brown,00-0027793,1.2,1,2010,6,15,20.486666666666668,vet,True,22.14846291334753,20.486666666666668,0.0,-1.6617962466808613
2016,Julio Jones,00-0027944,2.8,2,2011,5,14,18.564285714285713,vet,True,20.186691999378816,19.556530987394957,-0.9922452731092442,-1.6224062850931027
2016,Odell Beckham Jr.,00-0031235,3.4,3,2014,2,16,18.5375,vet,True,19.737157497157487,19.556530987394957,-1.019030987394956,-1.1996574971574852
2016,A.J. Green,00-0027942,6.4,4,2011,5,9,20.711111111111112,vet,True,18.272661460775396,18.379251629089865,2.3318594820212475,2.4384496503357163
2016,DeAndre Hopkins,00-0030564,6.4,5,2013,3,16,12.3375,vet,True,18.272661460775396,18.379251629089865,-6.041751629089864,-5.9351614607753955
2016,Allen Robinson II,00-0031428,9.2,6,2014,2,16,12.45625,vet,True,17.432416872273883,17.943725961538462,-5.487475961538461,-4.9761668722738825
2016,Brandon Marshall,00-0024334,13.0,7,2006,10,15,10.386666666666667,vet,True,16.631902401762062,16.42261932202348,-6.035952655356812,-6.245235735095395
2016,Keenan Allen,00-0030279,13.8,8,2013,3,1,12.3,vet,False,16.493632894521035,16.42261932202348,-4.122619322023478,-4.193632894521034
2016,Mike Evans,00-0031408,15.7,9,2014,2,16,19.00625,vet,True,16.194974062305384,16.42261932202348,2.5836306779765223,2.8112759376946173
2016,Dez Bryant,00-0027902,16.4,10,2010,6,12,15.0,vet,True,16.093978093327834,16.42261932202348,-1.422619322023479,-1.0939780933278342
