year,name,gsis_id,adp,adp_rank,rookie_season,exp,games,ppg,tier,in_fit,m_ols,m_iso,resid_iso,resid_ols
2015,Antonio Brown,00-0027793,2.5,1,2010,5,16,24.3875,vet,True,20.171135953321546,20.135833333333334,4.251666666666665,4.2163640466784535
2015,Julio Jones,00-0027944,6.2,2,2011,4,16,23.06875,vet,True,18.125496033900415,18.25394794129773,4.81480205870227,4.9432539660995864
2015,Dez Bryant,00-0027902,7.6,3,2010,5,9,9.899999999999999,vet,True,17.66693701925947,18.00710576923077,-8.10710576923077,-7.766937019259473
2015,Demaryius Thomas,00-0027874,9.1,4,2010,5,16,16.7125,vet,True,17.26124497039877,18.00710576923077,-1.2946057692307704,-0.5487449703987721
2015,Odell Beckham Jr.,00-0031235,11.4,5,2014,1,15,21.28666666666667,soph,True,16.753721721936067,16.94065359477124,4.3460130718954275,4.532944944730602
2015,Calvin Johnson,00-0025389,13.1,6,2007,8,15,17.233333333333334,vet,True,16.440659275264785,16.281429738562093,0.9519035947712418,0.792674058068549
2015,Randall Cobb,00-0028002,15.9,7,2011,4,16,12.68125,vet,True,16.004379848059898,16.174372178623514,-3.493122178623514,-3.3231298480598976
2015,A.J. Green,00-0027942,16.7,8,2011,4,16,17.10625,vet,True,15.893816985622053,16.174372178623514,0.9318778213764851,1.2124330143779467
2015,Brandin Cooks,00-0031236,20.6,9,2014,1,16,15.85,soph,True,15.421106079935894,15.309814510824573,0.5401854891754265,0.4288939200641053
2015,T.Y. Hilton,00-0029608,22.8,10,2012,3,16,13.2125,vet,True,15.192569859726834,15.179405480140774,-1.966905480140774,-1.980069859726834
2015,Jordan Matthews,00-0031299,24.4,11,2014,1,16,14.41875,soph,True,15.039815328591631,15.179405480140774,-0.760655480140775,-0.6210653285916319
2015,Alshon Jeffery,00-0029137,26.1,12,2012,3,9,17.633333333333333,vet,True,14.888120295634483,15.179405480140774,2.4539278531925586,2.74521303769885
2015,DeAndre Hopkins,00-0030564,28.7,13,2013,2,16,20.693749999999998,vet,True,14.67424103847541,14.888359769943483,5.805390230056515,6.019508961524588
2015,Mike Evans,00-0031408,30.0,14,2014,1,15,14.173333333333336,soph,True,14.57446506937044,14.888359769943483,-0.7150264366101471,-0.4011317360371045
2015,Emmanuel Sanders,00-0027685,31.9,15,2010,5,15,15.093333333333334,vet,True,14.436156501078635,14.888359769943483,0.20497356338985107,0.6571768322546987
2015,Davante Adams,00-0031381,34.6,16,2014,1,13,8.176923076923076,soph,True,14.253165127202589,14.183591681330652,-6.006668604407576,-6.076242050279513
2015,Jarvis Landry,00-0031382,36.6,17,2014,1,16,17.21,soph,True,14.126600031268229,14.183591681330652,3.0264083186693487,3.083399968731772
2015,Andre Johnson,00-0022044,37.7,18,2003,12,15,7.686666666666667,vet,True,14.059906257730779,14.133351985789945,-6.446685319123278,-6.373239591064111
2015,Jeremy Maclin,00-0026995,38.8,19,2009,6,15,16.21333333333333,vet,True,13.995130743402694,14.133351985789945,2.079981347543386,2.2182025899306375
