year,name,gsis_id,adp,adp_rank,rookie_season,exp,games,ppg,tier,in_fit,m_ols,m_iso,resid_iso,resid_ols
2015,Adrian Peterson,00-0025394,1.8,1,2007,8,16,16.29375,vet,True,20.95851988390355,19.31297081332533,-3.0192208133253295,-4.664769883903549
2015,LeVeon Bell,00-0030496,3.1,2,2013,2,6,18.533333333333335,vet,True,19.505957584601916,19.31297081332533,-0.7796374799919938,-0.9726242512685808
2015,Eddie Lacy,00-0030485,4.0,3,2013,2,15,9.373333333333333,vet,True,18.824875259737627,19.31297081332533,-9.939637479991996,-9.451541926404294
2015,Jamaal Charles,00-0026213,4.5,4,2008,7,5,20.22,vet,True,18.51015425950615,19.31297081332533,0.90702918667467,1.7098457404938472
2015,Marshawn Lynch,00-0025399,8.6,5,2007,8,7,11.814285714285713,vet,True,16.779514452210023,16.801664115296468,-4.987378401010755,-4.96522873792431
2015,CJ Anderson,00-0029854,10.7,6,2013,2,15,9.42,vet,True,16.19572301014142,16.801664115296468,-7.381664115296468,-6.775723010141421
2015,Matt Forte,00-0026184,13.7,7,2008,7,13,16.515384615384615,vet,True,15.535322698920023,16.603668390433096,-0.08828377504848106,0.9800619164645923
2015,Jeremy Hill,00-0031301,14.4,8,2014,1,16,10.64375,soph,True,15.40216859550912,15.764732142857142,-5.120982142857141,-4.75841859550912
2015,DeMarco Murray,00-0028009,17.6,9,2011,4,15,12.293333333333333,vet,True,14.865968440359097,15.735458225108225,-3.442124891774892,-2.5726351070257643
2015,Justin Forsett,00-0026373,19.3,10,2008,7,10,12.24,vet,True,14.619589788292977,15.735458225108225,-3.4954582251082247,-2.379589788292977
2015,Lamar Miller,00-0029615,22.3,11,2012,3,16,14.49375,vet,True,14.233529198808208,14.529086646022046,-0.03533664602204567,0.26022080119179236
2015,LeSean McCoy,00-0027029,24.4,12,2009,6,12,14.891666666666666,vet,True,13.993055060832479,14.529086646022046,0.3625800206446197,0.8986116058341871
2015,Frank Gore,00-0023500,27.7,13,2005,10,16,12.0875,vet,True,13.65410868931839,13.4515204915999,-1.3640204915999004,-1.5666086893183895
2015,Mark Ingram II,00-0027966,31.0,14,2011,4,12,16.95,vet,True,13.353357767941565,13.4515204915999,3.4984795084000986,3.596642232058434
2015,Latavius Murray,00-0030513,33.2,15,2013,2,16,12.799999999999999,vet,True,13.17015555708805,13.4515204915999,-0.6515204915999018,-0.3701555570880508
2015,Arian Foster,00-0026796,37.5,16,2009,6,4,19.25,vet,True,12.844724962761358,13.4515204915999,5.798479508400099,6.405275037238642
2015,Doug Martin,00-0029613,38.0,17,2012,3,16,14.51875,vet,True,12.809333185092965,13.4515204915999,1.0672295084001,1.7094168149070352
2015,Ameer Abdullah,00-0032104,41.5,18,2015,0,16,7.3125,rookie,True,12.57390702882213,12.042590420341435,-4.730090420341435,-5.261407028822131
2015,Andre Ellington,00-0030287,43.7,19,2013,2,10,7.470000000000001,vet,True,12.435883663661654,12.042590420341435,-4.5725904203414345,-4.9658836636616535
2015,Carlos Hyde,00-0031045,44.7,20,2014,1,7,11.614285714285714,soph,True,12.37542768774583,12.042590420341435,-0.42830470605572124,-0.7611419734601164
2015,Chris Ivory,00-0027531,47.6,21,2010,5,15,13.513333333333334,vet,True,12.207465222264345,12.042590420341435,1.4707429129918985,1.305868111068989
2015,Alfred Morris,00-0029141,48.2,22,2012,3,16,6.0375,vet,True,12.173994553101489,11.408677885557127,-5.3711778855571275,-6.136494553101489
2015,Melvin Gordon III,00-0032144,51.8,23,2015,0,14,7.735714285714286,rookie,True,11.981524486496678,11.408677885557127,-3.6729635998428414,-4.245810200782392
2015,Jonathan Stewart,00-0026153,53.0,24,2008,7,13,12.523076923076925,vet,True,11.9203300528229,11.408677885557127,1.1143990375197976,0.6027468702540251
2015,Joseph Randle,00-0030388,56.6,25,2013,2,6,12.35,vet,True,11.744731398832371,11.408677885557127,0.9413221144428725,0.6052686011676283
2015,C.J. Spiller,00-0027861,57.9,26,2010,5,13,6.238461538461538,vet,True,11.684053643980027,11.408677885557127,-5.1702163470955895,-5.4455921055184895
2015,Todd Gurley,00-0032241,60.2,27,2015,0,13,16.03076923076923,rookie,True,11.579964406158286,11.408677885557127,4.6220913452121035,4.450804824610945
2015,TJ Yeldon,00-0032209,63.1,28,2015,0,12,12.991666666666667,rookie,True,11.454249146331872,10.627549988698345,2.3641166779683225,1.5374175203347953
2015,LeGarrette Blount,00-0027325,68.5,29,2010,5,12,10.216666666666667,vet,True,11.234839978391149,10.627549988698345,-0.4108833220316779,-1.0181733117244818
2015,Danny Woodhead,00-0026019,69.0,30,2008,7,16,15.19375,vet,True,11.215406873464492,10.627549988698345,4.566200011301655,3.978343126535508
2016,David Johnson,00-0032187,3.4,1,2015,1,16,25.4875,soph,True,19.25913236444756,19.31297081332533,6.174529186674672,6.228367635552441
2016,Todd Gurley,00-0032241,6.3,2,2015,1,16,12.3875,soph,True,17.611086933983287,18.25,-5.862500000000001,-5.223586933983288
2016,Ezekiel Elliott,00-0033045,8.3,3,2016,0,15,21.69333333333333,rookie,True,16.874389749351003,17.199379557608168,4.4939537757251635,4.818943583982328
2016,Lamar Miller,00-0029615,9.8,4,2012,4,14,13.65,vet,True,16.430492080425978,16.801664115296468,-3.1516641152964677,-2.7804920804259776
2016,Adrian Peterson,00-0025394,10.7,5,2007,9,3,3.0,vet,False,16.19572301014142,16.801664115296468,-13.801664115296468,-13.195723010141421
2016,LeVeon Bell,00-0030496,12.3,6,2013,3,12,26.45,vet,True,15.823359463181362,16.801664115296468,9.648335884703531,10.626640536818638
2016,Devonta Freeman,00-0031285,19.2,7,2014,2,16,17.75625,vet,True,14.633470547559117,15.735458225108225,2.0207917748917765,3.1227794524408843
2016,Jamaal Charles,00-0026213,19.4,8,2008,8,2,6.699999999999999,vet,False,14.60578076453699,15.735458225108225,-9.035458225108226,-7.90578076453699
2016,LeSean McCoy,00-0027029,22.0,9,2009,7,15,19.886666666666667,vet,True,14.269719912093178,14.529086646022046,5.357580020644621,5.616946754573489
2016,Eddie Lacy,00-0030485,24.0,10,2013,3,5,8.559999999999999,vet,True,14.037222019293198,14.529086646022046,-5.969086646022047,-5.477222019293199
2016,Mark Ingram II,00-0027966,25.5,11,2011,5,16,15.1375,vet,True,13.875230595737213,14.529086646022046,0.6084133539779533,1.2622694042627867
2016,Doug Martin,00-0029613,30.8,12,2012,4,8,10.6875,vet,True,13.370652586570314,13.4515204915999,-2.7640204915999007,-2.683152586570314
2016,CJ Anderson,00-0029854,33.2,13,2013,3,7,14.642857142857142,vet,True,13.17015555708805,13.4515204915999,1.1913366512572416,1.4727015857690926
2016,Latavius Murray,00-0030513,35.8,14,2013,3,14,14.87142857142857,vet,True,12.968689027159849,13.4515204915999,1.4199080798286694,1.9027395442687212
2016,DeMarco Murray,00-0028009,40.3,15,2011,5,16,18.3625,vet,True,12.652309919428856,12.425298295454546,5.937201704545455,5.710190080571145
2016,Thomas Rawls,00-0031897,41.0,16,2015,1,9,8.38888888888889,soph,True,12.606295790833963,12.042590420341435,-3.653701531452546,-4.217406901945074
2016,Matt Forte,00-0026184,43.1,17,2008,8,14,13.114285714285714,vet,True,12.472824899274153,12.042590420341435,1.0716952939442788,0.6414608150115608
2016,Carlos Hyde,00-0031045,45.7,18,2014,2,13,14.776923076923076,vet,True,12.316309343779274,12.042590420341435,2.734332656581641,2.460613733143802
2016,Jeremy Langford,00-0031569,47.1,19,2015,1,10,7.090000000000001,soph,True,12.2356813255304,12.042590420341435,-4.952590420341434,-5.1456813255304
2016,Jeremy Hill,00-0031301,49.1,20,2014,2,15,11.753333333333334,vet,True,12.124561773607093,11.408677885557127,0.3446554477762067,-0.3712284402737591
2016,Melvin Gordon III,00-0032144,53.7,21,2015,1,13,19.276923076923076,soph,True,11.885269978978375,11.408677885557127,7.868245191365949,7.391653097944701
2016,Danny Woodhead,00-0026019,53.7,22,2008,8,2,13.55,vet,False,11.885269978978375,11.408677885557127,2.1413221144428736,1.6647300210216258
2016,Arian Foster,00-0026796,57.4,23,2009,7,4,4.825,vet,True,11.707228465311099,11.408677885557127,-6.583677885557127,-6.8822284653110986
2016,Giovani Bernard,00-0030456,57.7,24,2013,3,10,12.23,vet,True,11.693299466871984,11.408677885557127,0.8213221144428733,0.5367005331280161
2016,Ryan Mathews,00-0027864,60.4,25,2010,6,13,11.123076923076923,vet,True,11.571101909974894,11.408677885557127,-0.2856009624802045,-0.44802498689797154
2016,Jonathan Stewart,00-0026153,62.8,26,2008,8,13,11.261538461538462,vet,True,11.4669832775804,11.261538461538462,0.0,-0.20544481604193798
2016,Duke Johnson,00-0032257,66.9,27,2015,1,15,9.586666666666668,soph,True,11.297993054495256,10.627549988698345,-1.0408833220316769,-1.7113263878285885
2016,DeAngelo Williams,00-0024242,69.1,28,2006,10,7,14.285714285714286,vet,True,11.211537154975348,10.627549988698345,3.658164297015942,3.0741771307389385
2016,Frank Gore,00-0023500,73.8,29,2005,11,16,13.387500000000001,vet,True,11.035706222736934,10.627549988698345,2.7599500113016564,2.351793777263067
2016,Rashad Jennings,00-0027155,74.9,30,2009,7,13,10.646153846153847,vet,True,10.996172964089682,10.627549988698345,0.018603857455502748,-0.35001911793583496
2017,David Johnson,00-0032187,1.3,1,2015,2,1,13.0,vet,False,21.82806160348787,19.31297081332533,-6.312970813325329,-8.828061603487871
2017,LeVeon Bell,00-0030496,2.3,2,2013,4,15,22.89333333333333,vet,True,20.303542834437792,19.31297081332533,3.580362520008002,2.589790498895539
2017,Ezekiel Elliott,00-0033045,6.2,3,2016,1,10,20.32,soph,True,17.653840488470436,19.149079400991166,1.1709205990088343,2.666159511529564
2017,Devonta Freeman,00-0031285,7.0,4,2014,3,14,14.299999999999999,vet,True,17.329559405948842,17.199379557608168,-2.899379557608169,-3.0295594059488433
2017,LeSean McCoy,00-0027029,7.8,5,2009,8,16,16.475,vet,True,17.04040836304344,17.199379557608168,-0.7243795576081666,-0.5654083630434386
2017,Melvin Gordon III,00-0032144,10.1,6,2015,2,16,18.006249999999998,vet,True,16.349921951797423,16.801664115296468,1.2045858847035298,1.6563280482025746
2017,Jay Ajayi,00-0031590,13.8,7,2015,2,14,9.65,vet,True,15.515889593993364,16.603668390433096,-6.953668390433096,-5.865889593993364
2017,DeMarco Murray,00-0028009,15.2,8,2011,6,15,11.433333333333334,vet,True,15.257698809490362,15.735458225108225,-4.302124891774891,-3.8243654761570287
2017,Jordan Howard,00-0032780,16.8,9,2016,1,16,12.481250000000001,soph,True,14.990271789901811,15.735458225108225,-3.254208225108224,-2.5090217899018104
2017,Kareem Hunt,00-0033923,18.7,10,2017,0,15,19.046666666666667,rookie,True,14.703977016803112,15.735458225108225,3.311208441558442,4.342689649863555
2017,Todd Gurley,00-0032241,19.4,11,2015,2,15,25.553333333333335,vet,True,14.60578076453699,15.735458225108225,9.81787510822511,10.947552568796345
2017,Christian McCaffrey,00-0033280,22.9,12,2017,0,16,14.2875,rookie,True,14.162585912667947,14.529086646022046,-0.24158664602204638,0.12491408733205311
2017,Leonard Fournette,00-0033856,27.0,13,2017,0,13,17.707692307692305,rookie,True,13.722501019061726,14.529086646022046,3.178605661670259,3.9851912886305794
2017,Dalvin Cook,00-0033893,27.5,14,2017,0,4,16.35,rookie,True,13.673471383827257,14.529086646022046,1.8209133539779554,2.676528616172744
2017,Isaiah Crowell,00-0030656,29.8,15,2014,3,16,8.96875,vet,True,13.458846735927306,13.4515204915999,-4.482770491599901,-4.490096735927306
2017,Ty Montgomery II,00-0032200,32.6,16,2015,2,8,11.45,vet,True,13.218887123255364,13.4515204915999,-2.0015204915999014,-1.7688871232553645
2017,Carlos Hyde,00-0031045,35.2,17,2014,3,16,14.6125,vet,True,13.013851344227621,13.4515204915999,1.1609795084001,1.5986486557723794
2017,Lamar Miller,00-0029615,35.2,18,2012,5,16,12.09375,vet,True,13.013851344227621,13.4515204915999,-1.3577704915999007,-0.9201013442276214
2017,Marshawn Lynch,00-0025399,36.4,19,2007,10,15,10.946666666666665,vet,True,12.924277365173179,13.4515204915999,-2.5048538249332353,-1.9776106985065134
2017,Joe Mixon,00-0033897,42.5,20,2017,0,14,10.092857142857143,rookie,True,12.51028401952129,12.042590420341435,-1.9497332774842917,-2.4174268766641465
2017,Bilal Powell,00-0028064,48.6,21,2011,6,15,9.68,vet,True,12.151911450964697,11.408677885557127,-1.7286778855571274,-2.471911450964697
2017,Doug Martin,00-0029613,49.0,22,2012,5,11,6.909090909090909,vet,True,12.130009359897105,11.408677885557127,-4.499586976466218,-5.220918450806196
2017,CJ Anderson,00-0029854,51.4,23,2013,4,16,10.94375,vet,True,12.002238079757625,11.408677885557127,-0.4649278855571275,-1.058488079757625
2017,Ameer Abdullah,00-0032104,53.0,24,2015,2,14,8.885714285714284,vet,True,11.9203300528229,11.408677885557127,-2.522963599842843,-3.0346157671086154
2017,Mark Ingram II,00-0027966,57.6,25,2011,6,16,17.375,vet,True,11.697934403246167,11.408677885557127,5.966322114442873,5.677065596753833
2017,Danny Woodhead,00-0026019,61.7,26,2008,9,8,7.324999999999999,vet,True,11.514201279999913,11.408677885557127,-4.083677885557128,-4.189201279999914
2017,Mike Gillislee,00-0030433,65.3,27,2013,4,9,7.644444444444444,vet,True,11.362674945633108,10.627549988698345,-2.9831055442539007,-3.718230501188664
2017,Rob Kelley,00-0032371,67.0,28,2016,1,7,6.171428571428572,soph,True,11.294001955695391,10.627549988698345,-4.456121417269773,-5.122573384266819
2017,Adrian Peterson,00-0025394,69.9,29,2007,10,10,7.890000000000001,vet,True,11.180779518673502,10.627549988698345,-2.737549988698344,-3.290779518673501
2017,Tevin Coleman,00-0032058,73.2,30,2015,2,15,11.18,vet,True,11.057518916519527,10.627549988698345,0.552450011301655,0.12248108348047282
2018,Todd Gurley,00-0032241,1.5,1,2015,3,14,26.57857142857143,vet,True,21.445690403819103,19.31297081332533,7.2656006152461,5.132881024752326
2018,David Johnson,00-0032187,2.8,2,2015,3,16,15.4125,vet,True,19.77792503034624,19.31297081332533,-3.900470813325329,-4.365425030346239
2018,LeVeon Bell,00-0030496,3.0,3,2013,5,0,,vet,False,19.593573307687628,19.31297081332533,,
2018,Ezekiel Elliott,00-0033045,5.3,4,2016,2,15,21.94,vet,True,18.07292986948325,19.149079400991166,2.7909205990088353,3.867070130516751
2018,Alvin Kamara,00-0033906,6.1,5,2017,1,15,23.613333333333333,soph,True,17.69728925309543,19.149079400991166,4.464253932342167,5.916044080237903
2018,Saquon Barkley,00-0034844,6.5,6,2018,0,16,24.1125,rookie,True,17.527578882959,18.25,5.862500000000001,6.584921117041002
2018,Melvin Gordon III,00-0032144,9.1,7,2015,3,12,22.958333333333332,vet,True,16.628511557436134,16.801664115296468,6.156669218036864,6.329821775897198
2018,Leonard Fournette,00-0033856,9.4,8,2017,1,8,15.05,soph,True,16.54184319835599,16.801664115296468,-1.7516641152964674,-1.4918431983559906
2018,Kareem Hunt,00-0033923,11.4,9,2017,1,11,20.927272727272726,soph,True,16.026396857440364,16.801664115296468,4.125608611976258,4.900875869832362
2018,Christian McCaffrey,00-0033280,12.7,10,2017,1,16,24.09375,soph,True,15.737846880817948,16.801664115296468,7.292085884703532,8.355903119182052
2018,Dalvin Cook,00-0033893,15.6,11,2017,1,11,13.818181818181818,soph,True,15.188291266911966,15.735458225108225,-1.9172764069264066,-1.3701094487301475
2018,Devonta Freeman,00-0031285,19.1,12,2014,4,2,7.05,vet,False,14.647423791536418,15.735458225108225,-8.685458225108224,-7.597423791536419
2018,Jordan Howard,00-0032780,20.0,13,2016,2,16,11.25,vet,True,14.524392539208753,14.529086646022046,-3.279086646022046,-3.274392539208753
2018,Joe Mixon,00-0033897,23.3,14,2017,1,14,17.385714285714286,soph,True,14.116315662986452,14.529086646022046,2.85662763969224,3.2693986227278344
2018,Royce Freeman,00-0034838,29.0,15,2018,0,14,7.235714285714286,rookie,True,13.531559798242998,13.4515204915999,-6.215806205885615,-6.295845512528713
2018,LeSean McCoy,00-0027029,29.9,16,2009,9,14,9.085714285714285,vet,True,13.449895169264733,13.4515204915999,-4.365806205885615,-4.364180883550448
2018,Alex Collins,00-0032426,31.5,17,2016,2,10,10.86,vet,True,13.310604213454416,13.4515204915999,-2.5915204915999013,-2.450604213454417
2018,Kenyan Drake,00-0033118,32.8,18,2016,2,16,12.887500000000001,vet,True,13.202544319099884,13.4515204915999,-0.5640204915998996,-0.31504431909988284
2018,Jerick McKinnon,00-0031376,34.3,19,2014,4,0,,vet,False,13.083059130505717,13.4515204915999,,
2018,Lamar Miller,00-0029615,38.0,20,2012,6,14,12.328571428571427,vet,True,12.809333185092965,13.4515204915999,-1.1229490630284733,-0.4807617565215381
2018,Derrick Henry,00-0032764,42.1,21,2016,2,16,12.584999999999999,vet,True,12.535551726957358,12.042590420341435,0.542409579658564,0.04944827304264088
2018,Mark Ingram II,00-0027966,45.9,22,2011,7,12,11.875,vet,True,12.304641027640182,12.042590420341435,-0.16759042034143512,-0.42964102764018186
2018,Jay Ajayi,00-0031590,46.6,23,2015,3,4,10.85,vet,True,12.264198566854976,12.042590420341435,-1.1925904203414355,-1.4141985668549761
2018,Marshawn Lynch,00-0025399,52.6,24,2007,11,6,13.166666666666666,vet,True,11.94057287804521,11.408677885557127,1.757988781109539,1.2260937886214567
2018,Carlos Hyde,00-0031045,53.9,25,2014,4,13,7.515384615384615,vet,True,11.87533673278153,11.408677885557127,-3.893293270172512,-4.359952117396915
2018,Dion Lewis,00-0028087,55.5,26,2011,7,16,10.04375,vet,True,11.797172763838068,11.408677885557127,-1.3649278855571279,-1.7534227638380688
2018,Jamaal Williams,00-0033948,59.7,27,2017,1,14,8.1,soph,True,11.602250107900536,11.408677885557127,-3.3086778855571275,-3.5022501079005366
2018,Kerryon Johnson,00-0034349,62.5,28,2018,0,10,13.940000000000001,rookie,True,11.479778386545435,11.408677885557127,2.531322114442874,2.460221613454566
2018,Rex Burkhead,00-0030288,64.0,29,2013,5,8,6.2125,vet,True,11.41640687521172,10.627549988698345,-4.415049988698344,-5.20390687521172
2018,Chris Carson,00-0033594,66.7,30,2017,1,14,14.385714285714286,soph,True,11.305993180680211,10.627549988698345,3.7581642970159415,3.079721105034075
2019,Saquon Barkley,00-0034844,1.4,1,2018,1,13,18.776923076923076,soph,True,21.630042126477715,19.31297081332533,-0.5360477364022529,-2.853119049554639
2019,Alvin Kamara,00-0033906,2.5,2,2017,2,14,17.751428571428573,vet,True,20.080743827603182,19.31297081332533,-1.5615422418967562,-2.3293152561746098
2019,Christian McCaffrey,00-0033280,3.2,3,2017,2,16,29.45,vet,True,19.421123788003545,19.31297081332533,10.13702918667467,10.028876211996455
2019,Ezekiel Elliott,00-0033045,3.9,4,2016,3,16,19.48125,vet,True,18.89252545917492,19.31297081332533,0.16827918667467046,0.5887245408250799
2019,James Conner,00-0033553,7.1,5,2017,2,10,14.55,vet,True,17.291657491741006,17.199379557608168,-2.6493795576081673,-2.7416574917410053
2019,David Johnson,00-0032187,7.1,6,2015,4,11,12.845454545454546,vet,True,17.291657491741006,17.199379557608168,-4.353925012153622,-4.44620294628646
2019,LeVeon Bell,00-0030496,8.8,7,2013,6,15,14.333333333333334,vet,True,16.718085536490573,16.801664115296468,-2.468330781963134,-2.3847522031572392
2019,Nick Chubb,00-0034791,11.7,8,2018,1,16,15.95,soph,True,15.956989314861968,16.801664115296468,-0.8516641152964688,-0.00698931486196841
2019,Dalvin Cook,00-0033893,14.6,9,2017,2,14,20.885714285714283,vet,True,15.365312284973296,15.764732142857142,5.120982142857141,5.520402000740987
2019,Todd Gurley,00-0032241,16.0,10,2015,4,15,14.626666666666667,vet,True,15.120641067474672,15.735458225108225,-1.108791558441558,-0.49397440080800514
2019,Joe Mixon,00-0033897,18.4,11,2017,2,16,14.0875,vet,True,14.747191546043362,15.735458225108225,-1.6479582251082245,-0.6596915460433621
2019,Leonard Fournette,00-0033856,23.2,12,2017,2,15,17.293333333333333,vet,True,14.12780832650892,14.529086646022046,2.764246687311287,3.1655250068244136
2019,Damien Williams,00-0030874,25.5,13,2014,5,11,12.827272727272726,vet,True,13.875230595737213,14.529086646022046,-1.7018139187493198,-1.0479578684644864
2019,Chris Carson,00-0033594,26.5,14,2017,2,15,15.506666666666666,vet,True,13.772447148954376,14.529086646022046,0.9775800206446199,1.7342195177122903
2019,Kerryon Johnson,00-0034349,28.5,15,2018,1,8,10.625,soph,True,13.578031233042967,13.4515204915999,-2.8265204915999007,-2.9530312330429673
2019,Aaron Jones Sr.,00-0033293,29.2,16,2017,2,16,19.675,vet,True,13.513195188841822,13.4515204915999,6.2234795084001,6.161804811158179
2019,Devonta Freeman,00-0031285,30.4,17,2014,5,14,14.114285714285714,vet,True,13.405581713358885,13.4515204915999,0.6627652226858132,0.7087040009268293
2019,David Montgomery,00-0035685,31.3,18,2019,0,16,10.65,rookie,True,13.327623635004876,13.4515204915999,-2.8015204915999004,-2.677623635004876
2019,Josh Jacobs,00-0035700,33.1,19,2019,0,13,14.738461538461538,rookie,True,13.178216016140825,13.4515204915999,1.286941046861637,1.560245522320713
2019,Sony Michel,00-0034845,37.4,20,2018,1,16,9.5375,soph,True,12.851859920671634,13.4515204915999,-3.914020491599901,-3.3143599206716345
2019,Mark Ingram II,00-0027966,39.7,21,2011,8,15,16.166666666666668,vet,True,12.69239127321153,12.425298295454546,3.741368371212122,3.4742753934551374
2019,Melvin Gordon III,00-0032144,42.0,22,2015,4,12,15.066666666666665,vet,True,12.541906165504415,12.042590420341435,3.0240762463252295,2.52476050116225
2019,Derrick Henry,00-0032764,43.8,23,2016,3,15,19.64,vet,True,12.429776140660346,12.042590420341435,7.5974095796585654,7.210223859339655
2019,Marlon Mack,00-0033951,46.5,24,2017,2,14,12.950000000000001,vet,True,12.269938719760091,12.042590420341435,0.907409579658566,0.6800612802399097
2019,James White,00-0031062,48.1,25,2014,5,15,13.479999999999999,vet,True,12.179543963506832,12.042590420341435,1.4374095796585635,1.3004560364931663
2019,Duke Johnson,00-0032257,51.7,26,2015,4,16,9.625,vet,True,11.986687850711546,11.408677885557127,-1.7836778855571271,-2.3616878507115455
2019,Phillip Lindsay,00-0034109,55.6,27,2018,1,16,12.35625,soph,True,11.792362609254216,11.408677885557127,0.9475721144428721,0.5638873907457835
2019,Tevin Coleman,00-0032058,57.7,28,2015,4,14,9.671428571428573,vet,True,11.693299466871984,11.408677885557127,-1.7372493141285545,-2.0218708954434117
2019,Miles Sanders,00-0035243,59.0,29,2019,0,16,13.668750000000001,rookie,True,11.63376568983851,11.408677885557127,2.260072114442874,2.034984310161491
2019,Austin Ekeler,00-0033699,61.7,30,2017,2,16,19.3125,vet,True,11.514201279999913,11.408677885557127,7.903822114442873,7.798298720000087
2020,Christian McCaffrey,00-0033280,1.2,1,2017,3,3,30.133333333333336,vet,False,22.041938932085024,19.31297081332533,10.820362520008008,8.091394401248312
2020,Saquon Barkley,00-0034844,2.5,2,2018,2,2,7.699999999999999,vet,False,20.080743827603182,19.31297081332533,-11.61297081332533,-12.380743827603183
2020,Ezekiel Elliott,00-0033045,3.4,3,2016,4,15,14.913333333333332,vet,True,19.25913236444756,19.31297081332533,-4.399637479991997,-4.345799031114227
2020,Alvin Kamara,00-0033906,4.9,4,2017,3,15,25.186666666666667,vet,True,18.282609176557454,19.31297081332533,5.873695853341339,6.9040574901092135
2020,Clyde Edwards-Helaire,00-0036360,6.2,5,2020,0,13,13.538461538461538,rookie,True,17.653840488470436,19.149079400991166,-5.610617862529628,-4.115378950008898
2020,Dalvin Cook,00-0033893,6.2,6,2017,3,14,24.12857142857143,vet,True,17.653840488470436,19.149079400991166,4.979492027580264,6.474730940100994
2020,Derrick Henry,00-0032764,7.4,7,2016,4,16,20.81875,vet,True,17.181074532548415,17.199379557608168,3.6193704423918334,3.6376754674515865
2020,Josh Jacobs,00-0035700,9.1,8,2019,1,15,15.42,soph,True,16.628511557436134,16.801664115296468,-1.3816641152964682,-1.2085115574361343
2020,Austin Ekeler,00-0033699,11.5,9,2017,3,10,16.53,vet,True,16.00306011390892,16.801664115296468,-0.27166411529646695,0.5269398860910819
2020,Miles Sanders,00-0035243,12.0,10,2019,1,12,14.200000000000001,soph,True,15.889339115424676,16.801664115296468,-2.601664115296467,-1.6893391154246746
2020,Joe Mixon,00-0033897,13.1,11,2017,3,6,16.6,vet,True,15.654986283189054,16.603668390433096,-0.00366839043309497,0.9450137168109478
2020,Kenyan Drake,00-0033118,14.8,12,2016,4,15,12.813333333333333,vet,True,15.328957436416939,15.735458225108225,-2.9221248917748923,-2.5156241030836064
