year,name,pos,adp,stdev,team,pid,games,ppg,rookie_season,exp,tier,in_fit,adp_rank,adp_dec,m_iso_deep,resid_iso
2015,Adrian Peterson,RB,1.8,1.0,MIN,00-0025394,16,16.29375,2007,8,vet,True,1,1,19.40125646412411,-3.1075064641241106
2015,LeVeon Bell,RB,3.1,1.7,PIT,00-0030496,6,18.533333333333335,2013,2,vet,True,2,1,19.40125646412411,-0.8679231307907749
2015,Eddie Lacy,RB,4.0,1.6,GB,00-0030485,15,9.373333333333333,2013,2,vet,True,3,1,19.40125646412411,-10.027923130790777
2015,Jamaal Charles,RB,4.5,1.6,KC,00-0026213,5,20.22,2008,7,vet,True,4,1,19.40125646412411,0.818743535875889
2015,Marshawn Lynch,RB,8.6,2.3,SEA,00-0025399,7,11.814285714285713,2007,8,vet,True,5,1,16.783941579810566,-4.969655865524853
2015,CJ Anderson,RB,10.7,3.0,DEN,00-0029854,15,9.42,2013,2,vet,True,6,2,16.783941579810566,-7.363941579810566
2015,Matt Forte,RB,13.7,3.1,CHI,00-0026184,13,16.515384615384615,2008,7,vet,True,7,2,16.113404977375566,0.401979638009049
2015,Jeremy Hill,RB,14.4,2.8,CIN,00-0031301,16,10.64375,2014,1,soph,True,8,2,15.764732142857142,-5.120982142857141
2015,DeMarco Murray,RB,17.6,3.4,PHI,00-0028009,15,12.293333333333333,2011,4,vet,True,9,2,15.48991409805029,-3.1965807647169573
2015,Justin Forsett,RB,19.3,3.2,BAL,00-0026373,10,12.24,2008,7,vet,True,10,2,15.48991409805029,-3.24991409805029
2015,Lamar Miller,RB,22.3,3.0,MIA,00-0029615,16,14.49375,2012,3,vet,True,11,2,14.434106455309395,0.059643544690604955
2015,LeSean McCoy,RB,24.4,4.2,BUF,00-0027029,12,14.891666666666666,2009,6,vet,True,12,3,14.434106455309395,0.4575602113572703
2015,Frank Gore,RB,27.7,3.4,IND,00-0023500,16,12.0875,2005,10,vet,True,13,3,13.416324058711414,-1.3288240587114135
2015,Mark Ingram II,RB,31.0,3.2,NO,00-0027966,12,16.95,2011,4,vet,True,14,3,13.416324058711414,3.5336759412885854
2015,Latavius Murray,RB,33.2,4.1,LV,00-0030513,16,12.799999999999999,2013,2,vet,True,15,3,13.416324058711414,-0.6163240587114149
2015,Arian Foster,RB,37.5,4.8,HOU,00-0026796,4,19.25,2009,6,vet,True,16,3,13.416324058711414,5.833675941288586
2015,Doug Martin,RB,38.0,4.8,TB,00-0029613,16,14.51875,2012,3,vet,True,17,3,13.416324058711414,1.1024259412885868
2015,Ameer Abdullah,RB,41.5,6.0,DET,00-0032104,16,7.3125,2015,0,rookie,True,18,4,12.035856922066072,-4.723356922066072
2015,Andre Ellington,RB,43.7,5.7,ARI,00-0030287,10,7.470000000000001,2013,2,vet,True,19,4,12.035856922066072,-4.565856922066072
2015,Carlos Hyde,RB,44.7,5.6,SF,00-0031045,7,11.614285714285714,2014,1,soph,True,20,4,12.035856922066072,-0.4215712077803584
2015,Chris Ivory,RB,47.6,6.3,NYJ,00-0027531,15,13.513333333333334,2010,5,vet,True,21,4,12.035856922066072,1.4774764112672614
2015,Alfred Morris,RB,48.2,6.9,WAS,00-0029141,16,6.0375,2012,3,vet,True,22,4,11.360280038588861,-5.322780038588862
2015,Melvin Gordon III,RB,51.8,7.1,LAC,00-0032144,14,7.735714285714286,2015,0,rookie,True,23,4,11.360280038588861,-3.6245657528745756
2015,Jonathan Stewart,RB,53.0,6.1,CAR,00-0026153,13,12.523076923076925,2008,7,vet,True,24,4,11.360280038588861,1.1627968844880634
2015,Joseph Randle,RB,56.6,5.9,DAL,00-0030388,6,12.35,2013,2,vet,True,25,5,11.360280038588861,0.9897199614111383
2015,C.J. Spiller,RB,57.9,6.4,NO,00-0027861,13,6.238461538461538,2010,5,vet,True,26,5,11.360280038588861,-5.121818500127324
2015,Todd Gurley,RB,60.2,6.3,LAR,00-0032241,13,16.03076923076923,2015,0,rookie,True,27,5,11.360280038588861,4.670489192180369
2015,TJ Yeldon,RB,63.1,6.1,JAX,00-0032209,12,12.991666666666667,2015,0,rookie,True,28,5,10.925918745824406,2.065747920842261
2015,LeGarrette Blount,RB,68.5,7.9,NE,00-0027325,12,10.216666666666667,2010,5,vet,True,29,5,10.925918745824406,-0.7092520791577392
2015,Danny Woodhead,RB,69.0,6.8,LAC,00-0026019,16,15.19375,2008,7,vet,True,30,5,10.925918745824406,4.267831254175594
2015,Giovani Bernard,RB,75.5,8.4,CIN,00-0030456,16,11.325,2013,2,vet,True,31,6,10.925918745824406,0.39908125417559326
2015,Shane Vereen,RB,77.9,8.3,NYG,00-0027994,16,9.9,2011,4,vet,True,32,6,10.925918745824406,-1.0259187458244057
2015,Ryan Mathews,RB,78.9,9.0,PHI,00-0027864,12,10.375,2010,5,vet,True,33,6,10.925918745824406,-0.550918745824406
2015,Joique Bell,RB,80.5,8.7,DET,00-0027218,13,8.13076923076923,2010,5,vet,True,34,6,9.51747964997965,-1.38671041921042
2015,Rashad Jennings,RB,81.7,8.6,NYG,00-0027155,16,10.30625,2009,6,vet,True,35,6,9.51747964997965,0.78877035002035
2015,Darren McFadden,RB,84.6,9.1,DAL,00-0026144,16,12.23125,2008,7,vet,True,36,6,9.4762971493062,2.7549528506937992
2015,Alfred Blue,RB,86.4,7.9,HOU,00-0031075,14,7.978571428571428,2014,1,soph,True,37,6,9.4762971493062,-1.4977257207347723
2015,Tevin Coleman,RB,88.9,8.3,ATL,00-0032058,11,3.8454545454545452,2015,0,rookie,True,38,6,9.4762971493062,-5.630842603851654
2015,Isaiah Crowell,RB,95.4,9.5,CLE,00-0030656,16,8.612499999999999,2014,1,soph,True,39,7,9.4762971493062,-0.8637971493062011
2015,Devonta Freeman,RB,96.2,10.0,ATL,00-0031285,15,21.09333333333333,2014,1,soph,True,40,7,9.4762971493062,11.61703618402713
2015,Bishop Sankey,RB,100.2,9.8,TEN,00-0031413,9,6.577777777777778,2014,1,soph,True,41,7,9.4762971493062,-2.8985193715284217
2015,Duke Johnson,RB,101.8,9.1,CLE,00-0032257,16,10.26875,2015,0,rookie,True,42,7,9.4762971493062,0.7924528506938007
2015,Darren Sproles,RB,106.4,10.3,PHI,00-0023564,16,10.09375,2005,10,vet,True,43,7,8.801446416016189,1.292303583983811
2015,Tre Mason,RB,109.0,11.0,LAR,00-0031391,13,3.9615384615384617,2014,1,soph,True,44,8,8.801446416016189,-4.839907954477727
2015,Ronnie Hillman,RB,114.0,9.6,DEN,00-0029683,16,10.0875,2012,3,vet,True,45,8,8.801446416016189,1.2860535839838114
2015,David Johnson,RB,118.0,10.1,ARI,00-0032187,15,14.4,2015,0,rookie,True,46,8,8.801446416016189,5.598553583983811
2015,Knile Davis,RB,121.2,10.6,KC,00-0030280,6,2.783333333333333,2013,2,vet,True,47,8,8.514685960281549,-5.731352626948215
2015,Matt Jones,RB,124.4,12.8,WAS,00-0031939,13,8.8,2015,0,rookie,True,48,8,8.514685960281549,0.28531403971845215
2015,DeAngelo Williams,RB,129.1,12.2,PIT,00-0024242,14,16.664285714285715,2006,9,vet,True,49,9,8.371889717425432,8.292395996860282
2015,Reggie Bush,RB,129.5,11.3,SF,00-0024217,3,2.9333333333333336,2006,9,vet,False,50,9,7.491790151433535,-4.558456818100201
2015,David Cobb,RB,130.4,10.3,TEN,00-0032133,7,3.057142857142857,2015,0,rookie,True,51,9,7.491790151433535,-4.434647294290678
2015,Roy Helu,RB,142.7,13.3,LV,00-0028043,6,4.033333333333333,2011,4,vet,True,52,9,7.491790151433535,-3.458456818100202
2015,Cameron Artis-Payne,RB,145.8,15.5,CAR,00-0031599,5,7.0200000000000005,2015,0,rookie,True,53,9,7.491790151433535,-0.47179015143353453
2015,Christine Michael,RB,148.8,17.4,SEA,00-0030432,6,4.733333333333333,2013,2,vet,True,54,9,7.491790151433535,-2.7584568181002016
2015,Fred Jackson,RB,149.9,19.3,,00-0024204,13,5.707692307692308,2006,9,vet,True,55,9,7.491790151433535,-1.7840978437412272
2015,Charles Sims,RB,150.3,17.2,TB,00-0031390,16,11.25,2014,1,soph,True,56,9,7.491790151433535,3.758209848566465
2015,Jonas Gray,RB,150.9,16.7,NE,00-0029104,6,5.366666666666666,2012,3,vet,True,57,9,7.491790151433535,-2.1251234847668687
2015,Denard Robinson,RB,154.2,17.2,JAX,00-0030547,11,6.1,2013,2,vet,True,58,10,7.491790151433535,-1.3917901514335353
2015,Andre Williams,RB,154.8,16.5,NYG,00-0031055,16,2.2125,2014,1,soph,True,59,10,7.491790151433535,-5.2792901514335355
2015,James Starks,RB,156.5,12.8,GB,00-0027791,16,10.39375,2010,5,vet,True,60,10,7.491790151433535,2.9019598485664657
2015,Khiry Robinson,RB,156.8,14.3,NO,00-0030348,8,8.8125,2013,2,vet,True,61,10,7.491790151433535,1.320709848566465
2016,David Johnson,RB,3.4,1.5,ARI,00-0032187,16,25.4875,2015,1,soph,True,1,1,19.40125646412411,6.086243535875891
2016,Todd Gurley,RB,6.3,1.8,LAR,00-0032241,16,12.3875,2015,1,soph,True,2,1,18.25,-5.862500000000001
2016,Ezekiel Elliott,RB,8.3,2.0,DAL,00-0033045,15,21.69333333333333,2016,0,rookie,True,3,1,16.783941579810566,4.909391753522765
2016,Lamar Miller,RB,9.8,2.2,HOU,00-0029615,14,13.65,2012,4,vet,True,4,1,16.783941579810566,-3.133941579810566
2016,Adrian Peterson,RB,10.7,2.6,MIN,00-0025394,3,3.0,2007,9,vet,False,5,2,16.783941579810566,-13.783941579810566
2016,LeVeon Bell,RB,12.3,2.9,PIT,00-0030496,12,26.45,2013,3,vet,True,6,2,16.783941579810566,9.666058420189433
2016,Devonta Freeman,RB,19.2,3.4,ATL,00-0031285,16,17.75625,2014,2,vet,True,7,2,15.48991409805029,2.266335901949711
2016,Jamaal Charles,RB,19.4,3.7,KC,00-0026213,2,6.699999999999999,2008,8,vet,False,8,2,15.48991409805029,-8.789914098050291
2016,LeSean McCoy,RB,22.0,3.3,BUF,00-0027029,15,19.886666666666667,2009,7,vet,True,9,2,14.434106455309395,5.452560211357271
2016,Eddie Lacy,RB,24.0,3.8,GB,00-0030485,5,8.559999999999999,2013,3,vet,True,10,3,14.434106455309395,-5.874106455309397
2016,Mark Ingram II,RB,25.5,3.8,NO,00-0027966,16,15.1375,2011,5,vet,True,11,3,14.434106455309395,0.7033935446906039
2016,Doug Martin,RB,30.8,3.9,TB,00-0029613,8,10.6875,2012,4,vet,True,12,3,13.416324058711414,-2.728824058711414
2016,CJ Anderson,RB,33.2,3.5,DEN,00-0029854,7,14.642857142857142,2013,3,vet,True,13,3,13.416324058711414,1.2265330841457285
2016,Latavius Murray,RB,35.8,3.9,LV,00-0030513,14,14.87142857142857,2013,3,vet,True,14,3,13.416324058711414,1.4551045127171562
2016,DeMarco Murray,RB,40.3,4.7,TEN,00-0028009,16,18.3625,2011,5,vet,True,15,4,13.006055194805196,5.356444805194805
2016,Thomas Rawls,RB,41.0,5.1,SEA,00-0031897,9,8.38888888888889,2015,1,soph,True,16,4,12.035856922066072,-3.646968033177183
2016,Matt Forte,RB,43.1,5.2,NYJ,00-0026184,14,13.114285714285714,2008,8,vet,True,17,4,12.035856922066072,1.0784287922196416
2016,Carlos Hyde,RB,45.7,5.4,SF,00-0031045,13,14.776923076923076,2014,2,vet,True,18,4,12.035856922066072,2.7410661548570037
