year,name,pos,adp,stdev,team,gsis_id,adp_rank,games,ppg,rookie_season,exp,tier,in_fit,m_ols,m_iso,resid_iso,resid_ols
2015,Rob Gronkowski,TE,10.3,3.3,NE,00-0027656,1,15,17.04,2010,5,vet,True,16.08271209728193,16.848927029465635,0.19107297053436412,0.9572879027180683
2015,Jimmy Graham,TE,33.5,5.1,SEA,00-0027696,2,11,10.954545454545455,2010,5,vet,True,13.137507738648615,13.476185064935066,-2.5216396103896113,-2.1829622841031604
2015,Greg Olsen,TE,45.1,6.3,CAR,00-0025418,3,16,14.2125,2007,8,vet,True,12.394997550570876,12.894331232492998,1.318168767507002,1.8175024494291243
2015,Travis Kelce,TE,50.6,5.5,KC,00-0030506,4,16,11.84375,2013,2,vet,True,12.107646144709546,11.629775407394895,0.21397459260510487,-0.2638961447095465
2015,Martellus Bennett,TE,60.3,6.2,CHI,00-0026201,5,11,10.445454545454545,2008,7,vet,True,11.669685471654791,11.629775407394895,-1.1843208619403498,-1.2242309262002458
2015,Jordan Cameron,TE,76.9,8.1,MIA,00-0028040,6,14,6.321428571428571,2011,4,vet,True,11.062431344015545,10.353369451689588,-4.031940880261017,-4.741002772586974
2015,Jason Witten,TE,83.7,11.9,DAL,00-0022127,7,16,10.26875,2003,12,vet,True,10.850835641353228,10.353369451689588,-0.08461945168958707,-0.5820856413532276
2015,Owen Daniels,TE,89.7,13.1,DEN,00-0024313,8,15,7.546666666666667,2006,9,vet,True,10.677949845677263,10.353369451689588,-2.806702785022921,-3.1312831790105964
2015,Tyler Eifert,TE,95.5,12.3,CIN,00-0030549,9,13,14.73076923076923,2013,2,vet,True,10.52148643493932,10.353369451689588,4.377399779079642,4.20928279582991
2015,Delanie Walker,TE,98.0,11.5,TEN,00-0024389,10,15,16.293333333333333,2006,9,vet,True,10.456955650552501,10.353369451689588,5.939963881643745,5.836377682780832
2015,Kyle Rudolph,TE,110.5,13.9,MIN,00-0027981,11,15,8.566666666666666,2011,4,vet,True,10.157171391908996,10.059453965152493,-1.4927872984858261,-1.5905047252423294
2015,Zach Ertz,TE,126.2,15.1,PHI,00-0030061,12,15,11.353333333333333,2013,2,vet,True,9.825411987734622,10.059453965152493,1.293879368180841,1.5279213455987115
2015,Julius Thomas,TE,130.5,16.9,JAX,00-0028067,13,12,10.125,2011,4,vet,True,9.741742530644915,10.059453965152493,0.06554603484750743,0.383257469355085
2015,Antonio Gates,TE,140.4,16.8,LAC,00-0021547,14,11,13.545454545454545,2003,12,vet,True,9.559141435829597,10.059453965152493,3.4860005803020524,3.9863131096249482
2015,Dwayne Allen,TE,145.1,20.2,IND,00-0029689,15,7,3.514285714285714,2012,3,vet,True,9.476914383712531,9.359024349638846,-5.844738635353131,-5.962628669426817
2015,Vernon Davis,TE,150.3,20.2,SF,00-0024221,16,11,7.045454545454546,2006,9,vet,True,9.388987545616413,9.359024349638846,-2.3135698041843,-2.343533000161867
2015,Richard Rodgers,TE,151.6,16.6,GB,00-0031384,17,16,10.00625,2014,1,soph,True,9.367481197966063,9.359024349638846,0.647225650361154,0.6387688020339368
