year,name,pos,adp,stdev,team,pid,games,ppg,rookie_season,exp,tier,in_fit,adp_rank,adp_dec,m_iso_deep,resid_iso
2015,Antonio Brown,WR,2.5,1.4,PIT,00-0027793,16,24.3875,2010,5,vet,True,1,1,20.3425,4.044999999999998
2015,Julio Jones,WR,6.2,1.9,ATL,00-0027944,16,23.06875,2011,4,vet,True,2,1,18.379251629089865,4.689498370910137
2015,Dez Bryant,WR,7.6,1.7,DAL,00-0027902,9,9.899999999999999,2010,5,vet,True,3,1,17.943725961538462,-8.043725961538463
2015,Demaryius Thomas,WR,9.1,1.9,DEN,00-0027874,16,16.7125,2010,5,vet,True,4,1,17.943725961538462,-1.2312259615384633
2015,Odell Beckham Jr.,WR,11.4,2.8,NYG,00-0031235,15,21.28666666666667,2014,1,soph,True,5,1,16.94065359477124,4.3460130718954275
2015,Calvin Johnson,WR,13.1,2.4,DET,00-0025389,15,17.233333333333334,2007,8,vet,True,6,1,16.42261932202348,0.8107140113098552
2015,Randall Cobb,WR,15.9,2.4,GB,00-0028002,16,12.68125,2011,4,vet,True,7,1,16.42261932202348,-3.7413693220234787
2015,A.J. Green,WR,16.7,2.5,CIN,00-0027942,16,17.10625,2011,4,vet,True,8,2,16.42261932202348,0.6836306779765202
2015,Brandin Cooks,WR,20.6,2.9,NO,00-0031236,16,15.85,2014,1,soph,True,9,2,15.39774859415863,0.4522514058413698
2015,T.Y. Hilton,WR,22.8,2.7,IND,00-0029608,16,13.2125,2012,3,vet,True,10,2,15.39774859415863,-2.1852485941586295
2015,Jordan Matthews,WR,24.4,2.8,PHI,00-0031299,16,14.41875,2014,1,soph,True,11,2,15.39774859415863,-0.9789985941586306
2015,Alshon Jeffery,WR,26.1,3.1,CHI,00-0029137,9,17.633333333333333,2012,3,vet,True,12,2,15.39774859415863,2.235584739174703
2015,DeAndre Hopkins,WR,28.7,3.3,HOU,00-0030564,16,20.693749999999998,2013,2,vet,True,13,2,14.881502854988153,5.812247145011845
2015,Mike Evans,WR,30.0,3.4,TB,00-0031408,15,14.173333333333336,2014,1,soph,True,14,2,14.881502854988153,-0.708169521654817
2015,Emmanuel Sanders,WR,31.9,3.7,DEN,00-0027685,15,15.093333333333334,2010,5,vet,True,15,3,14.881502854988153,0.2118304783451812
2015,Davante Adams,WR,34.6,4.3,GB,00-0031381,13,8.176923076923076,2014,1,soph,True,16,3,14.318447404719464,-6.141524327796388
2015,Jarvis Landry,WR,36.6,4.4,MIA,00-0031382,16,17.21,2014,1,soph,True,17,3,14.318447404719464,2.8915525952805368
2015,Andre Johnson,WR,37.7,4.2,IND,00-0022044,15,7.686666666666667,2003,12,vet,True,18,3,14.318447404719464,-6.631780738052797
2015,Jeremy Maclin,WR,38.8,4.8,KC,00-0026995,15,16.21333333333333,2009,6,vet,True,19,3,14.318447404719464,1.894885928613867
2015,Amari Cooper,WR,40.8,4.4,LV,00-0031544,16,13.29375,2015,0,rookie,True,20,3,14.318447404719464,-1.0246974047194648
2015,Julian Edelman,WR,41.9,4.5,NE,00-0027150,9,19.166666666666668,2009,6,vet,True,21,3,14.318447404719464,4.848219261947204
2015,Golden Tate,WR,43.5,4.3,DET,00-0027891,16,13.0875,2010,5,vet,True,22,3,13.894337842606387,-0.8068378426063862
2015,Keenan Allen,WR,48.7,5.4,LAC,00-0030279,8,20.4375,2013,2,vet,True,23,4,13.894337842606387,6.543162157393613
2015,Brandon Marshall,WR,50.5,5.6,NYJ,00-0024334,16,21.2,2006,9,vet,True,24,4,13.894337842606387,7.305662157393613
2015,Allen Robinson II,WR,53.5,6.0,JAX,00-0031428,16,19.0,2014,1,soph,True,25,4,13.173062271062273,5.826937728937727
2015,Nelson Agholor,WR,56.6,5.7,PHI,00-0031549,11,5.072727272727272,2015,0,rookie,True,26,4,12.853924073475543,-7.781196800748271
2015,Charles Johnson,WR,61.6,6.8,MIN,00-0008454,0,,1994,21,vet,False,27,5,12.853924073475543,
2015,Sammy Watkins,WR,62.5,6.4,,00-0031325,13,16.83076923076923,2014,1,soph,True,28,5,12.853924073475543,3.9768451572936883
2015,John Brown,WR,64.3,7.0,ARI,00-0031051,15,13.833333333333334,2014,1,soph,True,29,5,12.853924073475543,0.9794092598577908
2015,Martavis Bryant,WR,67.2,7.2,PIT,00-0031373,11,15.47272727272727,2014,1,soph,True,30,5,12.853924073475543,2.6188031992517278
2015,Vincent Jackson,WR,70.1,7.4,TB,00-0023496,9,11.755555555555555,2005,10,vet,True,31,5,12.739458663273002,-0.9839031077174472
2015,Steve Smith,WR,72.1,8.3,BAL,00-0020337,7,18.714285714285715,2001,14,vet,True,32,5,12.739458663273002,5.9748270510127135
2015,DeSean Jackson,WR,74.0,8.5,WAS,00-0026189,8,13.35,2008,7,vet,True,33,5,12.438209229710779,0.9117907702892207
2015,Larry Fitzgerald,WR,84.1,8.0,ARI,00-0022921,16,17.53125,2004,11,vet,True,34,6,11.063778356464837,6.467471643535163
2015,Eddie Royal,WR,84.6,8.8,CHI,00-0026182,9,7.411111111111111,2008,7,vet,True,35,6,11.063778356464837,-3.652667245353726
2015,Kendall Wright,WR,88.0,8.2,TEN,00-0029708,10,9.65,2012,3,vet,True,36,6,11.063778356464837,-1.413778356464837
2015,Mike Wallace,WR,89.9,9.5,MIN,00-0026901,15,6.593333333333334,2009,6,vet,True,37,6,11.063778356464837,-4.470445023131504
2015,Victor Cruz,WR,91.3,10.0,NYG,00-0027265,0,,2010,5,vet,False,38,6,11.063778356464837,
2015,Markus Wheaton,WR,94.1,9.5,PIT,00-0030460,15,9.873333333333333,2013,2,vet,True,39,6,10.823809344250519,-0.9504760109171855
2015,Devin Funchess,WR,96.1,10.1,CAR,00-0032055,14,7.464285714285714,2015,0,rookie,True,40,6,10.823809344250519,-3.359523629964804
2015,Anquan Boldin,WR,97.3,10.2,SF,00-0022084,14,12.135714285714286,2003,12,vet,True,41,7,10.823809344250519,1.3119049414637676
2015,Steve Johnson,WR,101.3,9.1,LAC,00-0026364,9,12.522222222222222,2008,7,vet,True,42,7,10.823809344250519,1.6984128779717036
2015,Eric Decker,WR,105.3,10.0,NYJ,00-0027690,15,16.846666666666668,2010,5,vet,True,43,7,10.823809344250519,6.022857322416149
2015,Brian Quick,WR,106.8,9.7,LAR,00-0029640,6,2.85,2012,3,vet,True,44,7,10.169649826735766,-7.319649826735766
2015,Roddy White,WR,109.0,9.8,ATL,00-0023462,14,7.114285714285714,2005,10,vet,True,45,7,10.169649826735766,-3.055364112450052
2015,DeVante Parker,WR,109.5,9.2,MIA,00-0031547,7,13.157142857142857,2015,0,rookie,True,46,7,10.169649826735766,2.987493030407091
2015,Terrance Williams,WR,112.4,9.1,DAL,00-0030542,16,9.625,2013,2,vet,True,47,7,10.169649826735766,-0.5446498267357658
2015,Marques Colston,WR,118.3,9.9,NO,00-0024466,13,9.307692307692308,2006,9,vet,True,48,8,10.169649826735766,-0.8619575190434574
2015,Pierre Garcon,WR,119.3,9.0,WAS,00-0026345,16,11.606250000000001,2008,7,vet,True,49,8,10.169649826735766,1.4366001732642353
2015,Brandon Coleman,WR,123.6,9.1,NO,00-0030801,8,9.4,2014,1,soph,True,50,8,10.169649826735766,-0.7696498267357654
2015,Michael Floyd,WR,126.2,10.3,ARI,00-0029638,13,13.084615384615384,2012,3,vet,True,51,8,10.169649826735766,2.9149655578796185
2015,Ty Montgomery II,WR,129.5,11.7,NO,00-0032200,5,8.4,2015,0,rookie,True,52,8,10.169649826735766,-1.7696498267357654
2015,Torrey Smith,WR,130.6,10.9,SF,00-0027996,15,8.353333333333333,2011,4,vet,True,53,8,10.169649826735766,-1.8163164934024323
2015,Marvin Jones Jr.,WR,133.9,9.8,CIN,00-0029293,16,10.86875,2012,3,vet,True,54,9,10.169649826735766,0.6991001732642346
2015,Michael Crabtree,WR,135.6,10.0,LV,00-0026986,16,14.45,2009,6,vet,True,55,9,10.169649826735766,4.2803501732642335
2015,Brandon LaFell,WR,139.6,13.4,NE,00-0027681,10,8.559999999999999,2010,5,vet,True,56,9,10.169649826735766,-1.609649826735767
2015,Tyler Lockett,WR,140.2,13.8,SEA,00-0032211,14,11.407142857142857,2015,0,rookie,True,57,9,10.169649826735766,1.2374930304070908
2015,Breshad Perriman,WR,145.4,10.9,BAL,00-0032054,0,,2015,0,rookie,False,58,9,9.338003994797472,
2015,Dorial Green-Beckham,WR,147.0,13.8,TEN,00-0032218,13,8.684615384615384,2015,0,rookie,True,59,9,9.338003994797472,-0.6533886101820876
2015,Rueben Randle,WR,147.7,16.1,NYG,00-0029262,16,11.54375,2012,3,vet,True,60,9,9.338003994797472,2.2057460052025277
2015,Doug Baldwin,WR,148.4,20.8,SEA,00-0028434,16,16.80625,2011,4,vet,True,61,9,9.338003994797472,7.468246005202527
2015,James Jones,WR,153.9,19.3,LV,00-0025465,16,11.9375,2007,8,vet,True,62,10,9.338003994797472,2.5994960052025284
2015,Allen Hurns,WR,153.9,15.3,JAX,00-0030821,15,15.006666666666666,2014,1,soph,True,63,10,9.338003994797472,5.668662671869194
2015,Phillip Dorsett,WR,153.9,13.4,IND,00-0032208,11,4.381818181818182,2015,0,rookie,True,64,10,9.338003994797472,-4.95618581297929
2015,Percy Harvin,WR,160.6,13.2,,00-0026998,5,9.98,2009,6,vet,True,65,10,8.413288726154798,1.5667112738452023
2015,Cody Latimer,WR,161.0,16.5,DEN,00-0031344,2,8.35,2014,1,soph,False,66,10,8.413288726154798,-0.06328872615479852
2015,Kenny Stills,WR,162.0,12.9,MIA,00-0030085,13,6.846153846153846,2013,2,vet,True,67,10,8.413288726154798,-1.5671348800009524
2015,Jeff Janis,WR,163.1,12.6,GB,00-0031001,3,3.3000000000000003,2014,1,soph,False,68,10,8.413288726154798,-5.1132887261547975
2016,Antonio Brown,WR,1.2,0.5,PIT,00-0027793,15,20.486666666666668,2010,6,vet,True,1,1,20.486666666666668,0.0
2016,Julio Jones,WR,2.8,0.9,ATL,00-0027944,14,18.564285714285713,2011,5,vet,True,2,1,19.556530987394957,-0.9922452731092442
2016,Odell Beckham Jr.,WR,3.4,1.2,NYG,00-0031235,16,18.5375,2014,2,vet,True,3,1,19.556530987394957,-1.019030987394956
2016,A.J. Green,WR,6.4,1.5,CIN,00-0027942,9,20.711111111111112,2011,5,vet,True,4,1,18.379251629089865,2.3318594820212475
2016,DeAndre Hopkins,WR,6.4,1.5,HOU,00-0030564,16,12.3375,2013,3,vet,True,5,1,18.379251629089865,-6.041751629089864
2016,Allen Robinson II,WR,9.2,1.9,JAX,00-0031428,16,12.45625,2014,2,vet,True,6,1,17.943725961538462,-5.487475961538461
2016,Brandon Marshall,WR,13.0,2.5,NYJ,00-0024334,15,10.386666666666667,2006,10,vet,True,7,1,16.42261932202348,-6.035952655356812
2016,Keenan Allen,WR,13.8,2.3,LAC,00-0030279,1,12.3,2013,3,vet,False,8,1,16.42261932202348,-4.122619322023478
2016,Mike Evans,WR,15.7,2.4,TB,00-0031408,16,19.00625,2014,2,vet,True,9,1,16.42261932202348,2.5836306779765223
2016,Dez Bryant,WR,16.4,2.9,DAL,00-0027902,12,15.0,2010,6,vet,True,10,1,16.42261932202348,-1.422619322023479
2016,Jordy Nelson,WR,17.3,2.9,GB,00-0026176,16,19.04375,2008,8,vet,True,11,2,16.42261932202348,2.62113067797652
