name,obs_pick,k
Jahmyr Gibbs,1,jahmyr gibbs
Bijan Robinson,2,bijan robinson
Ja'Marr Chase,3,jamarr chase
Puka Nacua,4,puka nacua
Christian McCaffrey,5,christian mccaffrey
Jaxon Smith-Njigba,6,jaxon smith-njigba
Amon-Ra St. Brown,7,amon-ra st brown
Jonathan Taylor,8,jonathan taylor
James Cook III,9,james cook
Chase Brown,10,chase brown
Omarion Hampton,11,omarion hampton
CeeDee Lamb,12,ceedee lamb
Kenneth Walker,13,kenneth walker
Ashton Jeanty,14,ashton jeanty
De'Von Achane,15,devon achane
Saquon Barkley,16,saquon barkley
Justin Jefferson,17,justin jefferson
Brock Bowers,18,brock bowers
A.J. Brown,19,aj brown
Derrick Henry,20,derrick henry
Drake London,21,drake london
George Pickens,22,george pickens
Jeremiyah Love,23,jeremiyah love
Nico Collins,24,nico collins
Chris Olave,25,chris olave
Malik Nabers,26,malik nabers
Rashee Rice,27,rashee rice
DeVonta Smith,28,devonta smith
Ladd McConkey,29,ladd mcconkey
Trey McBride,30,trey mcbride
Emeka Egbuka,31,emeka egbuka
Tee Higgins,32,tee higgins
Luther Burden,33,luther burden
Travis Etienne Jr.,34,travis etienne
Kyren Williams,35,kyren williams
Garrett Wilson,36,garrett wilson
Jameson Williams,37,jameson williams
Breece Hall,38,breece hall
Josh Jacobs,39,josh jacobs
