gsis_id,player,pos,team,adp,adp_rank_pos,board_value,window,seasons_in_window,n_seasons,n_games,n_games_played,n_seasons_partial,share_games_partial,partial_flag,thin_flag,no_nfl_rows,mean,sd,sigma_W,cv,cv_sd,min,p10,p25,median,p75,p90,max,iqr,mad,skew,boom_thresh,bust_thresh,k_boom,k_bust,boom_raw,boom_eb,boom_eb_pop,bust_raw,bust_eb,bust_eb_pop,eb_boom_prior_n,eb_bust_prior_n,eb_degenerate,adv_games,adv_target_share,adv_air_yards_share,adv_adot,adv_adot_nflverse,adv_yac_per_rec,adv_rz_target_share,adv_snap_share,adv_targets_pg,adv_wopr,adv_catch_rate,adv_separation,adv_deep_target_rate,adv_carry_share,adv_touches_pg,adv_ybc_per_att,adv_yac_per_att,adv_box8_rate,adv_ryoe_per_att,adv_gl5_carries_pg,adv_goal_to_go_pg,adv_explosive_run_rate,adv_attempts_pg,adv_epa_per_dropback,adv_cpoe,adv_rush_share_of_ppr,adv_designed_rushes_pg,adv_aggressiveness,adv_sack_rate
00-0034857,Josh Allen,QB,BUF,26.7,1,21.533993551111884,career,2018|2019|2020|2021|2022|2023|2024|2025,8,125,126,0,0.0,False,False,False,22.605439999999998,9.037586166456675,8.974022548193863,0.3969850862533029,0.3997969588938183,1.94,11.368,16.66,22.1,28.42,35.604000000000006,51.88,11.760000000000002,8.510124000000003,0.3483545202480381,20.9,9.7,69.0,10.0,0.552,0.5144922392330281,0.5252610902495618,0.08,0.09503144022067075,0.092938254178837,28.24157341393333,29.421644016768074,False,49.0,,,8.149145860709593,,,,,,,,,,,,,,,,0.7551020408163265,,,31.06122448979592,0.2269594119677558,3.2361448664678387,0.3602921763618762,3.7755102040816326,14.45466491458607,0.0449308755760368
00-0034857,Josh Allen,QB,BUF,26.7,1,21.533993551111884,last3,2023|2024|2025,3,49,49,0,0.0,False,False,False,23.189795918367345,9.750106941677597,9.952468956555556,0.4291744951784056,0.42044815642189765,6.9,10.88,16.72,23.02,27.76,38.02400000000001,51.88,11.040000000000003,8.006040000000002,0.6688354461326476,20.9,9.7,31.0,4.0,0.6326530612244898,0.5173804322730031,0.5473459073563375,0.08163265306122448,0.11280349044474378,0.1240323149644171,34.56487412777975,42.932038204276566,False,49.0,,,8.149145860709593,,,,,,,,,,,,,,,,0.7551020408163265,,,31.06122448979592,0.2269594119677558,3.2361448664678387,0.3602921763618762,3.7755102040816326,14.45466491458607,0.0449308755760368
00-0034857,Josh Allen,QB,BUF,26.7,1,21.533993551111884,recent,2025,1,16,16,0,0.0,False,False,False,22.78875,10.404942335255877,10.404942335255877,0.45658240733940547,0.45658240733940547,6.9,9.969999999999999,16.39,23.1,25.85,38.3,42.68,9.46,8.96973,0.43248270658079135,20.9,9.7,9.0,2.0,0.5625,0.3637502929269954,0.35488480069094125,0.125,0.14883281077574642,0.17451298532762158,8527.95591098266,36.03720408796656,True,49.0,,,8.149145860709593,,,,,,,,,,,,,,,,0.7551020408163265,,,31.06122448979592,0.2269594119677558,3.2361448664678387,0.3602921763618762,3.7755102040816326,14.45466491458607,0.0449308755760368
00-0034857,Josh Allen,QB,BUF,26.7,1,21.533993551111884,season_2025,2025,1,16,16,0,0.0,False,False,False,22.78875,10.404942335255877,10.404942335255877,0.45658240733940547,0.45658240733940547,6.9,9.969999999999999,16.39,23.1,25.85,38.3,42.68,9.46,8.96973,0.43248270658079135,20.9,9.7,9.0,2.0,0.5625,0.3637502929269954,0.35488480069094125,0.125,0.14883281077574642,0.17451298532762158,8527.95591098266,36.03720408796656,True,49.0,,,8.149145860709593,,,,,,,,,,,,,,,,0.7551020408163265,,,31.06122448979592,0.2269594119677558,3.2361448664678387,0.3602921763618762,3.7755102040816326,14.45466491458607,0.0449308755760368
00-0034857,Josh Allen,QB,BUF,26.7,1,21.533993551111884,season_2024,2024,1,16,16,0,0.0,False,False,False,23.69,11.524688860586794,11.524688860586796,0.4864790570108398,0.48647905701083977,7.3,10.46,17.31,22.54,29.045,36.230000000000004,51.88,11.735000000000003,10.215114,0.930175676699724,20.9,9.7,10.0,1.0,0.625,0.5397780853057464,0.5244615652867824,0.0625,0.1152248976973722,0.1657047662822568,6.930693313486971,31.040821462540706,False,49.0,,,8.149145860709593,,,,,,,,,,,,,,,,0.7551020408163265,,,31.06122448979592,0.2269594119677558,3.2361448664678387,0.3602921763618762,3.7755102040816326,14.45466491458607,0.0449308755760368
00-0034857,Josh Allen,QB,BUF,26.7,1,21.533993551111884,season_2023,2023,1,17,17,0,0.0,False,False,False,23.09647058823529,7.665491619244383,7.665491619244382,0.3318901730011066,0.3318901730011067,9.04,14.172,20.52,23.06,24.98,32.036,39.66,4.460000000000001,3.7658039999999984,0.422574127677923,20.9,9.7,12.0,1.0,0.7058823529411765,0.5054026383439658,0.519558526507405,0.058823529411764705,0.10393893807475425,0.12016116308975265,22.61126734835877,40.834339800207644,False,49.0,,,8.149145860709593,,,,,,,,,,,,,,,,0.7551020408163265,,,31.06122448979592,0.2269594119677558,3.2361448664678387,0.3602921763618762,3.7755102040816326,14.45466491458607,0.0449308755760368
00-0034857,Josh Allen,QB,BUF,26.7,1,21.533993551111884,season_2022,2022,1,16,16,0,0.0,False,False,False,24.72,6.594247998571683,6.594247998571683,0.26675760512021374,0.26675760512021374,12.58,17.270000000000003,20.335,24.16,29.740000000000002,33.32,35.86,9.405000000000001,7.4723039999999985,0.06491964934673307,20.9,9.7,11.0,0.0,0.6875,0.6028259229898251,0.5693701828258975,0.0,0.03826571064748699,0.08048422547676912,5.3881567551227425,7.178034828469997,False,49.0,,,8.149145860709593,,,,,,,,,,,,,,,,0.7551020408163265,,,31.06122448979592,0.2269594119677558,3.2361448664678387,0.3602921763618762,3.7755102040816326,14.45466491458607,0.0449308755760368
00-0034857,Josh Allen,QB,BUF,26.7,1,21.533993551111884,season_2021,2021,1,17,17,0,0.0,False,False,False,23.681176470588237,8.401855362323953,8.401855362323955,0.354790454467453,0.3547904544674529,9.56,14.376,17.2,20.94,29.46,35.732,37.22,12.260000000000002,8.539775999999996,0.13899295346313242,20.9,9.7,9.0,1.0,0.5294117647058824,0.4692520669776272,0.44347169848556656,0.058823529411764705,0.10818012297617802,0.12491940345055494,9.381275654031974,11.352905245925415,False,49.0,,,8.149145860709593,,,,,,,,,,,,,,,,0.7551020408163265,,,31.06122448979592,0.2269594119677558,3.2361448664678387,0.3602921763618762,3.7755102040816326,14.45466491458607,0.0449308755760368
00-0034857,Josh Allen,QB,BUF,26.7,1,21.533993551111884,season_2020,2020,1,16,16,0,0.0,False,False,False,24.75375,8.478036624124714,8.478036624124716,0.3424950411200208,0.34249504112002077,12.46,15.280000000000001,16.365,26.39,31.505,35.25,37.66,15.14,11.994233999999999,0.028957588560200174,20.9,9.7,9.0,0.0,0.5625,0.5056757059110558,0.4790194660343655,0.0,0.0564830838550385,0.0901961024000778,7.299144982369958,10.443343801163381,False,49.0,,,8.149145860709593,,,,,,,,,,,,,,,,0.7551020408163265,,,31.06122448979592,0.2269594119677558,3.2361448664678387,0.3602921763618762,3.7755102040816326,14.45466491458607,0.0449308755760368
00-0034857,Josh Allen,QB,BUF,26.7,1,21.533993551111884,season_2019,2019,1,15,16,0,0.0,False,False,False,19.224,5.962311153044119,5.962311153044118,0.31014935253038484,0.3101493525303849,8.72,12.828000000000001,16.810000000000002,18.32,21.75,24.68,33.84,4.939999999999998,3.498935999999999,0.6358707193956363,20.9,9.7,5.0,1.0,0.3333333333333333,0.358979431711187,0.31735035907614073,0.06666666666666667,0.10532397915523878,0.10967650331319359,7.118910889230529,62.438947738841485,False,49.0,,,8.149145860709593,,,,,,,,,,,,,,,,0.7551020408163265,,,31.06122448979592,0.2269594119677558,3.2361448664678387,0.3602921763618762,3.7755102040816326,14.45466491458607,0.0449308755760368
