year,n,mean_r,sd,mean_ppg,se
2015,30,0.5556374705908723,4.548837119766594,15.45243822843823,0.8305002336376641
2016,27,-1.0179481693922656,2.797529079369486,14.5191557105446,0.5383847223465928
2017,29,-1.2799133830084437,3.4075117784210214,13.708894467601363,0.632759052036179
2018,30,1.1771324597180715,3.0657484685370626,15.754635054760055,0.5597265306182221
2019,28,0.241147299233138,2.970768461883044,14.849722124106053,0.5614224680640286
2020,29,1.4032985991012779,3.311853737258085,15.687944297082229,0.6149957997330732
2021,29,0.5463479720404872,3.561491519213778,14.682772434349513,0.6613523720751048
2022,29,0.22848569312951897,2.5243350149279644,14.6373225014224,0.46875724426922166
2023,30,-0.04376044989531221,3.0095916547142654,15.246517394315925,0.5494737460554341
2024,30,-0.5940698671779769,3.040414556895438,14.541530574817338,0.5551012123262352
2025,30,-1.2721353252876222,3.2542464366233967,13.874983798880859,0.5941413936731468
