player,team,qb26,theta,games,games_with_qb26,wshare,ppg_with,ppg_other,gap
Garrett Wilson,NYJ,,14.416937853019986,58,0,0.0,,13.453448275862069,
Drake London,ATL,,15.045677840550812,60,0,0.0,,13.896333333333333,
Justin Jefferson,MIN,Kyler Murray,16.615451150887758,78,0,0.0,,18.20820512820513,
A.J. Brown,NE,Drake Maye,15.647479184716968,73,0,0.0,,16.515068493150682,
Malik Nabers,NYG,Jaxson Dart,14.441621825981889,19,1,0.08695652173913043,4.0,18.15,-14.149999999999999
Chris Olave,NO,Tyler Shough,15.353762314684245,53,8,0.32160804020100503,18.75,13.831111111111111,4.918888888888889
Davante Adams,LAR,Matthew Stafford,15.14934467161319,78,14,0.4933920704845815,15.921428571428573,18.5390625,-2.6176339285714274
George Pickens,DAL,Dak Prescott,15.52691762578639,64,17,0.5643153526970954,17.170588235294115,11.476595744680848,5.693992490613267
Jaxon Smith-Njigba,SEA,Sam Darnold,17.75983220724999,51,17,0.5714285714285714,21.170588235294115,11.84705882352941,9.323529411764705
Tee Higgins,CIN,Joe Burrow,14.77669763361418,67,52,0.5774647887323944,15.582692307692307,13.4,2.1826923076923066
Ja'Marr Chase,CIN,Joe Burrow,19.21521293472539,78,61,0.6519114688128773,20.498360655737706,16.230588235294118,4.267772420443588
Nico Collins,HOU,C.J. Stroud,15.359002619590024,63,34,0.7264150943396226,17.173529411764704,9.913793103448278,7.259736308316427
Zay Flowers,BAL,Lamar Jackson,14.349371399970622,48,43,0.8260869565217391,13.739534883720928,12.46,1.2795348837209275
CeeDee Lamb,DAL,Dak Prescott,16.97390739546178,77,64,0.8441860465116279,18.525,16.53076923076923,1.994230769230768
DeVonta Smith,PHI,Jalen Hurts,14.80636978328126,80,73,0.9226069246435845,13.14109589041096,15.957142857142857,-2.816046966731898
Tetairoa McMillan,CAR,Bryce Young,14.73331832217911,17,16,0.9411764705882353,12.28125,16.9,-4.618749999999999
Emeka Egbuka,TB,Baker Mayfield,14.344817872712584,17,16,0.9411764705882353,11.84375,6.2,5.64375
Puka Nacua,LAR,Matthew Stafford,19.12074961738019,44,42,0.9805825242718447,20.47142857142857,10.15,10.321428571428571
Amon-Ra St. Brown,DET,Jared Goff,18.952339192466475,79,76,0.9940119760479041,18.370789473684216,22.400000000000002,-4.0292105263157865
Rashee Rice,KC,Patrick Mahomes,17.105697924205074,27,27,1.0,15.833333333333334,,
