year,name,gsis_id,adp,adp_rank,rookie_season,exp,birth_date,games,ppg,in_fit,m_iso,resid_iso
2015,Adrian Peterson,00-0025394,1.8,1,2007,8,1985-03-21,16,16.29375,True,19.40125646412411,-3.1075064641241106
2015,LeVeon Bell,00-0030496,3.1,2,2013,2,1992-02-18,6,18.533333333333335,True,19.40125646412411,-0.8679231307907749
2015,Eddie Lacy,00-0030485,4.0,3,2013,2,1990-06-02,15,9.373333333333333,True,19.40125646412411,-10.027923130790777
2015,Jamaal Charles,00-0026213,4.5,4,2008,7,1986-12-27,5,20.22,True,19.40125646412411,0.818743535875889
2015,Marshawn Lynch,00-0025399,8.6,5,2007,8,1986-04-22,7,11.814285714285713,True,17.014064754179643,-5.199779039893929
2015,Matt Forte,00-0026184,13.7,7,2008,7,1985-12-10,13,16.515384615384615,True,16.113404977375566,0.401979638009049
2015,Jeremy Hill,00-0031301,14.4,8,2014,1,1992-10-20,16,10.64375,True,15.764732142857142,-5.120982142857141
2015,DeMarco Murray,00-0028009,17.6,9,2011,4,1988-02-12,15,12.293333333333333,True,15.48991409805029,-3.1965807647169573
2015,Justin Forsett,00-0026373,19.3,10,2008,7,1985-10-14,10,12.24,True,15.48991409805029,-3.24991409805029
2015,Lamar Miller,00-0029615,22.3,11,2012,3,1991-04-25,16,14.49375,True,14.434106455309395,0.059643544690604955
2015,LeSean McCoy,00-0027029,24.4,12,2009,6,1988-07-12,12,14.891666666666666,True,14.434106455309395,0.4575602113572703
2015,Frank Gore,00-0023500,27.7,13,2005,10,1983-05-14,16,12.0875,True,13.389660296012595,-1.3021602960125946
2015,Mark Ingram II,00-0027966,31.0,14,2011,4,1989-12-21,12,16.95,True,13.389660296012595,3.5603397039874043
2015,Latavius Murray,00-0030513,33.2,15,2013,2,1990-01-18,16,12.799999999999999,True,13.389660296012595,-0.5896602960125961
2015,Arian Foster,00-0026796,37.5,16,2009,6,1986-08-24,4,19.25,True,13.389660296012595,5.860339703987405
2015,Doug Martin,00-0029613,38.0,17,2012,3,1989-01-13,16,14.51875,True,13.389660296012595,1.1290897039874057
2015,Ameer Abdullah,00-0032104,41.5,18,2015,0,1993-06-13,16,7.3125,True,12.035856922066072,-4.723356922066072
2015,Andre Ellington,00-0030287,43.7,19,2013,2,1989-02-03,10,7.470000000000001,True,12.035856922066072,-4.565856922066072
2015,Carlos Hyde,00-0031045,44.7,20,2014,1,1990-09-20,7,11.614285714285714,True,12.035856922066072,-0.4215712077803584
2015,Chris Ivory,00-0027531,47.6,21,2010,5,1988-03-22,15,13.513333333333334,True,12.035856922066072,1.4774764112672614
2015,Alfred Morris,00-0029141,48.2,22,2012,3,1988-12-12,16,6.0375,True,11.36933503942775,-5.33183503942775
2015,Melvin Gordon III,00-0032144,51.8,23,2015,0,1993-04-13,14,7.735714285714286,True,11.36933503942775,-3.6336207537134637
2015,Jonathan Stewart,00-0026153,53.0,24,2008,7,1987-03-21,13,12.523076923076925,True,11.36933503942775,1.1537418836491753
2015,Joseph Randle,00-0030388,56.6,25,2013,2,1991-12-29,6,12.35,True,11.36933503942775,0.9806649605722502
2015,C.J. Spiller,00-0027861,57.9,26,2010,5,1987-08-05,13,6.238461538461538,True,11.36933503942775,-5.130873500966212
2015,Todd Gurley,00-0032241,60.2,27,2015,0,1994-08-03,13,16.03076923076923,True,11.36933503942775,4.661434191341481
2015,LeGarrette Blount,00-0027325,68.5,29,2010,5,1986-12-05,12,10.216666666666667,True,10.757593436519908,-0.5409267698532414
2015,Danny Woodhead,00-0026019,69.0,30,2008,7,1985-01-25,16,15.19375,True,10.757593436519908,4.4361565634800915
2016,David Johnson,00-0032187,3.4,1,2015,1,1991-12-16,16,25.4875,True,19.40125646412411,6.086243535875891
2016,Todd Gurley,00-0032241,6.3,2,2015,1,1994-08-03,16,12.3875,True,18.25,-5.862500000000001
2016,Ezekiel Elliott,00-0033045,8.3,3,2016,0,1995-07-22,15,21.69333333333333,True,17.014064754179643,4.679268579153689
2016,Lamar Miller,00-0029615,9.8,4,2012,4,1991-04-25,14,13.65,True,17.014064754179643,-3.3640647541796422
2016,Adrian Peterson,00-0025394,10.7,5,2007,9,1985-03-21,3,3.0,False,17.014064754179643,-14.014064754179643
2016,LeVeon Bell,00-0030496,12.3,6,2013,3,1992-02-18,12,26.45,True,17.014064754179643,9.435935245820357
