env,pos,bin,top10,tier,n,k,rate,wilson_lo,wilson_hi,mean_adp
projected,RB,R1-2,1,top12,51,24,0.47058823529411764,0.34052771426416406,0.6047692865527341,10.598039215686274
projected,RB,R1-2,1,top24,51,32,0.6274509803921569,0.4902496270033425,0.746796702790099,10.598039215686274
projected,RB,R1-2,1,band13_24,51,8,0.1568627450980392,0.08169125888021325,0.2801070839835982,10.598039215686274
projected,RB,R1-2,0,top12,72,42,0.5833333333333334,0.4680748922563983,0.6901496177750356,11.456944444444444
projected,RB,R1-2,0,top24,72,57,0.7916666666666666,0.6843051941004199,0.8694805910095988,11.456944444444444
projected,RB,R1-2,0,band13_24,72,15,0.20833333333333334,0.1305194089904011,0.3156948058995801,11.456944444444444
projected,RB,R3-4,1,top12,28,6,0.21428571428571427,0.10212321701189422,0.3953894707927388,35.739285714285714
projected,RB,R3-4,1,top24,28,12,0.42857142857142855,0.2650829618073122,0.609295210143846,35.739285714285714
projected,RB,R3-4,1,band13_24,28,6,0.21428571428571427,0.10212321701189422,0.3953894707927388,35.739285714285714
projected,RB,R3-4,0,top12,62,16,0.25806451612903225,0.16554737249309678,0.37881363938996804,36.009677419354844
projected,RB,R3-4,0,top24,62,40,0.6451612903225806,0.5208089986340214,0.7525743942361396,36.009677419354844
projected,RB,R3-4,0,band13_24,62,24,0.3870967741935484,0.2758446342699068,0.5115238379421901,36.009677419354844
projected,RB,R5-6,1,top12,26,1,0.038461538461538464,0.0068218089769898765,0.18893176991958405,59.32692307692308
projected,RB,R5-6,1,top24,26,7,0.2692307692307692,0.13704275525067386,0.46083403419761304,59.32692307692308
projected,RB,R5-6,1,band13_24,26,6,0.23076923076923078,0.11033699683676687,0.42051925751956787,59.32692307692308
projected,RB,R5-6,0,top12,55,9,0.16363636363636364,0.08855320558522452,0.28263996387311785,60.014545454545456
projected,RB,R5-6,0,top24,55,20,0.36363636363636365,0.24930349342940838,0.49577481851316285,60.014545454545456
projected,RB,R5-6,0,band13_24,55,11,0.2,0.1155209712045974,0.3236513150690593,60.014545454545456
projected,RB,R7-8,1,top12,32,5,0.15625,0.06864319106627216,0.31754492553566527,84.17500000000001
projected,RB,R7-8,1,top24,32,13,0.40625,0.255194024803138,0.5774027342701177,84.17500000000001
projected,RB,R7-8,1,band13_24,32,8,0.25,0.1325224398262155,0.42106891770246624,84.17500000000001
projected,RB,R7-8,0,top12,60,3,0.05,0.01714919117914121,0.13700734625099836,84.77666666666664
projected,RB,R7-8,0,top24,60,15,0.25,0.1577638557841185,0.372323109454848,84.77666666666664
projected,RB,R7-8,0,band13_24,60,12,0.2,0.11828389736858964,0.3178204609181701,84.77666666666664
projected,RB,R9+,1,top12,65,2,0.03076923076923077,0.008478819400945352,0.10542905025926008,133.27076923076925
projected,RB,R9+,1,top24,65,8,0.12307692307692308,0.06370391444937325,0.22451716117931636,133.27076923076925
projected,RB,R9+,1,band13_24,65,6,0.09230769230769231,0.04299450413746196,0.18712216950173294,133.27076923076925
projected,RB,R9+,0,top12,151,7,0.046357615894039736,0.02263414512664922,0.09259070400950023,130.59006622516557
projected,RB,R9+,0,top24,151,23,0.152317880794702,0.10369187215469948,0.21819578594234934,130.59006622516557
projected,RB,R9+,0,band13_24,151,16,0.10596026490066225,0.06628052789749828,0.16519215127915707,130.59006622516557
projected,WR,R1-2,1,top12,48,25,0.5208333333333334,0.3832899563598438,0.6552890998421255,12.914583333333333
projected,WR,R1-2,1,top24,48,33,0.6875,0.5466666274950367,0.800544878322685,12.914583333333333
projected,WR,R1-2,1,band13_24,48,8,0.16666666666666666,0.08695410039453222,0.29578100037396254,12.914583333333333
projected,WR,R1-2,0,top12,53,28,0.5283018867924528,0.3965985230075645,0.6561797239101858,13.390566037735848
projected,WR,R1-2,0,top24,53,36,0.6792452830188679,0.5451826763724886,0.7890795541065968,13.390566037735848
projected,WR,R1-2,0,band13_24,53,8,0.1509433962264151,0.07852324257781651,0.2705450454365954,13.390566037735848
projected,WR,R3-4,1,top12,52,14,0.2692307692307692,0.1676881003582587,0.4025247875246099,36.17884615384615
projected,WR,R3-4,1,top24,52,31,0.5961538461538461,0.4606733176249609,0.7184046457571771,36.17884615384615
projected,WR,R3-4,1,band13_24,52,17,0.3269230769230769,0.2152190173110406,0.46244064860111084,36.17884615384615
projected,WR,R3-4,0,top12,63,18,0.2857142857142857,0.18903043457341695,0.4070295041473797,36.653968253968245
projected,WR,R3-4,0,top24,63,38,0.6031746031746031,0.47980694060752427,0.7146827185269069,36.653968253968245
projected,WR,R3-4,0,band13_24,63,20,0.31746031746031744,0.21586527168091207,0.44003763908124804,36.653968253968245
projected,WR,R5-6,1,top12,31,5,0.16129032258064516,0.07092519905439934,0.3263470272497887,58.13548387096774
projected,WR,R5-6,1,top24,31,12,0.3870967741935484,0.23732875351271562,0.5617619885886803,58.13548387096774
projected,WR,R5-6,1,band13_24,31,7,0.22580645161290322,0.11394991594498799,0.3981276005869738,58.13548387096774
projected,WR,R5-6,0,top12,65,6,0.09230769230769231,0.04299450413746196,0.18712216950173294,60.01846153846154
projected,WR,R5-6,0,top24,65,17,0.26153846153846155,0.17018055060319132,0.3795103339782245,60.01846153846154
projected,WR,R5-6,0,band13_24,65,11,0.16923076923076924,0.09721118666132769,0.27816649195160403,60.01846153846154
projected,WR,R7-8,1,top12,27,2,0.07407407407407407,0.020554221697383523,0.2336997729073062,83.67777777777776
projected,WR,R7-8,1,top24,27,5,0.18518518518518517,0.0818058657428532,0.36699056505191746,83.67777777777776
