sample,stat,n_half_pairs,r_half,rho_full,rho_full_lo,rho_full_hi,n_yoy_pairs,r_yoy,r_yoy_lo,r_yoy_hi,verdict
primary,target_share,1099,0.8114,0.8959,0.8811,0.9087,816,0.703,0.6516,0.7423,ADMIT
primary,air_yards_share,1099,0.7766,0.8743,0.8566,0.8905,816,0.7089,0.6618,0.7502,ADMIT
primary,wopr,1099,0.8071,0.8932,0.8777,0.9057,816,0.7083,0.6603,0.747,ADMIT
primary,adot,1099,0.6787,0.8086,0.7764,0.8346,816,0.666,0.6052,0.7113,ADMIT
primary,racr,1098,0.347,0.5152,0.4806,0.7851,815,0.3131,0.221,0.5934,ADMIT
primary,yards_per_target,1099,0.2003,0.3337,0.2539,0.4099,816,0.2149,0.1384,0.2815,REJECT
primary,td_per_target,1099,0.1331,0.2349,0.1245,0.3359,816,0.122,0.0476,0.1947,REJECT
primary,rec_epa_pg,1099,0.293,0.4532,0.3696,0.5178,816,0.3214,0.2292,0.3971,REJECT
primary,ppr_ppg,1099,0.669,0.8017,0.77,0.8289,816,0.6444,0.5901,0.69,ADMIT
top30_only,target_share,129,0.6936,0.8191,0.7292,0.8799,100,0.7067,0.5459,0.8101,
top30_only,air_yards_share,129,0.4928,0.6602,0.514,0.7729,100,0.4871,0.3299,0.6128,
top30_only,wopr,129,0.6023,0.7518,0.6391,0.828,100,0.622,0.4382,0.7475,
top30_only,adot,129,0.7315,0.8449,0.734,0.9047,100,0.6594,0.4074,0.7746,
top30_only,racr,129,0.6081,0.7563,0.5655,0.8585,100,0.5759,0.3096,0.7362,
top30_only,yards_per_target,129,0.2456,0.3944,0.1561,0.55,100,0.2584,0.0422,0.4,
top30_only,td_per_target,129,0.1848,0.3119,0.0726,0.4735,100,0.1367,0.0177,0.2792,
top30_only,rec_epa_pg,129,0.1595,0.2751,0.0289,0.4972,100,0.2851,0.0647,0.4528,
top30_only,ppr_ppg,129,0.4724,0.6417,0.4534,0.7603,100,0.5491,0.3421,0.6602,
window_2021_2025,target_share,472,0.8394,0.9127,0.8935,0.9281,303,0.7259,0.6588,0.7772,
window_2021_2025,air_yards_share,472,0.7665,0.8678,0.8426,0.8899,303,0.706,0.6344,0.7643,
window_2021_2025,wopr,472,0.8217,0.9021,0.8805,0.9181,303,0.7205,0.6545,0.7745,
window_2021_2025,adot,472,0.6792,0.809,0.7587,0.8444,303,0.648,0.5522,0.7241,
window_2021_2025,racr,471,0.3655,0.5353,0.4929,0.6917,302,0.2525,0.1839,0.6616,
window_2021_2025,yards_per_target,472,0.2593,0.4118,0.2877,0.5078,303,0.272,0.1694,0.367,
window_2021_2025,td_per_target,472,0.1491,0.2596,0.1044,0.3794,303,0.1088,0.0043,0.2236,
window_2021_2025,rec_epa_pg,472,0.3155,0.4796,0.3616,0.5732,303,0.3547,0.2339,0.4512,
window_2021_2025,ppr_ppg,472,0.7112,0.8313,0.7948,0.8596,303,0.6748,0.5986,0.7345,
