position,n_in_top140,rank_used,mode,gmin,replacement_ppg,marginal_games,by_year,spec
QB,19,20,total_div17,8,12.103068602642296,13.8,2021:13.11;2022:11.56;2023:11.80;2024:11.47;2025:12.64,total_div17
RB,44,45,total_div17,8,6.209252692992744,14.6,2021:6.89;2022:6.12;2023:6.24;2024:5.72;2025:6.40,total_div17
TE,14,15,total_div17,8,7.866194788922054,14.0,2021:8.55;2022:7.93;2023:7.96;2024:7.72;2025:7.73,total_div17
WR,63,64,total_div17,8,6.381994555367663,13.4,2021:6.45;2022:6.61;2023:6.31;2024:7.17;2025:5.76,total_div17
QB,19,20,total_rank_ppg,8,15.271606747073516,13.8,2021:13.93;2022:15.12;2023:15.44;2024:13.93;2025:16.53,total_rank_ppg
RB,44,45,total_rank_ppg,8,6.945002181964506,14.6,2021:9.77;2022:8.67;2023:6.63;2024:6.08;2025:6.40,total_rank_ppg
TE,14,15,total_rank_ppg,8,9.603783299810015,14.0,2021:12.11;2022:8.43;2023:13.54;2024:7.72;2025:8.76,total_rank_ppg
WR,63,64,total_rank_ppg,8,9.008914443990601,13.4,2021:8.44;2022:7.02;2023:7.66;2024:15.24;2025:6.12,total_rank_ppg
QB,19,20,ppg_rank,4,15.435325842214747,11.2,2021:15.03;2022:14.61;2023:16.05;2024:14.97;2025:15.85,ppg_rank g>=4
RB,44,45,ppg_rank,4,8.14394810136027,13.4,2021:9.01;2022:8.67;2023:7.84;2024:7.91;2025:8.06,ppg_rank g>=4
TE,14,15,ppg_rank,4,9.798309713543867,15.6,2021:9.94;2022:9.05;2023:9.22;2024:9.61;2025:10.45,ppg_rank g>=4
WR,63,64,ppg_rank,4,8.141848305002863,12.8,2021:8.77;2022:8.49;2023:8.05;2024:8.58;2025:7.60,ppg_rank g>=4
QB,19,20,ppg_rank,6,15.326187021438031,12.0,2021:15.03;2022:14.61;2023:15.44;2024:14.97;2025:15.85,ppg_rank g>=6
RB,44,45,ppg_rank,6,7.598615318480218,11.6,2021:8.93;2022:8.26;2023:7.14;2024:7.03;2025:7.67,ppg_rank g>=6
TE,14,15,ppg_rank,6,9.786079490785122,15.4,2021:9.80;2022:9.05;2023:9.22;2024:9.61;2025:10.45,ppg_rank g>=6
WR,63,64,ppg_rank,6,8.002110663772054,14.2,2021:8.62;2022:8.49;2023:8.05;2024:8.52;2025:7.28,ppg_rank g>=6
QB,19,20,ppg_rank,8,15.166228061514007,15.2,2021:13.93;2022:14.61;2023:15.44;2024:14.97;2025:15.68,ppg_rank g>=8
RB,44,45,ppg_rank,8,7.4745791409013185,13.6,2021:8.60;2022:8.05;2023:7.03;2024:6.83;2025:7.67,ppg_rank g>=8
TE,14,15,ppg_rank,8,9.786079490785122,15.4,2021:9.80;2022:9.05;2023:9.22;2024:9.61;2025:10.45,ppg_rank g>=8
WR,63,64,ppg_rank,8,7.920755406757527,15.2,2021:8.44;2022:8.29;2023:8.05;2024:8.38;2025:7.27,ppg_rank g>=8
QB,19,20,ppg_rank,10,14.51044180666943,14.8,2021:13.93;2022:14.61;2023:14.72;2024:14.97;2025:14.19,ppg_rank g>=10
RB,44,45,ppg_rank,10,7.072292096076353,16.0,2021:8.01;2022:7.94;2023:6.83;2024:6.25;2025:7.24,ppg_rank g>=10
TE,14,15,ppg_rank,10,9.325845862607913,14.6,2021:9.80;2022:8.66;2023:9.22;2024:8.84;2025:9.83,ppg_rank g>=10
WR,63,64,ppg_rank,10,7.356221827307234,13.8,2021:8.05;2022:7.82;2023:7.68;2024:8.10;2025:6.33,ppg_rank g>=10
QB,19,20,ppg_rank,12,13.752283550598673,15.0,2021:13.92;2022:13.44;2023:14.18;2024:13.41;2025:13.85,ppg_rank g>=12
RB,44,45,ppg_rank,12,6.445357914202593,16.2,2021:7.71;2022:6.61;2023:6.31;2024:6.08;2025:6.40,ppg_rank g>=12
TE,14,15,ppg_rank,12,9.037763653330176,15.4,2021:9.71;2022:8.43;2023:8.97;2024:8.19;2025:9.72,ppg_rank g>=12
WR,63,64,ppg_rank,12,6.703403685973658,15.2,2021:7.17;2022:7.02;2023:6.54;2024:7.26;2025:6.16,ppg_rank g>=12
