player,gsis_id,adp,adp_rank,tier,age_2026,mu_hat,mu_hat_a,n_eff,m_adp,B,theta_star,theta_star_a,post_SD
Puka Nacua,00-0039075,2.8,1,vet,25.259411362080765,21.2675,22.011013986806443,2.3333,19.556530987394957,0.6216283793647375,20.20391310555104,20.48523769770398,2.644947005061815
Ja'Marr Chase,00-0036900,3.9,2,vet,26.50239561943874,20.2337,20.566941990181657,2.8182,19.556530987394957,0.5763117468376494,19.84343954344126,19.98463026014167,2.5467146940511927
Amon-Ra St. Brown,00-0036963,7.6,4,vet,26.855578370978783,19.551,19.70236665781759,2.8182,17.943725961538462,0.5763117468376494,18.624709091247425,18.688841366085185,2.5467146940511927
Jaxon Smith-Njigba,00-0038543,6.1,3,vet,24.54483230663929,17.6084,,2.3333,18.379251629089865,0.6216283793647375,18.0875832489218,,2.644947005061815
CeeDee Lamb,00-0036358,10.6,6,vet,27.40041067761807,17.7202,17.642749069794824,2.9077,17.943725961538462,0.5686601784361197,17.847310313173566,17.813902642758908,2.529752109288193
Justin Jefferson,00-0036322,10.0,5,vet,27.211498973305954,15.597,15.613607948424198,2.9077,17.943725961538462,0.5686601784361197,16.931489604029135,16.93865327353897,2.529752109288193
Rashee Rice,00-0039067,27.3,15,vet,26.360027378507873,18.7997,,2.3333,14.881502854988153,0.6216283793647375,16.364037458714744,,2.644947005061815
A.J. Brown,00-0035676,14.2,8,vet,29.17180013689254,16.2838,15.423143567134725,2.9535,16.42261932202348,0.5648226856913628,16.362208302291155,15.987670147294393,2.5212018896592
Drake London,00-0037238,12.6,7,vet,25.10609171800137,15.6643,16.6156178692975,2.6471,16.45199947994733,0.5915277196358497,16.130246077131588,16.518833056554705,2.580115267706542
George Pickens,00-0037247,17.4,9,vet,25.49486652977413,14.6795,15.447500224211346,2.6471,16.42261932202348,0.5915277196358497,15.710603397609738,16.024310200513526,2.580115267706542
Nico Collins,00-0036554,23.2,11,vet,27.45516769336071,15.531,15.386092524245566,2.8182,15.39774859415863,0.5763117468376494,15.454205649530987,15.392810054258426,2.5467146940511927
Davante Adams,00-0031381,40.0,20,vet,33.686516084873375,16.8073,14.510716469916938,2.9985,14.318447404719464,0.5611023351490197,15.410798996946394,14.402833848457718,2.5128848977265363
Chris Olave,00-0037239,21.2,10,vet,26.17932922655715,15.0706,15.490157662928587,2.6471,15.39774859415863,0.5915277196358497,15.26411746188473,15.435495137205422,2.580115267706542
Tee Higgins,00-0036410,26.4,13,vet,27.619438740588638,15.0412,14.856445038380281,2.9077,14.881502854988153,0.5686601784361197,14.950386593021824,14.870694420843733,2.529752109288193
Zay Flowers,00-0039064,25.4,12,vet,25.971252566735114,13.7935,14.19927931096663,2.3333,15.39774859415863,0.6216283793647375,14.790746453684989,14.944281829195692,2.644947005061815
Garrett Wilson,00-0037740,27.0,14,vet,26.11088295687885,14.0504,14.504705993390454,2.6471,14.881502854988153,0.5915277196358497,14.542020376593983,14.727591781697285,2.580115267706542
Malik Nabers,00-0039337,43.6,22,vet,23.096509240246405,15.5967,16.79069164839133,1.8,13.894337842606388,0.680476513580384,14.438282534285614,14.819790908535516,2.767312012728055
Tetairoa McMillan,00-0040124,33.4,17,soph,23.408624229979466,12.5529,,1.0,14.626785714285711,0.834978832857836,14.284550673194822,,2.5605819664843597
DeVonta Smith,00-0036912,28.5,16,vet,27.797399041752225,13.2465,12.941498405095684,2.8182,14.881502854988153,0.5763117468376494,14.188771351442767,14.059545758486026,2.5467146940511927
Mike Evans,00-0031408,51.2,26,vet,33.02943189596167,13.6624,11.522536679010528,2.9985,13.894337842606388,0.5611023351490197,13.79254086509587,12.853359850413328,2.5128848977265363
Ladd McConkey,00-0039915,35.3,18,vet,24.804928131416837,12.5562,,1.8,14.318447404719464,0.680476513580384,13.755367970029582,,2.767312012728055
Terry McLaurin,00-0035659,36.6,19,vet,30.962354551676935,12.8171,11.28865955508263,2.9535,14.318447404719464,0.5648226856913628,13.665095073289404,12.999952465389566,2.5212018896592
Emeka Egbuka,00-0040129,45.5,24,soph,23.88227241615332,11.5118,,1.0,13.894337842606388,0.834978832857836,13.501168667059108,,2.5605819664843597
Jameson Williams,00-0037240,47.2,25,vet,25.43463381245722,12.6493,,2.6471,13.894337842606388,0.5915277196358497,13.385774395897291,,2.580115267706542
Jaylen Waddle,00-0036613,42.2,21,vet,27.76728268309377,12.5428,12.251598303225771,2.8182,13.894337842606388,0.5763117468376494,13.321707134989676,13.19832839676549,2.5467146940511927
Luther Burden III,00-0040735,45.2,23,soph,22.72142368240931,9.7154,,1.0,13.894337842606388,0.834978832857836,13.204724642404926,,2.5605819664843597
DK Metcalf,00-0035640,56.2,28,vet,28.71457905544148,12.9339,12.267903504119909,2.9535,12.543744208908237,0.5648226856913628,12.713531158237512,12.423704591821451,2.5212018896592
Christian Watson,00-0038124,60.1,30,vet,27.307323750855577,11.954,11.824567155902713,2.6471,12.543744208908237,0.5915277196358497,12.302850047063938,12.249980318081501,2.580115267706542
Rome Odunze,00-0039919,54.9,27,vet,24.246406570841888,10.9578,,1.8,12.654763482259762,0.680476513580384,12.11254379408135,,2.767312012728055
Alec Pierce,00-0037664,59.4,29,vet,26.33264887063655,10.7484,,2.6471,12.543744208908237,0.5915277196358497,11.810395865856918,,2.580115267706542
