rank_ctx,player,adp,adp_rank,tier,team_2025,sleeper_team,mover_2026,vac_2026,mu_hat,mu_c,B,m_adp,theta_star,theta_star_ctx,delta_vs_blind,rank_theta,adopted,verdict
1,Puka Nacua,2.8,1,vet,LA,LA,0.0,0.025817555938037865,21.2675,20.7740670592912,0.6216283793647375,19.556530987394957,20.20391310555104,20.01721208410023,-0.18670102145081202,1,False,NOT adopted (pre-specified LOSO rule failed); for the record only
2,Ja'Marr Chase,3.9,2,vet,CIN,CIN,0.0,0.06743421052631579,20.2337,19.82023593362045,0.5763117468376494,19.556530987394957,19.84343954344126,19.668259675411505,-0.17517986802975472,2,False,NOT adopted (pre-specified LOSO rule failed); for the record only
3,Amon-Ra St. Brown,7.6,4,vet,DET,DET,0.0,0.14545454545454545,19.551,19.287456642546417,0.5763117468376494,17.943725961538462,18.624709091247425,18.513048866495378,-0.11166022475204684,3,False,NOT adopted (pre-specified LOSO rule failed); for the record only
4,Jaxon Smith-Njigba,6.1,3,vet,SEA,SEA,0.0,0.08791208791208792,17.6084,17.234285391653387,0.6216283793647375,18.379251629089865,18.0875832489218,17.946028898258366,-0.14155435066343358,4,False,NOT adopted (pre-specified LOSO rule failed); for the record only
5,CeeDee Lamb,10.6,6,vet,DAL,DAL,0.0,0.09390444810543658,17.7202,17.357600067784333,0.5686601784361197,17.943725961538462,17.847310313173566,17.690906523112584,-0.15640379006098115,5,False,NOT adopted (pre-specified LOSO rule failed); for the record only
6,Justin Jefferson,10.0,5,vet,MIN,MIN,0.0,0.1794871794871795,15.597,15.398852370794495,0.5686601784361197,17.943725961538462,16.931489604029135,16.846020641004326,-0.08546896302480889,6,False,NOT adopted (pre-specified LOSO rule failed); for the record only
7,Rashee Rice,27.3,15,vet,KC,KC,0.0,0.31693989071038253,18.7997,18.865675921780724,0.6216283793647375,14.881502854988153,16.364037458714744,16.38900087516182,0.02496341644707556,7,False,NOT adopted (pre-specified LOSO rule failed); for the record only
8,Drake London,12.6,7,vet,ATL,ATL,0.0,0.3179190751445087,15.6643,15.732157482846418,0.5915277196358497,16.45199947994733,16.130246077131588,16.157963977889636,0.027717900758048586,9,False,NOT adopted (pre-specified LOSO rule failed); for the record only
9,A.J. Brown,14.2,8,vet,PHI,NE,1.0,0.27593360995850624,16.2838,15.266938961345783,0.5648226856913628,16.42261932202348,16.362208302291155,15.919693446464523,-0.44251485582663186,8,False,NOT adopted (pre-specified LOSO rule failed); for the record only
10,George Pickens,17.4,9,vet,DAL,DAL,0.0,0.09390444810543658,14.6795,14.316900067784335,0.5915277196358497,16.42261932202348,15.710603397609738,15.562491376437718,-0.14811202117201994,10,False,NOT adopted (pre-specified LOSO rule failed); for the record only
11,Nico Collins,23.2,11,vet,HOU,HOU,0.0,0.1844484629294756,15.531,15.342385771689736,0.5763117468376494,15.39774859415863,15.454205649530987,15.374292016616646,-0.07991363291434084,11,False,NOT adopted (pre-specified LOSO rule failed); for the record only
12,Chris Olave,21.2,10,vet,NO,NO,0.0,0.2761061946902655,15.0706,15.0581115488575,0.5915277196358497,15.39774859415863,15.26411746188473,15.259016275768335,-0.0051011861163949845,13,False,NOT adopted (pre-specified LOSO rule failed); for the record only
13,Davante Adams,40.0,20,vet,LA,LA,0.0,0.025817555938037865,16.8073,16.3138670592912,0.5611023351490197,14.318447404719464,15.410798996946394,15.19423243150875,-0.21656656543764363,12,False,NOT adopted (pre-specified LOSO rule failed); for the record only
14,Zay Flowers,25.4,12,vet,BAL,BAL,0.0,0.2800982800982801,13.7935,13.78868257814766,0.6216283793647375,15.39774859415863,14.790746453684989,14.788923677971432,-0.0018227757135562683,15,False,NOT adopted (pre-specified LOSO rule failed); for the record only
15,Tee Higgins,26.4,13,vet,CIN,CIN,0.0,0.06743421052631579,15.0412,14.627735933620452,0.5686601784361197,14.881502854988153,14.950386593021824,14.772043076406593,-0.1783435166152305,14,False,NOT adopted (pre-specified LOSO rule failed); for the record only
16,Garrett Wilson,27.0,14,vet,NYJ,NYJ,0.0,0.2457627118644068,14.0504,13.979604743833907,0.5915277196358497,14.881502854988153,14.542020376593983,14.513102476868859,-0.028917899725124485,16,False,NOT adopted (pre-specified LOSO rule failed); for the record only
17,Malik Nabers,43.6,22,vet,NYG,NYG,0.0,0.3518886679920477,15.5967,15.729832073711918,0.680476513580384,13.894337842606388,14.438282534285614,14.48082135863232,0.042538824346705084,17,False,NOT adopted (pre-specified LOSO rule failed); for the record only
18,DeVonta Smith,28.5,16,vet,PHI,PHI,0.0,0.3771551724137931,13.2465,13.428183163097444,0.5763117468376494,14.881502854988153,14.188771351442767,14.265748373444533,0.07697702200176515,19,False,NOT adopted (pre-specified LOSO rule failed); for the record only
19,Tetairoa McMillan,33.4,17,soph,CAR,CAR,0.0,0.15833333333333333,12.5529,12.314103998612898,0.834978832857836,14.626785714285711,14.284550673194822,14.245144278337042,-0.03940639485777986,18,False,NOT adopted (pre-specified LOSO rule failed); for the record only
20,Terry McLaurin,36.6,19,vet,WAS,WAS,0.0,0.5231481481481481,12.8171,13.279317339737931,0.5648226856913628,14.318447404719464,13.665095073289404,13.86624157382344,0.20114650053403693,22,False,NOT adopted (pre-specified LOSO rule failed); for the record only
21,Ladd McConkey,35.3,18,vet,LAC,LAC,0.0,0.30330882352941174,12.5562,12.595983016340513,0.680476513580384,14.318447404719464,13.755367970029582,13.76807957811099,0.012711608081408698,21,False,NOT adopted (pre-specified LOSO rule failed); for the record only
22,Emeka Egbuka,45.5,24,soph,TB,TB,0.0,0.3049907578558225,11.5118,11.554814953076164,0.834978832857836,13.894337842606388,13.501168667059108,13.508267044820304,0.007098377761195707,23,False,NOT adopted (pre-specified LOSO rule failed); for the record only
23,Mike Evans,51.2,26,vet,TB,SF,1.0,0.3090909090909091,13.6624,12.709252681577476,0.5611023351490197,13.894337842606388,13.79254086509587,13.374206732781252,-0.4183341323146177,20,False,NOT adopted (pre-specified LOSO rule failed); for the record only
24,Jameson Williams,47.2,25,vet,DET,DET,0.0,0.14545454545454545,12.6493,12.385756642546419,0.5915277196358497,13.894337842606388,13.385774395897291,13.278124239703406,-0.10765015619388585,24,False,NOT adopted (pre-specified LOSO rule failed); for the record only
25,Luther Burden III,45.2,23,soph,CHI,CHI,0.0,0.3026315789473684,9.7154,9.753881650639512,0.834978832857836,13.894337842606388,13.204724642404926,13.211074929307015,0.006350286902089053,26,False,NOT adopted (pre-specified LOSO rule failed); for the record only
26,DK Metcalf,56.2,28,vet,PIT,PIT,0.0,0.4789272030651341,12.9339,13.31114416649636,0.5648226856913628,12.543744208908237,12.713531158237512,12.877699261451998,0.16416810321448594,27,False,NOT adopted (pre-specified LOSO rule failed); for the record only
27,Jaylen Waddle,42.2,21,vet,MIA,DEN,1.0,0.02054794520547945,12.5428,11.035200233493313,0.5763117468376494,13.894337842606388,13.321707134989676,12.68295482345049,-0.6387523115391858,25,False,NOT adopted (pre-specified LOSO rule failed); for the record only
28,Christian Watson,60.1,30,vet,GB,GB,0.0,0.40217391304347827,11.954,12.18375815963633,0.5915277196358497,12.543744208908237,12.302850047063938,12.396699886462859,0.09384983939892066,28,False,NOT adopted (pre-specified LOSO rule failed); for the record only
29,Rome Odunze,54.9,27,vet,CHI,CHI,0.0,0.3026315789473684,10.9578,10.996281650639512,0.680476513580384,12.654763482259762,12.11254379408135,12.124839585256868,0.012295791175517934,29,False,NOT adopted (pre-specified LOSO rule failed); for the record only
30,Alec Pierce,59.4,29,vet,IND,IND,0.0,0.28867924528301886,10.7484,10.760071412564335,0.5915277196358497,12.543744208908237,11.810395865856918,11.815163314362142,0.004767448505223371,30,False,NOT adopted (pre-specified LOSO rule failed); for the record only
