player,cur_team,adp,theta_star,arm_vii_adopted,board_value,note
Puka Nacua,LA,2.9,20.203916686693887,False,20.203916686693887,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
Ja'Marr Chase,CIN,3.9,19.84343855707492,False,19.84343855707492,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
Amon-Ra St. Brown,DET,7.0,18.8757229547572,False,18.8757229547572,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
Jaxon Smith-Njigba,SEA,5.9,18.087581930614007,False,18.087581930614007,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
Rashee Rice,KC,11.4,17.644071143471628,False,17.644071143471628,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
CeeDee Lamb,DAL,11.3,17.560841294429405,False,17.560841294429405,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
Drake London,ATL,10.6,17.012665957525968,False,17.012665957525968,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
A.J. Brown,NE,17.5,16.362201246889388,False,16.362201246889388,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
Justin Jefferson,MIN,13.3,16.06649354065811,False,16.06649354065811,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
Nico Collins,HOU,23.2,15.454185264060428,False,15.454185264060428,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
Davante Adams,LA,41.2,15.410785459607643,False,15.410785459607643,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
Chris Olave,NO,20.1,15.264123230025064,False,15.264123230025064,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
George Pickens,DAL,21.6,15.10437351761783,False,15.10437351761783,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
Malik Nabers,NYG,33.9,14.852016653924087,False,14.852016653924087,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
Tee Higgins,CIN,39.2,14.630189912747197,False,14.630189912747197,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
Garrett Wilson,NYJ,28.5,14.54200885495766,False,14.54200885495766,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
Zay Flowers,BAL,26.6,14.469832975288512,False,14.469832975288512,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
DeVonta Smith,PHI,29.1,14.18879424254527,False,14.18879424254527,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
Tetairoa McMillan,CAR,33.9,14.180664596844746,False,14.180664596844746,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
Emeka Egbuka,TB,33.7,14.060640731506089,False,14.060640731506089,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
Ladd McConkey,LAC,44.2,13.466787350001091,False,13.466787350001091,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
Terry McLaurin,WAS,42.6,13.425537829677204,False,13.425537829677204,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
Jameson Williams,DET,45.8,13.385764398847712,False,13.385764398847712,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
Jaylen Waddle,DEN,48.8,13.321695707813866,False,13.321695707813866,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
DJ Moore,BUF,51.3,13.184516640660508,False,13.184516640660508,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
Mike Evans,SF,60.0,13.03472593917432,False,13.03472593917432,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
Rome Odunze,CHI,49.7,12.956058816499738,False,12.956058816499738,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
Courtland Sutton,DEN,59.8,12.801050490804348,False,12.801050490804348,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
Luther Burden III,CHI,53.4,12.602472268720962,False,12.602472268720962,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
Alec Pierce,IND,55.5,11.810399696098331,False,11.810399696098331,"§E arm (vii) not adopted (LOSO DM vs (ii) t=-0.81, p=.439, historical panel unchanged by the ADP refresh); board value = blind posterior"
