position,term,beta,se_cluster,p_raw_cluster,p_HC3,family,n,bh_q_provisional_H5_only
WR,ac,-0.026342468425970492,0.10456599608635687,0.806759922668878,0.9050348832266838,H5,291,0.9507327448355892
WR,ac2,-0.0009522584839115062,0.014989005301473804,0.9507327448355892,0.9895966027689277,H5,291,0.9507327448355892
WR,late,0.47632268216382556,0.7940557403127434,0.563395052108568,0.529822045643646,H5,291,0.9507327448355892
WR,ac_late,-0.056822356183153885,0.13139351165664329,0.6755848040314203,0.8101658473401958,H5,291,0.9507327448355892
WR,ac2_late,-0.004952793509740013,0.024902772076076645,0.8467729124988822,0.949230382469868,H5,291,0.9507327448355892
WR,JOINT age (level),,,0.8096034834087784,,H5,291,
WR,JOINT age x era,,,0.9082566142578404,,H5,291,
WR,JOINT all H5 terms,,,0.25751494071662584,,H5,291,
WR,HOLDOUT full,9.911362536292025,9.335584903911947,,,holdout,60,
WR,HOLDOUT age-only,9.602306932882717,9.335584903911947,,,holdout,60,
RB,ac,-0.10518595242373895,0.06178368623124629,0.12286882059822757,0.7094677331919881,H5,282,0.5856132226138662
RB,ac2,0.05134696639570767,0.012214539966836526,0.002293896387785113,0.3119072895560968,H5,282,0.027526756653421358
RB,late,0.5891382524964829,0.8428399845442202,0.5022194976358163,0.4485158648957095,H5,282,0.9507327448355892
RB,ac_late,-0.15056729915961775,0.10328236723792827,0.1788821970224909,0.6064969318042017,H5,282,0.5856132226138662
RB,ac2_late,-0.04408182435756348,0.03150066289867688,0.1952044075379554,0.4515458384355314,H5,282,0.5856132226138662
RB,pt,0.18160366055553906,0.24718624893826446,0.4812354619650636,0.4784794726299285,H5,282,0.9507327448355892
RB,no_prior,-0.0983656350079936,0.9377417750053222,0.918758667011597,0.9242247494150209,H5,282,0.9507327448355892
RB,JOINT age (level),,,0.006121869343671912,,H5,282,
RB,JOINT age x era,,,0.14336559488044687,,H5,282,
RB,JOINT all H5 terms,,,3.2012937233672015e-07,,H5,282,
RB,HOLDOUT full,14.61134755429435,13.664272576069889,,,holdout,58,
RB,HOLDOUT age-only,14.106151179884614,13.664272576069889,,,holdout,58,
