rb_adp_rank,name,team,adp,gsis_id,rookie_season,exp_2026,tier,pi_ppg,sigma_diag,position
1,Jahmyr Gibbs,DET,1.6,00-0039139,2023,3,vet,19.40125646412411,12.991944015840863,RB
2,Bijan Robinson,ATL,2.0,00-0038542,2023,3,vet,19.40125646412411,12.991944015840863,RB
3,Christian McCaffrey,SF,5.3,00-0033280,2017,9,vet,18.801468895250412,12.991944015840863,RB
4,Jonathan Taylor,IND,7.5,00-0036223,2020,6,vet,16.783941579810566,12.991944015840863,RB
5,De'Von Achane,MIA,9.4,00-0039040,2023,3,vet,16.783941579810566,12.991944015840863,RB
6,Chase Brown,CIN,12.2,00-0038597,2023,3,vet,16.783941579810566,12.991944015840863,RB
7,Ashton Jeanty,LV,14.1,00-0040122,2025,1,soph,15.781450991037447,14.658756969839503,RB
8,James Cook III,BUF,15.1,00-0037248,2022,4,vet,15.48991409805029,12.991944015840863,RB
9,Derrick Henry,BAL,16.1,00-0032764,2016,10,vet,15.48991409805029,12.991944015840863,RB
10,Saquon Barkley,PHI,18.7,00-0034844,2018,8,vet,15.48991409805029,12.991944015840863,RB
11,Omarion Hampton,LAC,19.8,00-0040666,2025,1,soph,14.434106455309395,14.658756969839503,RB
12,Josh Jacobs,GB,24.6,00-0035700,2019,7,vet,14.434106455309395,12.991944015840863,RB
13,Jeremiyah Love,ARI,25.6,LOV121782,2026,0,rookie,14.434106455309395,11.678560682660601,RB
14,Kenneth Walker,KC,26.5,00-0038134,2022,4,vet,14.434106455309395,12.991944015840863,RB
15,Breece Hall,NYJ,28.3,00-0038120,2022,4,vet,13.416324058711414,12.991944015840863,RB
16,Cam Skattebo,NYG,30.6,00-0040715,2025,1,soph,13.416324058711414,14.658756969839503,RB
17,Kyren Williams,LAR,32.2,00-0037840,2022,4,vet,13.416324058711414,12.991944015840863,RB
18,Javonte Williams,DAL,36.7,00-0036997,2021,5,vet,13.416324058711414,12.991944015840863,RB
19,Travis Etienne Jr.,NO,37.1,00-0036973,2021,5,vet,13.416324058711414,12.991944015840863,RB
20,Bucky Irving,TB,42.8,00-0039361,2024,2,vet,12.035856922066072,12.991944015840863,RB
21,D'Andre Swift,CHI,44.4,00-0036275,2020,6,vet,12.035856922066072,12.991944015840863,RB
22,Quinshon Judkins,CLE,49.8,00-0040784,2025,1,soph,11.360280038588861,14.658756969839503,RB
23,Bhayshul Tuten,JAX,51.2,00-0040719,2025,1,soph,11.360280038588861,14.658756969839503,RB
24,TreVeyon Henderson,NE,55.7,00-0040734,2025,1,soph,11.360280038588861,14.658756969839503,RB
25,Tony Pollard,TEN,63.5,00-0035261,2019,7,vet,10.82966031491174,12.991944015840863,RB
26,David Montgomery,HOU,63.6,00-0035685,2019,7,vet,10.82966031491174,12.991944015840863,RB
27,Jadarian Price,SEA,64.5,PRI206342,2026,0,rookie,10.82966031491174,11.678560682660601,RB
28,Jaylen Warren,PIT,67.2,00-0037228,2022,4,vet,10.82966031491174,12.991944015840863,RB
29,Rico Dowdle,PIT,71.3,00-0036139,2020,6,vet,10.82966031491174,12.991944015840863,RB
30,Rhamondre Stevenson,NE,72.2,00-0036875,2021,5,vet,10.82966031491174,12.991944015840863,RB
