rb_adp_rank,name,team,adp,gsis_id,rookie_season,exp_2026,tier,pi_ppg,sigma_diag,position
1,Jahmyr Gibbs,DET,1.6,00-0039139,2023,3,vet,19.31297081332533,12.90542122354735,RB
2,Bijan Robinson,ATL,2.0,00-0038542,2023,3,vet,19.31297081332533,12.90542122354735,RB
3,Christian McCaffrey,SF,5.3,00-0033280,2017,9,vet,19.149079400991166,12.90542122354735,RB
4,Jonathan Taylor,IND,7.5,00-0036223,2020,6,vet,17.199379557608168,12.90542122354735,RB
5,De'Von Achane,MIA,9.4,00-0039040,2023,3,vet,16.801664115296468,12.90542122354735,RB
6,Chase Brown,CIN,12.2,00-0038597,2023,3,vet,16.801664115296468,12.90542122354735,RB
7,Ashton Jeanty,LV,14.1,00-0040122,2025,1,soph,16.603668390433096,14.30305045353994,RB
8,James Cook III,BUF,15.1,00-0037248,2022,4,vet,15.735458225108225,12.90542122354735,RB
9,Derrick Henry,BAL,16.1,00-0032764,2016,10,vet,15.735458225108225,12.90542122354735,RB
10,Saquon Barkley,PHI,18.7,00-0034844,2018,8,vet,15.735458225108225,12.90542122354735,RB
11,Omarion Hampton,LAC,19.8,00-0040666,2025,1,soph,14.529086646022046,14.30305045353994,RB
12,Josh Jacobs,GB,24.6,00-0035700,2019,7,vet,14.529086646022046,12.90542122354735,RB
13,Jeremiyah Love,ARI,25.6,LOV121782,2026,0,rookie,14.529086646022046,12.617779556974252,RB
14,Kenneth Walker,KC,26.5,00-0038134,2022,4,vet,14.529086646022046,12.90542122354735,RB
15,Breece Hall,NYJ,28.3,00-0038120,2022,4,vet,13.4515204915999,12.90542122354735,RB
16,Cam Skattebo,NYG,30.6,00-0040715,2025,1,soph,13.4515204915999,14.30305045353994,RB
17,Kyren Williams,LAR,32.2,00-0037840,2022,4,vet,13.4515204915999,12.90542122354735,RB
18,Javonte Williams,DAL,36.7,00-0036997,2021,5,vet,13.4515204915999,12.90542122354735,RB
19,Travis Etienne Jr.,NO,37.1,00-0036973,2021,5,vet,13.4515204915999,12.90542122354735,RB
20,Bucky Irving,TB,42.8,00-0039361,2024,2,vet,12.042590420341435,12.90542122354735,RB
21,D'Andre Swift,CHI,44.4,00-0036275,2020,6,vet,12.042590420341435,12.90542122354735,RB
22,Quinshon Judkins,CLE,49.8,00-0040784,2025,1,soph,11.408677885557127,14.30305045353994,RB
23,Bhayshul Tuten,JAX,51.2,00-0040719,2025,1,soph,11.408677885557127,14.30305045353994,RB
24,TreVeyon Henderson,NE,55.7,00-0040734,2025,1,soph,11.408677885557127,14.30305045353994,RB
25,Tony Pollard,TEN,63.5,00-0035261,2019,7,vet,10.627549988698345,12.90542122354735,RB
26,David Montgomery,HOU,63.6,00-0035685,2019,7,vet,10.627549988698345,12.90542122354735,RB
27,Jadarian Price,SEA,64.5,PRI206342,2026,0,rookie,10.627549988698345,12.617779556974252,RB
28,Jaylen Warren,PIT,67.2,00-0037228,2022,4,vet,10.627549988698345,12.90542122354735,RB
29,Rico Dowdle,PIT,71.3,00-0036139,2020,6,vet,10.627549988698345,12.90542122354735,RB
30,Rhamondre Stevenson,NE,72.2,00-0036875,2021,5,vet,10.627549988698345,12.90542122354735,RB
