tier,pos,bin,n,ceiling,hit,slack,binds
12,RB,R1-2,12.3,0.9371428571428572,0.5263203463203463,0.41082251082251087,False
12,RB,R3-4,9.0,1.0,0.24674603174603177,0.7532539682539683,False
12,RB,R5-6,8.1,1.0,0.12162698412698411,0.8783730158730159,False
12,RB,R7-8,9.2,1.0,0.086002886002886,0.913997113997114,False
12,RB,R9+,21.7,0.5716257076257076,0.04158352758352758,0.5300421800421801,False
12,WR,R1-2,10.1,0.9703296703296704,0.5368337218337218,0.43349594849594864,False
12,WR,R3-4,11.5,0.9780219780219781,0.2742324342324342,0.7037895437895438,False
12,WR,R5-6,9.7,1.0,0.11686868686868687,0.8831313131313131,False
12,WR,R7-8,8.5,1.0,0.10687229437229437,0.8931277056277056,False
12,WR,R9+,26.8,0.45668871906826614,0.04562361014724307,0.41106510892102305,False
24,RB,R1-2,12.3,1.0,0.7150577200577201,0.28494227994227994,False
24,RB,R3-4,9.0,1.0,0.579047619047619,0.42095238095238097,False
24,RB,R5-6,8.1,1.0,0.34285714285714286,0.6571428571428571,False
24,RB,R7-8,9.2,1.0,0.31053391053391055,0.6894660894660894,False
24,RB,R9+,21.7,0.9803076923076922,0.1460876900876901,0.8342200022200021,False
24,WR,R1-2,10.1,1.0,0.6890062715062715,0.3109937284937285,False
24,WR,R3-4,11.5,1.0,0.6022227772227773,0.3977772227772227,False
24,WR,R5-6,9.7,1.0,0.3162121212121212,0.6837878787878788,False
24,WR,R7-8,8.5,1.0,0.17242784992784993,0.82757215007215,False
24,WR,R9+,26.8,0.8827138225758915,0.14687011824721916,0.7358437043286723,False
36,RB,R1-2,12.3,1.0,0.8263347763347764,0.17366522366522363,False
36,RB,R3-4,9.0,1.0,0.7280555555555556,0.27194444444444443,False
36,RB,R5-6,8.1,1.0,0.5117063492063492,0.48829365079365084,False
36,RB,R7-8,9.2,1.0,0.49451659451659447,0.5054834054834055,False
36,RB,R9+,21.7,1.0,0.3187026307026307,0.6812973692973693,False
36,WR,R1-2,10.1,1.0,0.8046539571539573,0.19534604284604273,False
36,WR,R3-4,11.5,1.0,0.7208325008325008,0.27916749916749917,False
36,WR,R5-6,9.7,1.0,0.48270202020202013,0.5172979797979799,False
36,WR,R7-8,8.5,1.0,0.3563997113997114,0.6436002886002886,False
36,WR,R9+,26.8,1.0,0.25519047718605836,0.7448095228139416,False
