year,pos,pid,name,adp,E_total
2015,QB,00-0029668,Andrew Luck,16.9,374.4
2015,QB,00-0023459,Aaron Rodgers,27.1,323.6742857142857
2015,QB,00-0010346,Peyton Manning,54.9,283.49724137931037
2015,QB,00-0020531,Drew Brees,56.8,283.49724137931037
2015,QB,00-0022924,Ben Roethlisberger,63.8,283.49724137931037
2015,QB,00-0019596,Tom Brady,67.0,283.49724137931037
2015,QB,00-0029263,Russell Wilson,68.7,283.49724137931037
2015,QB,00-0026143,Matt Ryan,78.2,254.40645161290325
2015,QB,00-0021678,Tony Romo,80.8,254.40645161290325
2015,QB,00-0027854,Sam Bradford,82.1,254.40645161290325
2015,QB,00-0029701,Ryan Tannehill,89.1,253.5566666666667
2015,QB,00-0026498,Matthew Stafford,94.6,236.90638297872346
2015,QB,00-0022803,Eli Manning,105.9,236.90638297872346
2015,QB,00-0022942,Philip Rivers,113.3,236.90638297872346
2015,QB,00-0027939,Cam Newton,119.1,236.90638297872346
2015,QB,00-0031237,Teddy Bridgewater,122.5,236.90638297872346
2015,QB,00-0021429,Carson Palmer,128.4,217.13714285714283
2015,QB,00-0026158,Joe Flacco,146.0,214.70434782608692
2015,QB,00-0027974,Colin Kaepernick,147.5,214.70434782608692
2015,QB,00-0028118,Tyrod Taylor,154.5,203.13666666666668
2015,QB,00-0024226,Jay Cutler,155.7,203.13666666666668
2015,QB,00-0032268,Marcus Mariota,162.6,183.64172839506185
2015,QB,00-0031280,Derek Carr,163.2,177.52024691358048
2015,RB,00-0025394,Adrian Peterson,1.8,249.97714285714287
2015,RB,00-0030496,LeVeon Bell,3.1,249.97714285714287
2015,RB,00-0030485,Eddie Lacy,4.0,249.97714285714287
2015,RB,00-0026213,Jamaal Charles,4.5,249.97714285714287
2015,RB,00-0025399,Marshawn Lynch,8.6,242.76685714285716
2015,RB,00-0029854,CJ Anderson,10.7,223.90742857142854
2015,RB,00-0026184,Matt Forte,13.7,223.90742857142854
2015,RB,00-0031301,Jeremy Hill,14.4,223.90742857142854
2015,RB,00-0028009,DeMarco Murray,17.6,223.90742857142854
2015,RB,00-0026373,Justin Forsett,19.3,196.56
2015,RB,00-0029615,Lamar Miller,22.3,195.47857142857146
2015,RB,00-0027029,LeSean McCoy,24.4,178.5125
2015,RB,00-0023500,Frank Gore,27.7,176.50238095238097
2015,RB,00-0027966,Mark Ingram II,31.0,176.50238095238097
2015,RB,00-0030513,Latavius Murray,33.2,176.50238095238097
2015,RB,00-0026796,Arian Foster,37.5,174.54444444444442
2015,RB,00-0029613,Doug Martin,38.0,174.54444444444442
2015,RB,00-0032104,Ameer Abdullah,41.5,163.7113043478261
2015,RB,00-0030287,Andre Ellington,43.7,163.7113043478261
2015,RB,00-0031045,Carlos Hyde,44.7,163.7113043478261
2015,RB,00-0027531,Chris Ivory,47.6,163.7113043478261
2015,RB,00-0029141,Alfred Morris,48.2,162.24904347826083
2015,RB,00-0032144,Melvin Gordon III,51.8,145.90292682926827
2015,RB,00-0026153,Jonathan Stewart,53.0,145.90292682926827
2015,RB,00-0030388,Joseph Randle,56.6,145.90292682926827
2015,RB,00-0027861,C.J. Spiller,57.9,145.90292682926827
2015,RB,00-0032241,Todd Gurley,60.2,145.90292682926827
2015,RB,00-0032209,TJ Yeldon,63.1,134.94901960784313
2015,RB,00-0027325,LeGarrette Blount,68.5,134.94901960784313
2015,RB,00-0026019,Danny Woodhead,69.0,134.94901960784313
2015,RB,00-0030456,Giovani Bernard,75.5,134.94901960784313
2015,RB,00-0027994,Shane Vereen,77.9,134.94901960784313
2015,RB,00-0027864,Ryan Mathews,78.9,134.94901960784313
2015,RB,00-0027218,Joique Bell,80.5,127.33749999999999
2015,RB,00-0027155,Rashad Jennings,81.7,127.33749999999999
2015,RB,00-0026144,Darren McFadden,84.6,121.0859574468085
2015,RB,00-0031075,Alfred Blue,86.4,121.0859574468085
2015,RB,00-0032058,Tevin Coleman,88.9,121.0859574468085
2015,RB,00-0030656,Isaiah Crowell,95.4,116.12
