player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye,pulled_meta,E_total,nname,model_value,value,frame,demand,R,VORP,vorp_rank
5672,Jahmyr Gibbs,RB,DET,1.6,1.02,993,1,4,0.7,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",240.98285714285717,jahmyr gibbs,247.19710350558134,247.19710350558134,10,24,138.03684210526316,109.16026140031818,3
5670,Bijan Robinson,RB,ATL,2.0,1.02,709,1,4,0.8,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",240.98285714285717,bijan robinson,247.19710350558134,247.19710350558134,10,24,138.03684210526316,109.16026140031818,3
5714,Puka Nacua,WR,LAR,2.9,1.03,248,1,6,0.7,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",297.47999999999996,puka nacua,273.2079184389867,273.2079184389867,10,36,153.68615384615384,119.52176459283288,1
5177,Ja'Marr Chase,WR,CIN,3.9,1.04,1156,1,7,1.0,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",297.47999999999996,jamarr chase,268.33334481233743,268.33334481233743,10,36,153.68615384615384,114.64719096618359,2
2434,Christian McCaffrey,RB,SF,5.3,1.05,588,2,10,1.3,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",240.98285714285717,christian mccaffrey,239.55503403351398,239.55503403351398,10,24,138.03684210526316,101.51819192825081,6
5671,Jaxon Smith-Njigba,WR,SEA,5.9,1.06,659,2,11,1.2,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",256.34235294117644,jaxon smith njigba,244.58973403469935,244.58973403469935,10,36,153.68615384615384,90.9035801885455,7
5182,Amon-Ra St. Brown,WR,DET,7.0,1.07,685,3,11,1.3,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",256.34235294117644,amon ra st brown,255.24738878459965,255.24738878459965,10,36,153.68615384615384,101.5612349384458,5
4864,Jonathan Taylor,RB,IND,7.5,1.08,904,3,15,1.6,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",240.98285714285717,jonathan taylor,213.84912629798438,213.84912629798438,10,24,138.03684210526316,75.81228419272122,12
5683,De'Von Achane,RB,MIA,9.4,1.09,339,4,14,1.8,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",225.8461538461538,devon achane,213.84912629798438,213.84912629798438,10,24,138.03684210526316,75.81228419272122,12
5574,Drake London,WR,ATL,10.6,1.11,209,6,16,1.6,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",256.34235294117644,drake london,230.05415857879711,230.05415857879711,10,36,153.68615384615384,76.36800473264327,10
