year,frame,alloc,flex_RB,flex_WR,R_RB,R_WR,R_gap
2015,10,realized,0,20,166.3,167.4,-1.0999999999999943
2015,10,50/50,10,10,141.3,185.70000000000002,-44.400000000000006
2015,10,no_flex,0,0,166.3,212.7,-46.39999999999998
2015,12,realized,4,20,147.6,150.9,-3.3000000000000114
2015,12,50/50,12,12,124.5,172.9,-48.400000000000006
2015,12,no_flex,0,0,161.5,207.5,-46.0
2016,10,realized,1,19,176.3,180.0,-3.6999999999999886
2016,10,50/50,10,10,144.2,193.3,-49.10000000000002
2016,10,no_flex,0,0,183.6,212.6,-29.0
2016,12,realized,0,24,161.8,155.8,6.0
2016,12,50/50,12,12,132.5,183.9,-51.400000000000006
2016,12,no_flex,0,0,161.8,199.3,-37.5
2017,10,realized,4,16,157.5,156.2,1.3000000000000114
2017,10,50/50,10,10,143.5,168.6,-25.099999999999994
2017,10,no_flex,0,0,171.0,195.9,-24.900000000000006
2017,12,realized,6,18,143.5,138.9,4.599999999999994
2017,12,50/50,12,12,135.0,156.2,-21.19999999999999
2017,12,no_flex,0,0,157.5,176.9,-19.400000000000006
2018,10,realized,5,15,162.5,159.0,3.5
2018,10,50/50,10,10,150.3,182.4,-32.099999999999994
2018,10,no_flex,0,0,178.1,207.1,-29.0
2018,12,realized,6,18,150.3,150.2,0.10000000000002274
2018,12,50/50,12,12,132.0,156.7,-24.69999999999999
2018,12,no_flex,0,0,168.8,185.68,-16.879999999999995
2019,10,realized,4,16,167.2,170.0,-2.8000000000000114
2019,10,50/50,10,10,152.6,189.1,-36.5
2019,10,no_flex,0,0,191.6,217.1,-25.5
2019,12,realized,4,20,154.0,154.2,-0.19999999999998863
2019,12,50/50,12,12,141.5,170.0,-28.5
2019,12,no_flex,0,0,167.2,203.3,-36.10000000000002
2020,10,realized,2,18,170.4,172.02,-1.6200000000000045
2020,10,50/50,10,10,143.6,191.0,-47.400000000000006
2020,10,no_flex,0,0,179.5,223.8,-44.30000000000001
2020,12,realized,5,19,158.1,161.2,-3.0999999999999943
2020,12,50/50,12,12,128.2,181.06,-52.860000000000014
2020,12,no_flex,0,0,168.0,211.5,-43.5
2021,10,realized,5,15,165.0,168.20000000000002,-3.200000000000017
2021,10,50/50,10,10,146.6,183.84,-37.24000000000001
2021,10,no_flex,0,0,195.0,228.3,-33.30000000000001
2021,12,realized,5,19,148.6,150.24,-1.6400000000000148
2021,12,50/50,12,12,127.9,166.6,-38.69999999999999
2021,12,no_flex,0,0,173.6,213.5,-39.900000000000006
2022,10,realized,4,16,168.3,168.4,-0.09999999999999432
2022,10,50/50,10,10,154.7,178.6,-23.900000000000006
2022,10,no_flex,0,0,191.1,215.7,-24.599999999999994
2022,12,realized,5,19,158.5,156.0,2.5
2022,12,50/50,12,12,135.0,168.4,-33.400000000000006
2022,12,no_flex,0,0,168.3,198.2,-29.899999999999977
2023,10,realized,5,15,185.4,174.4,11.0
2023,10,50/50,10,10,169.6,203.20000000000002,-33.60000000000002
2023,10,no_flex,0,0,198.1,225.4,-27.30000000000001
2023,12,realized,8,16,156.4,161.4,-5.0
2023,12,50/50,12,12,134.9,174.38,-39.47999999999999
2023,12,no_flex,0,0,187.0,217.2,-30.19999999999999
2024,10,realized,5,15,182.3,182.70000000000002,-0.4000000000000057
2024,10,50/50,10,10,155.4,193.2,-37.79999999999998
2024,10,no_flex,0,0,200.7,212.5,-11.800000000000011
2024,12,realized,5,19,157.9,155.6,2.3000000000000114
2024,12,50/50,12,12,127.10000000000001,182.5,-55.39999999999999
2024,12,no_flex,0,0,186.9,209.5,-22.599999999999994
