frame,baseline,pos,mean_premium,se,t,p,mde,seasons_positive
10,R_exp,TE,12.665460238664943,4.998154809068345,2.5340272005351876,0.03202307165678797,14.004829775009503,7
10,R_exp,QB,19.027856813204078,13.398192082173866,1.4201809241502377,0.18925564084523416,37.54173421425117,6
10,R_real,TE,18.504265959595966,4.307131268501029,4.296192710661414,0.0020017990560763366,12.068581814339883,9
10,R_real,QB,5.293128585858589,12.799073679873029,0.41355559927607966,0.6888800076426174,35.86300445100423,6
10,R_week,TE,-10.168611080031072,4.9613964380422315,-2.0495461725375868,0.07066561917477765,13.901832819394333,3
10,R_week,QB,-23.348237575757572,12.991526933763542,-1.7971896371224914,0.10586042093405434,36.40225846840544,4
12,R_exp,TE,5.814902024681047,4.327117377552801,1.3438281232781493,0.211898621017105,12.124582891902948,6
12,R_exp,QB,13.864898491264904,12.840676684904862,1.0797638497949325,0.30833230062446715,35.97957607110342,6
12,R_real,TE,12.347248562548561,4.7565431402078,2.595844965259612,0.028934742250600776,13.327833878862256,8
12,R_real,QB,9.05963959595959,14.23821470085025,0.6362904188696202,0.540429484668181,39.8954775917824,7
12,R_week,TE,-18.05013690975692,5.126644227966295,-3.520848357545826,0.006506766509657869,14.36485712676156,1
12,R_week,QB,-28.757813838383846,13.200598847868944,-2.178523426838806,0.057312199945427134,36.988077971728785,3
