frame,measure,rnd,n_RB,n_WR,RB,WR,diff,se,t,p,mde,n_seasons
10,total,1,60,34,67.931,87.82823529411766,-19.387457142857148,25.64981341029188,-0.7558517807805187,0.4690582907976961,71.87077717563785,10
10,total,2,49,47,43.45428571428571,74.39489361702128,-35.974966666666674,21.572145838732197,-1.6676582355601641,0.12973050650062334,60.44515264012762,10
10,total,3,36,47,11.672222222222217,42.4595744680851,-27.659842857142856,21.337651093807413,-1.2962927707244338,0.22712607249669414,59.78809836484837,10
10,total,4,41,48,10.212195121951218,33.955,-28.277466666666676,10.807715700814379,-2.6164147401227367,0.027974923199657997,30.28321939368189,10
10,total,5,34,53,-13.27176470588236,26.605660377358486,-33.887071428571424,22.121129223989257,-1.531887051761471,0.15991236487195204,61.9834040856179,10
10,total,6,35,35,-32.21942857142857,0.6377142857142795,-32.1145,23.727204055409416,-1.353488591618464,0.20891185143888125,66.48362576325718,10
10,total,7,36,42,-39.72222222222223,-11.213809523809527,-26.112866666666662,11.227074150606198,-2.3258835130483857,0.045049760420611484,31.45826176999857,10
10,total,8,34,32,-20.805882352941182,-10.922500000000003,-13.170166666666669,15.505883163564038,-0.8493657876652991,0.4176976215398087,43.44748462430643,10
10,total,9,32,42,-59.66125,-22.79571428571429,-41.7879619047619,15.300858340681165,-2.7310861243423274,0.02318329390923246,42.873005070588626,10
10,total,10,43,39,-34.68604651162791,-25.105641025641027,-16.008666666666674,23.626163890332247,-0.677582139063099,0.5150757061852684,66.20051122071095,10
10,total,11,28,38,-53.064285714285724,-32.04789473684211,-16.32625925925926,18.09995701249736,-0.9020054162552195,0.3934002342514107,50.7160795490176,9
10,total,12,34,36,-58.40411764705883,-30.796666666666674,-24.640466666666665,14.471340578664565,-1.7027079511206225,0.12282646240443174,40.54869630141811,10
10,total,13,32,35,-65.446875,-49.79200000000001,-11.26023333333333,19.258129250135855,-0.5847002679792429,0.5731129903163867,53.96127815888067,10
10,total,14,26,36,-88.71846153846155,-27.988888888888894,-55.40229629629629,18.18764218971565,-3.046150552028342,0.015913835946831822,50.96177341558325,9
10,weekly,1,60,34,98.40972549019608,111.68453287197232,-13.534293977591037,14.799962275500393,-0.9144816537806639,0.3843094082373837,41.4694942959521,10
10,weekly,2,49,47,77.8041056422569,97.0557947434293,-20.280211764705882,12.619005892793671,-1.6071164350820448,0.14249081594800517,35.35845451160787,10
10,weekly,3,36,47,56.689705882352946,75.2439549436796,-17.32961176470588,11.299121122706865,-1.5337132487127747,0.15946795681751036,31.660137385824637,10
10,weekly,4,41,48,54.03974175035868,67.72088235294119,-16.925998039215678,5.41596936211535,-3.1252019550946617,0.012215777499945402,15.175546152647211,10
10,weekly,5,34,53,43.11865051903115,63.82439511653719,-18.441812324929977,12.258906561368343,-1.5043602977647212,0.16674504004236979,34.3494561849541,10
