frame,year,pos,demand,R_exp,R_real,R_week,gap_exp_real,gap_real_week
10,2015,QB,10,253.5566666666667,285.2,337.1,31.64333333333329,51.900000000000034
10,2015,RB,20,163.7113043478261,166.3,197.9,2.588695652173925,31.599999999999994
10,2015,WR,40,148.57274999999998,167.4,196.7,18.82725000000002,29.299999999999983
10,2015,TE,10,128.3925925925926,160.1,221.5,31.707407407407402,61.400000000000006
10,2016,QB,10,238.0926086956522,268.48,329.22,30.38739130434783,60.74000000000001
10,2016,RB,21,146.1841860465116,176.3,199.3,30.115813953488413,23.0
10,2016,WR,39,147.7857731958763,180.0,198.9,32.21422680412371,18.900000000000006
10,2016,TE,10,131.24565217391302,152.3,204.4,21.054347826086996,52.099999999999994
10,2017,QB,10,245.12765957446803,260.66,308.65999999999997,15.532340425531999,47.99999999999994
10,2017,RB,24,143.9658064516129,157.5,186.50000000000003,13.534193548387094,29.00000000000003
10,2017,WR,36,153.06571428571428,156.2,187.5,3.13428571428571,31.30000000000001
10,2017,TE,10,128.45,137.2,194.7,8.75,57.5
10,2018,QB,10,234.17199999999997,285.02,353.0,50.84800000000001,67.98000000000002
10,2018,RB,25,146.08739130434782,162.5,204.8,16.41260869565218,42.30000000000001
10,2018,WR,35,146.61,159.0,202.7,12.389999999999986,43.69999999999999
10,2018,TE,10,134.34146341463412,131.2,194.7,-3.1414634146341314,63.5
10,2019,QB,10,244.01627906976745,267.34000000000003,342.26000000000005,23.323720930232582,74.92000000000002
10,2019,RB,24,141.66347826086954,167.2,197.6,25.53652173913045,30.400000000000006
10,2019,WR,36,147.498,170.0,195.5,22.50200000000001,25.5
10,2019,TE,10,133.37,139.9,209.2,6.530000000000001,69.29999999999998
10,2020,QB,10,237.7996078431372,306.2,365.72,68.40039215686278,59.52000000000004
10,2020,RB,22,161.78240000000002,170.4,206.90000000000003,8.617599999999982,36.50000000000003
10,2020,WR,38,143.83037037037036,172.02,202.9,28.18962962962965,30.879999999999995
10,2020,TE,10,128.2,149.1,209.4,20.900000000000006,60.30000000000001
10,2021,QB,10,242.04116279069768,300.34,334.96,58.29883720930229,34.620000000000005
10,2021,RB,25,144.49590909090912,165.0,197.7,20.504090909090877,32.69999999999999
10,2021,WR,35,152.8140909090909,168.20000000000002,195.0,15.38590909090911,26.799999999999983
10,2021,TE,10,133.74634146341464,164.1,198.6,30.353658536585357,34.5
10,2022,QB,10,252.56,281.26,316.8,28.69999999999999,35.54000000000002
10,2022,RB,24,143.39155555555556,168.3,191.6,24.908444444444456,23.299999999999983
10,2022,WR,36,143.41469879518075,168.4,191.0,24.98530120481925,22.599999999999994
