year,name,pos_adp,adp,pid,total,games,touches,pos,ppg,rank_T,rank_P,pos_eff,round12,round10,bin12,bin10,hit_pos_T,hit_pos_P,tier_T,tier_P,hit24_T,hit24_P,hit36_T,hit36_P,elig_P,hit_val_T_12,hit_val_P_12,hit_val_T_10,hit_val_P_10,hit_val_T,hit_val_P,board_team,fr,wt17,proj_rank,top10_proj,ppg_team,real_rank,top10_real,hit12,hit24,band1324,ladp,own_pts,pts_tot,gms,top10_real_loo,g_all,g_last,g_last2,g_ex_last2,rb_rank_on_team,is_lead,n_rb_drafted,birth_date,rookie_season,draft_round,age,exp
2015,Adrian Peterson,RB,1.8,00-0025394,260.7,16,36.0,RB,16.29375,2.0,8.0,RB,1,1,R1-2,R1-2,1,1.0,1-12,1-12,1,1.0,1,1.0,True,1,1.0,1,0.0,1,1.0,MIN,MIN,8.979173407029666,15.0,0,22.8125,16.0,0,1,1,0,0.5877866649021191,66.0,365.0,16,0,16.0,1.0,2.0,14.0,1.0,True,1.0,1985-03-21,2007,1.0,30,8
2015,Antonio Brown,WR,2.5,00-0027793,390.2,16,193.0,WR,24.3875,1.0,1.0,WR,1,1,R1-2,R1-2,1,1.0,1-12,1-12,1,1.0,1,1.0,True,1,1.0,1,1.0,1,1.0,PIT,PIT,9.03125,14.0,0,26.4375,4.0,1,1,1,0,0.9162907318741551,64.0,423.0,16,0,16.0,1.0,2.0,14.0,,False,2.0,1988-07-10,2010,6.0,27,5
2015,LeVeon Bell,RB,3.1,00-0030496,111.2,6,26.0,RB,18.533333333333335,47.0,4.0,RB,1,1,R1-2,R1-2,0,1.0,none,1-12,0,1.0,0,1.0,True,0,1.0,0,1.0,0,1.0,PIT,PIT,9.03125,14.0,0,26.4375,4.0,1,0,0,0,1.1314021114911006,18.0,423.0,16,1,6.0,0.0,0.0,6.0,1.0,True,2.0,1992-02-18,2013,2.0,23,2
2015,Eddie Lacy,RB,4.0,00-0030485,140.6,15,28.0,RB,9.373333333333331,32.0,49.0,RB,1,1,R1-2,R1-2,0,0.0,25-36,none,0,0.0,1,0.0,True,0,0.0,0,0.0,0,0.0,GB,GB,11.107631071735087,4.0,1,23.0,15.0,0,0,0,0,1.3862943611198906,30.0,368.0,16,0,15.0,1.0,2.0,13.0,1.0,True,2.0,1990-06-02,2013,2.0,25,2
2015,Jamaal Charles,RB,4.5,00-0026213,101.1,5,30.0,RB,20.22,51.0,2.0,RB,1,1,R1-2,R1-2,0,1.0,none,1-12,0,1.0,0,1.0,True,0,1.0,0,1.0,0,1.0,KC,KC,9.586094353810449,10.0,1,25.3125,9.0,1,0,0,0,1.5040773967762742,30.0,405.0,16,0,5.0,0.0,0.0,5.0,1.0,True,2.0,1986-12-27,2008,3.0,29,7
2015,Julio Jones,WR,6.2,00-0027944,369.1,16,203.0,WR,23.06875,2.0,2.0,WR,1,1,R1-2,R1-2,1,1.0,1-12,1-12,1,1.0,1,1.0,True,1,1.0,1,1.0,1,1.0,ATL,ATL,9.03125,13.0,0,21.1875,21.0,0,1,1,0,1.824549292051046,48.0,339.0,16,0,16.0,1.0,2.0,14.0,,False,2.0,1989-02-08,2011,1.0,26,4
2015,Dez Bryant,WR,7.6,00-0027902,89.1,9,72.0,WR,9.9,82.0,55.0,WR,1,1,R1-2,R1-2,0,0.0,none,none,0,0.0,0,0.0,True,0,0.0,0,0.0,0,0.0,DAL,DAL,9.798106333221622,9.0,1,17.1875,31.0,0,0,0,0,2.028148247292285,18.0,275.0,16,0,9.0,0.0,0.0,9.0,,False,2.0,1988-11-04,2010,1.0,27,5
2015,Marshawn Lynch,RB,8.6,00-0025399,82.69999999999999,7,21.0,RB,11.814285714285711,58.0,28.0,RB,1,1,R1-2,R1-2,0,0.0,none,25-36,0,0.0,0,1.0,True,0,0.0,0,0.0,0,0.0,SEA,SEA,11.817077777313648,2.0,1,26.4375,5.0,1,0,0,0,2.151762203259462,20.0,423.0,16,1,7.0,0.0,0.0,7.0,1.0,True,2.0,1986-04-22,2007,1.0,29,8
2015,Demaryius Thomas,WR,9.1,00-0027874,267.4,16,177.0,WR,16.7125,11.0,17.0,WR,1,1,R1-2,R1-2,1,0.0,1-12,13-24,1,1.0,1,1.0,True,1,1.0,1,1.0,1,1.0,DEN,DEN,10.996289018117695,5.0,1,22.1875,19.0,0,1,1,0,2.2082744135228043,36.0,355.0,16,0,16.0,1.0,2.0,14.0,,False,2.0,1987-12-25,2010,1.0,28,5
2015,CJ Anderson,RB,10.7,00-0029854,141.3,15,36.0,RB,9.42,31.0,48.0,RB,1,2,R1-2,R1-2,0,0.0,25-36,none,0,0.0,1,0.0,True,0,0.0,0,0.0,0,0.0,DEN,DEN,10.996289018117695,5.0,1,22.1875,19.0,0,0,0,0,2.3702437414678603,30.0,355.0,16,0,15.0,1.0,2.0,13.0,1.0,True,2.0,1991-02-10,2013,,24,2
2015,Odell Beckham Jr.,WR,11.4,00-0031235,319.3,15,158.0,WR,21.28666666666667,5.0,3.0,WR,1,2,R1-2,R1-2,1,1.0,1-12,1-12,1,1.0,1,1.0,True,1,1.0,1,1.0,1,1.0,NYG,NYG,7.8257714841568085,23.0,0,26.25,6.0,1,1,1,0,2.4336133554004498,78.0,420.0,16,0,15.0,1.0,1.0,14.0,,False,3.0,1992-11-05,2014,1.0,23,1
2015,Calvin Johnson,WR,13.1,00-0025389,261.4,16,149.0,WR,16.3375,12.0,18.0,WR,2,2,R1-2,R1-2,1,0.0,1-12,13-24,1,1.0,1,1.0,True,1,1.0,1,0.0,1,1.0,DET,DET,8.476405646189551,20.0,0,22.375,18.0,0,1,1,0,2.5726122302071057,54.0,358.0,16,0,16.0,1.0,2.0,14.0,,False,2.0,1985-09-29,2007,1.0,30,8
2015,Matt Forte,RB,13.7,00-0026184,214.7,13,58.0,RB,16.515384615384615,8.0,7.0,RB,2,2,R1-2,R1-2,1,1.0,1-12,1-12,1,1.0,1,1.0,True,1,1.0,1,1.0,1,1.0,CHI,CHI,6.756101184865114,27.0,0,20.9375,23.0,0,1,1,0,2.617395832834079,44.0,335.0,16,0,13.0,1.0,2.0,11.0,1.0,True,1.0,1985-12-10,2008,2.0,30,7
2015,Jeremy Hill,RB,14.4,00-0031301,170.3,16,19.0,RB,10.64375,20.0,34.0,RB,2,2,R1-2,R1-2,0,0.0,13-24,25-36,1,0.0,1,1.0,True,0,0.0,0,0.0,0,0.0,CIN,CIN,8.881101184865114,16.0,0,26.1875,7.0,1,0,1,1,2.667228206581955,74.0,419.0,16,0,16.0,1.0,2.0,14.0,1.0,True,2.0,1992-10-20,2014,2.0,23,1
2015,Randall Cobb,WR,15.9,00-0028002,202.9,16,129.0,WR,12.68125,26.0,31.0,WR,2,2,R1-2,R1-2,0,0.0,25-36,25-36,0,0.0,1,1.0,True,0,0.0,1,0.0,0,0.0,GB,GB,11.107631071735087,4.0,1,23.0,15.0,0,0,0,0,2.766319109226186,36.0,368.0,16,0,16.0,1.0,2.0,14.0,,False,2.0,1990-08-22,2011,2.0,25,4
2015,A.J. Green,WR,16.7,00-0027942,273.7,16,132.0,WR,17.10625,9.0,13.0,WR,2,2,R1-2,R1-2,1,0.0,1-12,13-24,1,1.0,1,1.0,True,1,1.0,1,1.0,1,1.0,CIN,CIN,8.881101184865114,16.0,0,26.1875,7.0,1,1,1,0,2.8154087194227095,60.0,419.0,16,0,16.0,1.0,2.0,14.0,,False,2.0,1988-07-31,2011,1.0,27,4
2015,DeMarco Murray,RB,17.6,00-0028009,184.4,15,55.0,RB,12.293333333333331,15.0,23.0,RB,2,2,R1-2,R1-2,0,0.0,13-24,13-24,1,1.0,1,1.0,True,0,0.0,0,0.0,0,0.0,PHI,PHI,10.880181116817948,6.0,1,23.5625,13.0,0,0,1,1,2.8678989020441064,42.0,377.0,16,0,15.0,1.0,2.0,13.0,1.0,True,3.0,1988-02-12,2011,3.0,27,4
2015,Justin Forsett,RB,19.3,00-0026373,122.4,10,41.0,RB,12.24,41.0,25.0,RB,2,2,R1-2,R1-2,0,0.0,none,25-36,0,0.0,0,1.0,True,0,0.0,0,0.0,0,0.0,BAL,BAL,9.933789018117695,8.0,1,20.5,25.0,0,0,0,0,2.9601050959108397,12.0,328.0,16,0,10.0,0.0,0.0,10.0,1.0,True,1.0,1985-10-14,2008,7.0,30,7
2015,Brandin Cooks,WR,20.6,00-0031236,253.6,16,129.0,WR,15.85,13.0,20.0,WR,2,3,R1-2,R3-4,0,0.0,13-24,13-24,1,1.0,1,1.0,True,1,0.0,1,1.0,1,0.0,NO,NO,9.32689366677838,11.0,0,25.5,8.0,1,0,1,1,3.0252910757955354,54.0,408.0,16,0,16.0,1.0,2.0,14.0,,False,3.0,1993-09-25,2014,1.0,22,1
2015,Lamar Miller,RB,22.3,00-0029615,231.9,16,57.0,RB,14.49375,6.0,14.0,RB,2,3,R1-2,R3-4,1,0.0,1-12,13-24,1,1.0,1,1.0,True,1,0.0,1,0.0,1,0.0,MIA,MIA,10.142368928264913,7.0,1,19.375,27.0,0,1,1,0,3.104586678466073,60.0,310.0,16,0,16.0,1.0,2.0,14.0,1.0,True,1.0,1991-04-25,2012,4.0,24,3
2015,T.Y. Hilton,WR,22.8,00-0029608,211.4,16,134.0,WR,13.2125,23.0,29.0,WR,2,3,R1-2,R3-4,0,0.0,13-24,25-36,1,0.0,1,1.0,True,1,0.0,0,0.0,1,0.0,IND,IND,11.827451138982779,1.0,1,20.8125,24.0,0,0,1,1,3.126760535960395,30.0,333.0,16,0,16.0,1.0,2.0,14.0,,False,1.0,1989-11-14,2012,3.0,26,3
2015,Jordan Matthews,WR,24.4,00-0031299,230.7,16,128.0,TE,14.41875,17.0,25.0,WR,3,3,R3-4,R3-4,0,0.0,13-24,25-36,1,0.0,1,1.0,True,1,1.0,1,0.0,1,1.0,PHI,PHI,10.880181116817948,6.0,1,23.5625,13.0,0,0,1,1,3.1945831322991562,48.0,377.0,16,0,16.0,1.0,2.0,14.0,,False,3.0,1992-07-16,2014,2.0,23,1
2015,LeSean McCoy,RB,24.4,00-0027029,178.7,12,50.0,RB,14.891666666666666,19.0,11.0,RB,3,3,R3-4,R3-4,0,1.0,13-24,1-12,1,1.0,1,1.0,True,0,1.0,0,1.0,0,1.0,BUF,BUF,8.476405646189551,19.0,0,23.6875,12.0,0,0,1,1,3.1945831322991562,32.0,379.0,16,0,12.0,0.0,0.0,12.0,1.0,True,1.0,1988-07-12,2009,2.0,27,6
2015,Alshon Jeffery,WR,26.1,00-0029137,158.7,9,94.0,WR,17.633333333333333,43.0,10.0,WR,3,3,R3-4,R3-4,0,1.0,none,1-12,0,1.0,0,1.0,True,0,1.0,0,1.0,0,1.0,CHI,CHI,6.756101184865114,27.0,0,20.9375,23.0,0,0,0,0,3.261935314328648,24.0,335.0,16,0,9.0,0.0,0.0,9.0,,False,1.0,1990-02-14,2012,2.0,25,3
2015,Frank Gore,RB,27.7,00-0023500,193.4,16,58.0,RB,12.0875,14.0,27.0,RB,3,3,R3-4,R3-4,0,0.0,13-24,25-36,1,0.0,1,1.0,True,0,0.0,0,0.0,0,0.0,IND,IND,11.827451138982779,1.0,1,20.8125,24.0,0,0,1,1,3.3214324131932926,42.0,333.0,16,0,16.0,1.0,2.0,14.0,1.0,True,1.0,1983-05-14,2005,3.0,32,10
2015,DeAndre Hopkins,WR,28.7,00-0030564,331.09999999999997,16,192.0,WR,20.69375,4.0,5.0,WR,3,3,R3-4,R3-4,1,1.0,1-12,1-12,1,1.0,1,1.0,True,1,1.0,1,1.0,1,1.0,HOU,HOU,8.881101184865114,17.0,0,21.1875,22.0,0,1,1,0,3.3568971227655755,68.0,339.0,16,0,16.0,1.0,2.0,14.0,,False,2.0,1992-06-06,2013,1.0,23,2
2015,Mike Evans,WR,30.0,00-0031408,212.6,15,148.0,WR,14.173333333333336,22.0,26.0,WR,3,3,R3-4,R3-4,0,0.0,13-24,25-36,1,0.0,1,1.0,True,1,0.0,1,0.0,1,0.0,TB,TB,6.854173407029665,26.0,0,21.375,20.0,0,0,1,1,3.4011973816621555,18.0,342.0,16,0,15.0,1.0,2.0,13.0,,False,2.0,1993-08-21,2014,1.0,22,1
2015,Mark Ingram II,RB,31.0,00-0027966,203.4,12,60.0,RB,16.95,11.0,6.0,RB,3,4,R3-4,R3-4,1,1.0,1-12,1-12,1,1.0,1,1.0,True,1,1.0,0,1.0,1,1.0,NO,NO,9.32689366677838,11.0,0,25.5,8.0,1,1,1,0,3.4339872044851463,38.0,408.0,16,0,12.0,0.0,0.0,12.0,1.0,True,3.0,1989-12-21,2011,1.0,26,4
2015,Emmanuel Sanders,WR,31.9,00-0027685,226.4,15,137.0,WR,15.093333333333334,18.0,22.0,WR,3,4,R3-4,R3-4,0,0.0,13-24,13-24,1,1.0,1,1.0,True,1,1.0,1,1.0,1,1.0,DEN,DEN,10.996289018117695,5.0,1,22.1875,19.0,0,0,1,1,3.462606009790799,36.0,355.0,16,0,15.0,1.0,2.0,13.0,,False,2.0,1987-03-17,2010,3.0,28,5
