frame,year,pos,carry,rostered,pool,R_cont,exhausted,variant
10,2015,QB,1.75,18,74,233.94,False,hoard
10,2015,QB,1.0,10,74,285.2,False,hoard_carry_1
10,2015,QB,1.5,15,74,271.24,False,hoard_carry_1.5
10,2015,QB,2.0,20,74,226.46,False,hoard_carry_2
10,2015,QB,3.0,30,74,110.2,False,hoard_carry_3
10,2015,QB,1.75,18,56,298.25333333333333,False,fullpool
10,2015,QB,1.0,10,56,338.1466666666667,False,fullpool_carry_1
10,2015,QB,2.0,20,56,298.25333333333333,False,fullpool_carry_2
10,2015,QB,3.0,30,56,298.25333333333333,False,fullpool_carry_3
10,2015,QB,1.75,18,23,202.75333333333333,False,boardtail
10,2015,QB,1.75,18,23,110.2,False,single
10,2015,QB,1.0,10,23,282.6133333333333,False,carry_1
10,2015,QB,2.0,20,23,236.25333333333333,False,carry_2
10,2015,RB,5.03,51,151,96.6,False,hoard
10,2015,RB,5.03,51,100,175.1,False,fullpool
10,2015,RB,5.03,51,61,30.133333333333336,False,boardtail
10,2015,RB,5.03,51,61,26.4,False,single
10,2015,WR,5.85,59,213,112.80000000000001,False,hoard
10,2015,WR,5.85,59,157,231.5666666666667,False,fullpool
10,2015,WR,5.85,59,68,214.86666666666665,False,boardtail
10,2015,WR,5.85,59,68,184.7,False,single
10,2015,TE,1.37,14,118,128.5,False,hoard
10,2015,TE,1.0,10,118,160.1,False,hoard_carry_1
10,2015,TE,1.5,15,118,127.7,False,hoard_carry_1.5
10,2015,TE,2.0,20,118,115.7,False,hoard_carry_2
10,2015,TE,3.0,30,118,78.9,False,hoard_carry_3
10,2015,TE,1.37,14,104,224.0,False,fullpool
10,2015,TE,1.0,10,104,241.96666666666667,False,fullpool_carry_1
10,2015,TE,2.0,20,104,186.16666666666666,False,fullpool_carry_2
10,2015,TE,3.0,30,104,186.16666666666666,False,fullpool_carry_3
10,2015,TE,1.37,14,20,109.73333333333333,False,boardtail
10,2015,TE,1.37,14,20,91.6,False,single
10,2015,TE,1.0,10,20,183.86666666666667,False,carry_1
10,2015,TE,2.0,20,20,,True,carry_2
10,2016,QB,1.75,18,71,243.12,False,hoard
10,2016,QB,1.0,10,71,268.48,False,hoard_carry_1
10,2016,QB,1.5,15,71,256.1,False,hoard_carry_1.5
10,2016,QB,2.0,20,71,224.78,False,hoard_carry_2
10,2016,QB,3.0,30,71,79.60000000000001,False,hoard_carry_3
10,2016,QB,1.75,18,53,292.27333333333337,False,fullpool
10,2016,QB,1.0,10,53,311.54,False,fullpool_carry_1
10,2016,QB,2.0,20,53,229.71333333333334,False,fullpool_carry_2
10,2016,QB,3.0,30,53,229.71333333333334,False,fullpool_carry_3
10,2016,QB,1.75,18,24,255.91333333333333,False,boardtail
10,2016,QB,1.75,18,24,286.88,False,single
10,2016,QB,1.0,10,24,268.93333333333334,False,carry_1
10,2016,QB,2.0,20,24,130.01333333333335,False,carry_2
10,2016,RB,5.03,51,151,93.4,False,hoard
10,2016,RB,5.03,51,100,183.16666666666666,False,fullpool
10,2016,RB,5.03,51,57,81.83333333333334,False,boardtail
10,2016,RB,5.03,51,57,148.4,False,single
10,2016,WR,5.85,59,211,133.0,False,hoard
10,2016,WR,5.85,59,153,227.53333333333333,False,fullpool
10,2016,WR,5.85,59,65,178.13333333333333,False,boardtail
10,2016,WR,5.85,59,65,168.6,False,single
10,2016,TE,1.37,14,124,137.3,False,hoard
10,2016,TE,1.0,10,124,152.3,False,hoard_carry_1
10,2016,TE,1.5,15,124,136.2,False,hoard_carry_1.5
10,2016,TE,2.0,20,124,114.3,False,hoard_carry_2
10,2016,TE,3.0,30,124,86.9,False,hoard_carry_3
10,2016,TE,1.37,14,110,189.76666666666665,False,fullpool
10,2016,TE,1.0,10,110,189.76666666666665,False,fullpool_carry_1
10,2016,TE,2.0,20,110,182.96666666666667,False,fullpool_carry_2
10,2016,TE,3.0,30,110,182.96666666666667,False,fullpool_carry_3
10,2016,TE,1.37,14,17,153.73333333333335,False,boardtail
10,2016,TE,1.37,14,17,189.3,False,single
10,2016,TE,1.0,10,17,139.66666666666666,False,carry_1
10,2016,TE,2.0,20,17,,True,carry_2
10,2017,QB,1.75,18,73,206.44,False,hoard
10,2017,QB,1.0,10,73,260.66,False,hoard_carry_1
10,2017,QB,1.5,15,73,222.66,False,hoard_carry_1.5
10,2017,QB,2.0,20,73,205.44,False,hoard_carry_2
10,2017,QB,3.0,30,73,124.44,False,hoard_carry_3
10,2017,QB,1.75,18,56,266.7066666666667,False,fullpool
10,2017,QB,1.0,10,56,283.52000000000004,False,fullpool_carry_1
10,2017,QB,2.0,20,56,266.7066666666667,False,fullpool_carry_2
10,2017,QB,3.0,30,56,266.7066666666667,False,fullpool_carry_3
10,2017,QB,1.75,18,21,160.93999999999997,False,boardtail
10,2017,QB,1.75,18,21,102.32,False,single
10,2017,QB,1.0,10,21,178.1,False,carry_1
10,2017,QB,2.0,20,21,222.66,True,carry_2
10,2017,RB,5.03,51,144,91.6,False,hoard
10,2017,RB,5.03,51,93,233.83333333333334,False,fullpool
10,2017,RB,5.03,51,62,156.79999999999998,False,boardtail
10,2017,RB,5.03,51,62,320.4,False,single
10,2017,WR,5.85,59,214,114.5,False,hoard
10,2017,WR,5.85,59,155,193.4,False,fullpool
