frame,baseline,pos,tier,n_seasons,mean_premium,se,t,p,mde,seasons_positive
10,R_exp,TE,TE1-3,10,12.29100351188777,7.668393691352851,1.6028133148337878,0.14343949907544595,21.48683912317069,6
10,R_exp,TE,TE1-5,10,12.665460238664943,4.998154809068345,2.5340272005351876,0.03202307165678797,14.004829775009503,7
10,R_exp,TE,TE1-12,10,12.950906108831328,5.88140497753652,2.2020089006446777,0.055159564684039264,16.47969674705733,6
10,R_exp,QB,QB1-3,10,9.204031267685618,19.2398067023756,0.4783848096846611,0.6437831938987104,53.90993838005643,8
10,R_exp,QB,QB1-5,10,19.027856813204078,13.398192082173866,1.4201809241502377,0.18925564084523416,37.54173421425117,6
10,R_exp,QB,QB1-12,10,16.558206239617483,11.991620363814876,1.3808147470697485,0.20065648343287834,33.600520259409286,6
10,R_real,TE,TE1-3,10,18.131494444444446,8.349841030850168,2.1714778014879554,0.05797378088384475,23.39625456844217,8
10,R_real,TE,TE1-5,10,18.504265959595966,4.307131268501029,4.296192710661414,0.0020017990560763366,12.068581814339883,9
10,R_real,TE,TE1-12,10,18.74476406325157,4.442838961787394,4.2190959934569365,0.002242443474029132,12.448834770928277,9
10,R_real,QB,QB1-3,10,-4.462579797979798,20.339810538516844,-0.21940124710253098,0.8312326646797039,56.9921491289242,7
10,R_real,QB,QB1-5,10,5.293128585858589,12.799073679873029,0.41355559927607966,0.6888800076426174,35.86300445100423,6
10,R_real,QB,QB1-12,10,2.762641877104381,8.602001625342625,0.32116267787781805,0.7554197959544262,24.102808554210036,5
10,R_week,TE,TE1-3,10,-10.50829641284641,7.984068756066369,-1.3161580559864428,0.22065416299869178,22.371360654497966,2
10,R_week,TE,TE1-5,10,-10.168611080031072,4.9613964380422315,-2.0495461725375868,0.07066561917477765,13.901832819394333,3
10,R_week,TE,TE1-12,10,-9.960607310282306,3.4445282872051046,-2.891718830494598,0.01783427003618221,9.651568260748704,2
10,R_week,QB,QB1-3,10,-33.088824747474746,19.73331099342612,-1.6768004496811424,0.12789638261456027,55.292737403579984,3
10,R_week,QB,QB1-5,10,-23.348237575757572,12.991526933763542,-1.7971896371224914,0.10586042093405434,36.40225846840544,4
10,R_week,QB,QB1-12,10,-25.84105277176526,9.530952814554844,-2.7112769598757267,0.023947376101946194,26.705729786382673,3
12,R_exp,TE,TE1-3,10,5.542192922203438,7.4664273003615405,0.7422817767120123,0.4768413932840634,20.920929295613035,4
12,R_exp,TE,TE1-5,10,5.814902024681047,4.327117377552801,1.3438281232781493,0.211898621017105,12.124582891902948,6
12,R_exp,TE,TE1-12,10,5.859435874252244,4.655412113093713,1.2586288242392374,0.23983192559417144,13.044464740888584,6
12,R_exp,QB,QB1-3,10,3.838109271305849,18.97141338194399,0.20231013862988,0.8441735750791435,53.15790029620706,6
12,R_exp,QB,QB1-5,10,13.864898491264904,12.840676684904862,1.0797638497949325,0.30833230062446715,35.97957607110342,6
12,R_exp,QB,QB1-12,10,11.379115316154952,10.779418158094828,1.0556335369186676,0.31864789654828174,30.20392967898171,6
12,R_real,TE,TE1-3,10,12.023653159803157,9.41597264950918,1.2769422350042514,0.23358211201429313,26.383555363924724,5
12,R_real,TE,TE1-5,10,12.347248562548561,4.7565431402078,2.595844965259612,0.028934742250600776,13.327833878862256,8
12,R_real,TE,TE1-12,10,12.544145204332704,4.813539763573448,2.606012585428453,0.028456232214601362,13.4875384175328,9
12,R_real,QB,QB1-3,10,-0.7207811447811487,21.79891812556523,-0.03306499619060611,0.9743444486188388,61.080568587833774,7
12,R_real,QB,QB1-5,10,9.05963959595959,14.23821470085025,0.6362904188696202,0.540429484668181,39.8954775917824,7
12,R_real,QB,QB1-12,10,6.615688077200569,11.368074004576231,0.5819532908157896,0.5748837968833591,31.8533433608226,5
12,R_week,TE,TE1-3,10,-18.360560722610735,8.641083204591968,-2.124798510544804,0.06254801434620338,24.212315139266696,2
12,R_week,TE,TE1-5,10,-18.05013690975692,5.126644227966295,-3.520848357545826,0.006506766509657869,14.36485712676156,1
12,R_week,TE,TE1-12,10,-17.871444184981698,3.1565499568486404,-5.661701677239969,0.0003089661149386913,8.84465297908989,0
12,R_week,QB,QB1-3,10,-38.488583164983176,20.191286664472035,-1.906197648746501,0.08900146859251845,56.575985233850645,3
12,R_week,QB,QB1-5,10,-28.757813838383846,13.200598847868944,-2.178523426838806,0.057312199945427134,36.988077971728785,3
12,R_week,QB,QB1-12,10,-31.246655567580568,9.866061505376894,-3.1670850167061584,0.011419368492150195,27.64470433806606,1
