frame,baseline,pos,band,n_seasons,mean,se,t,p,mde,seasons_positive
10,R_cont,TE,1-3,10,-26.990283385133388,10.172018700120741,-2.653385152036047,0.02632970265245249,28.501996397738317,2
10,R_cont,TE,1-5,10,-27.098130435120435,5.458125765706208,-4.96473177759661,0.0007754790982787974,15.293668395508794,0
10,R_cont,TE,1-12,10,-27.30901352305103,4.636945153555563,-5.889440702595059,0.0002320911666064962,12.992720320262688,0
10,R_cont,TE,d1-3,10,-26.990283385133388,10.172018700120741,-2.653385152036047,0.02632970265245249,28.501996397738317,2
10,R_cont,TE,d4-6,10,-31.658017340067346,9.07912263670401,-3.4869027115113562,0.006863536925423297,25.439701628044638,2
10,R_cont,TE,d7-12,10,-25.29387668350169,9.650355082174894,-2.6210306738061733,0.027763976977127403,27.040294940254054,2
10,R_cont,TE,d13+,10,-8.045019142233432,4.462029804896588,-1.802995384164603,0.10489212889420418,12.502607513320239,4
10,R_cont,QB,1-3,10,-8.818198148148145,21.11794740351417,-0.41756890381688977,0.686047760419862,59.172488624646704,6
10,R_cont,QB,1-5,10,1.3251212121212155,14.468160643440523,0.0915887820696814,0.9290309421101541,40.53978612292035,5
10,R_cont,QB,1-12,10,-1.4073976851851808,10.789782775500544,-0.13043799995499825,0.89908887090277,30.232971336952527,5
10,R_cont,QB,d1-3,10,-8.818198148148145,21.11794740351417,-0.41756890381688977,0.686047760419862,59.172488624646704,6
10,R_cont,QB,d4-6,10,17.181277152477158,15.21168047039395,1.1294792305108285,0.2878994736941498,42.62312867804385,7
10,R_cont,QB,d7-12,10,-6.996334872534867,13.455489709178877,-0.5199613706933465,0.6156366987583823,37.702282165119215,3
10,R_cont,QB,d13+,10,-10.992425717063295,7.168158399332611,-1.5335076465507154,0.15951793570284512,20.085179834929974,3
10,R_cont_blind,TE,1-3,10,-11.925340583490584,12.446293334031337,-0.9581439440193543,0.3630198403699789,34.8745139219558,4
10,R_cont_blind,TE,1-5,10,-13.496373070633075,9.896257562857931,-1.3637855507406043,0.20576774487938154,27.729313691127924,5
10,R_cont_blind,TE,1-12,10,-13.885901006863511,10.978628080574033,-1.2648120425386946,0.2377064740776944,30.76211588176844,3
10,R_cont_blind,TE,d1-3,10,-11.925340583490584,12.446293334031337,-0.9581439440193543,0.3630198403699789,34.8745139219558,4
10,R_cont_blind,TE,d4-6,10,-20.321387021003694,12.565733943442332,-1.6172065326600997,0.14028841419513705,35.209186509525416,3
10,R_cont_blind,TE,d7-12,10,-11.648438211479881,15.256064564255253,-0.7635283766936861,0.4646920767436409,42.74749290904322,2
10,R_cont_blind,TE,d13+,10,,,,,,6
10,R_cont_blind,QB,1-3,10,14.113741021324353,21.302820318545848,0.662529224312951,0.524233875451046,59.69050253256547,7
10,R_cont_blind,QB,1-5,10,21.93224195286195,16.182596182683707,1.355298105771847,0.20835638887611507,45.34363450387975,7
10,R_cont_blind,QB,1-12,10,19.77703119087703,11.321546745205936,1.7468488746249742,0.11461045633083278,31.72297398006703,7
10,R_cont_blind,QB,d1-3,10,14.113741021324353,21.302820318545848,0.662529224312951,0.524233875451046,59.69050253256547,7
10,R_cont_blind,QB,d4-6,10,35.6065012987013,17.983407499501546,1.9799641030037398,0.07906417400576604,50.38950781360333,8
10,R_cont_blind,QB,d7-12,10,14.693941221741227,12.738127570573255,1.1535401212095064,0.27840212332741654,35.69223345274626,5
10,R_cont_blind,QB,d13+,10,,,,,,4
10,R_wire_best,TE,1-3,10,18.840141677458348,7.780135052467796,2.4215700049425757,0.03851134442548121,21.799938417014765,7
