basis,pos,rank,mean_total,n_seasons,se,p
realized,QB,1.0,398.884,10,,
realized,QB,2.0,357.97800000000007,10,,
realized,QB,3.0,348.21000000000004,10,,
realized,QB,4.0,333.514,10,,
realized,QB,5.0,318.886,10,,
realized,QB,6.0,306.81,10,,
realized,QB,7.0,300.11199999999997,10,,
realized,QB,8.0,294.00600000000003,10,,
realized,QB,9.0,287.846,10,,
realized,QB,10.0,273.41400000000004,10,,
realized,QB,11.0,266.37800000000004,10,,
realized,QB,12.0,255.86400000000003,10,,
realized,QB,13.0,248.61599999999999,10,,
realized,QB,14.0,242.74199999999996,10,,
realized,QB,15.0,236.41,10,,
realized,QB,16.0,227.772,10,,
realized,QB,17.0,205.208,10,,
realized,QB,18.0,193.56,10,,
realized,QB,19.0,172.38199999999998,10,,
realized,QB,20.0,151.586,10,,
realized,QB,21.0,143.11111111111111,9,,
realized,QB,22.0,141.6525,8,,
realized,QB,23.0,96.00999999999999,8,,
realized,QB,24.0,61.15428571428572,7,,
realized,RB,1.0,384.23,10,,
realized,RB,2.0,331.35600000000005,10,,
realized,RB,3.0,315.09000000000003,10,,
realized,RB,4.0,294.98600000000005,10,,
realized,RB,5.0,280.61,10,,
realized,RB,6.0,271.63,10,,
realized,RB,7.0,251.92199999999997,10,,
realized,RB,8.0,244.16,10,,
realized,RB,9.0,237.02200000000002,10,,
realized,RB,10.0,230.04000000000002,10,,
realized,RB,11.0,226.26400000000004,10,,
realized,RB,12.0,218.45999999999998,10,,
realized,RB,13.0,213.16,10,,
realized,RB,14.0,209.46600000000004,10,,
realized,RB,15.0,206.676,10,,
realized,RB,16.0,203.05,10,,
realized,RB,17.0,198.61999999999998,10,,
realized,RB,18.0,193.372,10,,
realized,RB,19.0,189.57,10,,
realized,RB,20.0,185.24999999999997,10,,
realized,RB,21.0,181.43,10,,
realized,RB,22.0,177.20999999999998,10,,
realized,RB,23.0,173.43,10,,
realized,RB,24.0,169.32,10,,
realized,WR,1.0,368.91600000000005,10,,
realized,WR,2.0,330.148,10,,
realized,WR,3.0,317.534,10,,
realized,WR,4.0,299.39399999999995,10,,
realized,WR,5.0,290.034,10,,
realized,WR,6.0,282.58000000000004,10,,
realized,WR,7.0,272.274,10,,
realized,WR,8.0,266.216,10,,
realized,WR,9.0,259.25,10,,
realized,WR,10.0,252.47199999999998,10,,
realized,WR,11.0,247.53000000000003,10,,
realized,WR,12.0,244.35999999999999,10,,
realized,WR,13.0,240.41,10,,
realized,WR,14.0,237.98000000000002,10,,
realized,WR,15.0,233.11400000000003,10,,
realized,WR,16.0,227.41,10,,
realized,WR,17.0,223.36800000000002,10,,
realized,WR,18.0,220.35199999999995,10,,
realized,WR,19.0,217.81199999999998,10,,
realized,WR,20.0,214.82,10,,
realized,WR,21.0,210.93,10,,
realized,WR,22.0,206.07200000000003,10,,
realized,WR,23.0,202.69599999999997,10,,
realized,WR,24.0,200.52400000000003,10,,
realized,TE,1.0,269.31600000000003,10,,
realized,TE,2.0,241.48000000000002,10,,
realized,TE,3.0,214.54000000000002,10,,
realized,TE,4.0,198.35,10,,
realized,TE,5.0,179.23999999999998,10,,
realized,TE,6.0,171.38,10,,
realized,TE,7.0,161.95999999999998,10,,
realized,TE,8.0,154.06,10,,
realized,TE,9.0,142.22,10,,
realized,TE,10.0,134.71,10,,
realized,TE,11.0,127.56000000000002,10,,
realized,TE,12.0,118.29,10,,
realized,TE,13.0,109.85999999999999,10,,
realized,TE,14.0,98.9,10,,
realized,TE,15.0,94.21400000000001,10,,
realized,TE,16.0,81.99999999999999,9,,
realized,TE,17.0,66.06666666666666,9,,
realized,TE,18.0,56.65714285714285,7,,
realized,TE,19.0,36.53333333333333,6,,
realized,TE,20.0,25.9,4,,
realized,TE,21.0,50.4,1,,
realized,TE,22.0,0.0,1,,
realized,TE,23.0,,0,,
realized,TE,24.0,,0,,
adp,QB,1.0,290.51599999999996,10,,
adp,QB,2.0,332.2099999999999,10,,
adp,QB,3.0,270.912,10,,
adp,QB,4.0,308.066,10,,
adp,QB,5.0,279.634,10,,
adp,QB,6.0,277.852,10,,
adp,QB,7.0,275.562,10,,
adp,QB,8.0,224.998,10,,
adp,QB,9.0,251.84200000000004,10,,
adp,QB,10.0,233.49399999999997,10,,
adp,QB,11.0,253.314,10,,
adp,QB,12.0,250.38400000000001,10,,
adp,QB,13.0,216.88400000000001,10,,
adp,QB,14.0,231.2,10,,
adp,QB,15.0,273.432,10,,
adp,QB,16.0,247.776,10,,
adp,QB,17.0,212.45600000000005,10,,
adp,QB,18.0,209.36400000000003,10,,
adp,QB,19.0,209.012,10,,
adp,QB,20.0,234.82399999999998,10,,
adp,QB,21.0,146.31111111111113,9,,
adp,QB,22.0,205.43250000000003,8,,
adp,QB,23.0,236.98999999999998,8,,
adp,QB,24.0,216.4542857142857,7,,
adp,RB,1.0,210.11000000000004,10,,
adp,RB,2.0,215.228,10,,
adp,RB,3.0,255.95,10,,
