pos,pos_adp_rank,name,team,adp,stdev,gsis_id,match_source,rookie_season,birth_date
TE,1,Trey McBride,ARI,35.3,6.0,00-0037744,weekly,2022,1999-11-22
TE,2,Brock Bowers,LV,40.7,8.5,00-0039338,weekly,2024,2002-12-13
TE,3,Colston Loveland,CHI,60.8,9.9,00-0040126,weekly,2025,2004-04-09
TE,4,Tyler Warren,IND,65.8,10.1,00-0040128,weekly,2025,2002-05-24
TE,5,Kyle Pitts Sr.,ATL,78.5,7.0,00-0036970,weekly,2021,2000-10-06
TE,6,Harold Fannin Jr.,CLE,81.5,9.6,00-0040663,weekly,2025,2004-07-20
TE,7,Sam LaPorta,DET,87.6,11.6,00-0039065,weekly,2023,2001-01-12
TE,8,Travis Kelce,KC,99.6,18.2,00-0030506,weekly,2013,1989-10-05
TE,9,Dallas Goedert,PHI,105.3,19.6,00-0034351,weekly,2018,1995-01-03
TE,10,Tucker Kraft,GB,110.6,21.8,00-0038996,weekly,2023,2000-11-03
TE,11,George Kittle,SF,121.0,19.3,00-0033288,weekly,2017,1993-10-09
TE,12,Mark Andrews,BAL,138.6,20.4,00-0034753,weekly,2018,1995-09-06
TE,13,Isaiah Likely,NYG,139.2,18.3,00-0037838,weekly,2022,2000-04-18
TE,14,Jake Ferguson,DAL,141.1,20.6,00-0038041,weekly,2022,1999-01-18
TE,15,Pat Freiermuth,PIT,152.0,34.5,00-0036894,weekly,2021,1998-10-25
TE,16,T.J. Hockenson,MIN,153.1,26.9,00-0035229,weekly,2019,1997-07-03
TE,17,Dalton Kincaid,BUF,153.4,21.0,00-0038933,weekly,2023,1999-10-18
TE,18,Dalton Schultz,HOU,157.6,26.7,00-0034383,weekly,2018,1996-07-11
TE,19,Hunter Henry,NE,158.1,20.1,00-0033090,weekly,2016,1994-12-07
TE,20,Oronde Gadsden,LAC,158.6,29.2,00-0040189,weekly,2025,2003-06-25
TE,21,Kenyon Sadiq,NYJ,159.6,20.0,SAD482340,meta,2026,2005-03-04
TE,22,Juwan Johnson,NO,160.3,19.0,00-0036040,weekly,2020,1996-09-13
TE,23,Brenton Strange,JAX,163.8,16.4,00-0038935,weekly,2023,2000-12-27
TE,24,Chig Okonkwo,WAS,164.8,20.2,00-0037809,weekly,2022,1999-09-08
QB,1,Josh Allen,BUF,26.7,6.4,00-0034857,weekly,2018,1996-05-21
QB,2,Drake Maye,NE,49.6,7.5,00-0039851,weekly,2024,2002-08-30
QB,3,Lamar Jackson,BAL,52.8,8.1,00-0034796,weekly,2018,1997-01-07
QB,4,Joe Burrow,CIN,57.8,8.3,00-0036442,weekly,2020,1996-12-10
QB,5,Dak Prescott,DAL,67.3,8.1,00-0033077,weekly,2016,1993-07-29
QB,6,Jayden Daniels,WAS,71.3,8.6,00-0039910,weekly,2024,2000-12-18
QB,7,Jalen Hurts,PHI,74.6,9.3,00-0036389,weekly,2020,1998-08-07
QB,8,Brock Purdy,SF,80.1,11.4,00-0037834,weekly,2022,1999-12-27
QB,9,Matthew Stafford,LAR,83.6,11.0,00-0026498,weekly,2009,1988-02-07
QB,10,Trevor Lawrence,JAX,90.4,12.5,00-0036971,weekly,2021,1999-10-06
QB,11,Patrick Mahomes,KC,96.2,13.1,00-0033873,weekly,2017,1995-09-17
QB,12,Jaxson Dart,NYG,104.3,12.8,00-0040691,weekly,2025,2003-05-13
QB,13,Jared Goff,DET,105.4,13.6,00-0033106,weekly,2016,1994-10-14
QB,14,Caleb Williams,CHI,106.4,15.2,00-0039918,weekly,2024,2001-11-18
QB,15,Justin Herbert,LAC,108.5,14.4,00-0036355,weekly,2020,1998-03-10
QB,16,Bo Nix,DEN,119.7,12.4,00-0039732,weekly,2024,2000-02-25
QB,17,Baker Mayfield,TB,128.1,11.2,00-0034855,weekly,2018,1995-04-14
QB,18,Tyler Shough,NO,136.7,10.2,00-0040743,weekly,2025,1999-09-28
QB,19,Sam Darnold,SEA,140.1,12.5,00-0034869,weekly,2018,1997-06-05
QB,20,Kyler Murray,MIN,145.0,16.4,00-0035228,weekly,2019,1997-08-07
QB,21,Jordan Love,GB,148.4,16.0,00-0036264,weekly,2020,1998-11-02
QB,22,Daniel Jones,IND,158.5,18.5,00-0035710,weekly,2019,1997-05-27
QB,23,C.J. Stroud,HOU,159.3,13.4,00-0039163,weekly,2023,2001-10-03
QB,24,Malik Willis,MIA,159.9,14.2,00-0038128,weekly,2022,1999-05-25
