pos,adp,m_old,m_deep,delta
WR,1.2,20.486666666666668,20.486666666666668,0.0
WR,1.2125012596926108,20.47697408377458,20.47697408377458,0.0
WR,1.2251327539634733,20.467281500882486,20.467281500882486,0.0
WR,1.2378958395594906,20.457588917990396,20.457588917990396,0.0
WR,1.2507918873617703,20.447896335098307,20.447896335098307,0.0
WR,1.2638222825328704,20.438203752206217,20.438203752206217,0.0
WR,1.27698842466558,20.428511169314124,20.428511169314124,0.0
WR,1.2902917279332489,20.418818586422034,20.418818586422034,0.0
WR,1.303733621241683,20.409126003529945,20.409126003529945,0.0
WR,1.3173155483826249,20.399433420637852,20.399433420637852,0.0
WR,1.331038968188829,20.389740837745762,20.389740837745762,0.0
WR,1.3449053546907568,20.380048254853673,20.380048254853673,0.0
WR,1.3589161972749,20.370355671961583,20.370355671961583,0.0
WR,1.3730730008437573,20.36066308906949,20.36066308906949,0.0
WR,1.3873772859774742,20.3509705061774,20.3509705061774,0.0
WR,1.4018305890971692,20.3425,20.3425,0.0
WR,1.41643446262996,20.3425,20.3425,0.0
WR,1.4311904751757107,20.3425,20.3425,0.0
WR,1.446100211675513,20.3425,20.3425,0.0
WR,1.4611652735819254,20.3425,20.3425,0.0
WR,1.4763872790309858,20.3425,20.3425,0.0
WR,1.4917678630160136,20.3425,20.3425,0.0
WR,1.5073086775632254,20.3425,20.3425,0.0
WR,1.5230113919091783,20.3425,20.3425,0.0
WR,1.5388776926800627,20.3425,20.3425,0.0
WR,1.554909284072862,20.3425,20.3425,0.0
WR,1.5711078880384006,20.3425,20.3425,0.0
WR,1.5874752444662983,20.3425,20.3425,0.0
WR,1.6040131113718517,20.3425,20.3425,0.0
WR,1.620723265084862,20.3425,20.3425,0.0
WR,1.6376075004404302,20.3425,20.3425,0.0
WR,1.654667630971741,20.3425,20.3425,0.0
WR,1.6719054891048533,20.3425,20.3425,0.0
WR,1.689322926355521,20.3425,20.3425,0.0
WR,1.7069218135280642,20.3425,20.3425,0.0
WR,1.724704040916311,20.3425,20.3425,0.0
WR,1.7426715185066362,20.3425,20.3425,0.0
WR,1.7608261761831092,20.3425,20.3425,0.0
WR,1.779169963934786,20.3425,20.3425,0.0
WR,1.797704852065154,20.3425,20.3425,0.0
WR,1.8164328314037648,20.3425,20.3425,0.0
WR,1.835355913520067,20.3425,20.3425,0.0
WR,1.85447613093947,20.3425,20.3425,0.0
WR,1.873795537361655,20.3425,20.3425,0.0
WR,1.893316207881166,20.3425,20.3425,0.0
WR,1.9130402392102923,20.3425,20.3425,0.0
WR,1.9329697499042775,20.3425,20.3425,0.0
WR,1.9531068805888727,20.3425,20.3425,0.0
WR,1.9734537941902615,20.3425,20.3425,0.0
WR,1.9940126761673787,20.3425,20.3425,0.0
WR,2.0147857347466505,20.3425,20.3425,0.0
WR,2.03577520115918,20.3425,20.3425,0.0
WR,2.056983329880403,20.3425,20.3425,0.0
WR,2.0784123988722416,20.3425,20.3425,0.0
WR,2.100064709827778,20.3425,20.3425,0.0
WR,2.121942588418482,20.3425,20.3425,0.0
WR,2.144048384544007,20.3425,20.3425,0.0
WR,2.1663844725845967,20.3425,20.3425,0.0
WR,2.188953251656113,20.3425,20.3425,0.0
WR,2.2117571458677276,20.3425,20.3425,0.0
WR,2.2347986045822945,20.3425,20.3425,0.0
WR,2.2580801026794344,20.3425,20.3425,0.0
WR,2.2816041408213614,20.3425,20.3425,0.0
WR,2.3053732457214813,20.3425,20.3425,0.0
WR,2.3293899704157823,20.3425,20.3425,0.0
WR,2.353656894537058,20.3425,20.3425,0.0
WR,2.3781766245919846,20.3425,20.3425,0.0
WR,2.402951794241085,20.3425,20.3425,0.0
WR,2.4279850645816126,20.3425,20.3425,0.0
WR,2.4532791244333754,20.3425,20.3425,0.0
WR,2.478836690627544,20.3425,20.3425,0.0
WR,2.504660508298466,20.305176812874876,20.305176812874876,0.0
WR,2.5307533511785207,20.097489460985045,20.097489460985045,0.0
WR,2.557118021896044,19.889802109095214,19.889802109095214,0.0
WR,2.5837573522763586,19.682114757205387,19.682114757205387,0.0
WR,2.6106742036459414,19.556530987394957,19.556530987394957,0.0
WR,2.6378714671397563,19.556530987394957,19.556530987394957,0.0
WR,2.6653520640117914,19.556530987394957,19.556530987394957,0.0
WR,2.693118945948831,19.556530987394957,19.556530987394957,0.0
WR,2.721175095387495,19.556530987394957,19.556530987394957,0.0
WR,2.7495235258345816,19.556530987394957,19.556530987394957,0.0
WR,2.7781672821907493,19.556530987394957,19.556530987394957,0.0
WR,2.807109441077567,19.556530987394957,19.556530987394957,0.0
WR,2.836353111167975,19.556530987394957,19.556530987394957,0.0
WR,2.865901433520188,19.556530987394957,19.556530987394957,0.0
WR,2.8957575819150727,19.556530987394957,19.556530987394957,0.0
WR,2.925924763197045,19.556530987394957,19.556530987394957,0.0
WR,2.9564062176185177,19.556530987394957,19.556530987394957,0.0
WR,2.987205219187933,19.556530987394957,19.556530987394957,0.0
WR,3.018325076021425,19.556530987394957,19.556530987394957,0.0
WR,3.0497691306981447,19.556530987394957,19.556530987394957,0.0
WR,3.0815407606192817,19.556530987394957,19.556530987394957,0.0
WR,3.1136433783708375,19.556530987394957,19.556530987394957,0.0
WR,3.146080432090164,19.556530987394957,19.556530987394957,0.0
WR,3.178855405836331,19.556530987394957,19.556530987394957,0.0
WR,3.2119718199643477,19.556530987394957,19.556530987394957,0.0
WR,3.2454332315032826,19.556530987394957,19.556530987394957,0.0
WR,3.279243234538326,19.556530987394957,19.556530987394957,0.0
WR,3.3134054605968264,19.556530987394957,19.556530987394957,0.0
WR,3.347923579038356,19.556530987394957,19.556530987394957,0.0
WR,3.382801297448834,19.556530987394957,19.556530987394957,0.0
WR,3.418042362038757,19.556530987394957,19.556530987394957,0.0
WR,3.453650558045583,19.556530987394957,19.556530987394957,0.0
WR,3.4896297101402984,19.556530987394957,19.556530987394957,0.0
WR,3.525983682838227,19.556530987394957,19.556530987394957,0.0
WR,3.5627163809141176,19.556530987394957,19.556530987394957,0.0
WR,3.599831749821556,19.556530987394957,19.556530987394957,0.0
WR,3.6373337761167432,19.556530987394957,19.556530987394957,0.0
WR,3.6752264878866927,19.556530987394957,19.556530987394957,0.0
WR,3.713513955181887,19.556530987394957,19.556530987394957,0.0
WR,3.7522002904534397,19.556530987394957,19.556530987394957,0.0
WR,3.7912896489948134,19.556530987394957,19.556530987394957,0.0
WR,3.8307862293881394,19.556530987394957,19.556530987394957,0.0
WR,3.870694273955188,19.556530987394957,19.556530987394957,0.0
WR,3.9110180692130347,19.556530987394957,19.556530987394957,0.0
WR,3.9517619463344724,19.556530987394957,19.556530987394957,0.0
WR,3.9929302816132264,19.556530987394957,19.556530987394957,0.0
WR,4.034527496934006,19.556530987394957,19.556530987394957,0.0
WR,4.076558060247465,19.556530987394957,19.556530987394957,0.0
WR,4.119026486050098,19.556530987394957,19.556530987394957,0.0
WR,4.161937335869143,19.556530987394957,19.556530987394957,0.0
WR,4.205295218752537,19.556530987394957,19.556530987394957,0.0
WR,4.249104791763971,19.556530987394957,19.556530987394957,0.0
WR,4.293370760483103,19.556530987394957,19.556530987394957,0.0
WR,4.338097879510986,19.556530987394957,19.556530987394957,0.0
WR,4.383290952980762,19.556530987394957,19.556530987394957,0.0
WR,4.428954835073665,19.556530987394957,19.556530987394957,0.0
WR,4.475094430540416,19.556530987394957,19.556530987394957,0.0
WR,4.5217146952280345,19.556530987394957,19.556530987394957,0.0
WR,4.568820636612151,19.556530987394957,19.556530987394957,0.0
WR,4.616417314334858,19.556530987394957,19.556530987394957,0.0
WR,4.6645098407481616,19.556530987394957,19.556530987394957,0.0
WR,4.713103381463105,19.537823471466357,19.537823471466357,0.0
WR,4.762203155904597,19.468184010196715,19.468184010196715,0.0
WR,4.811814437872043,19.398544548927074,19.398544548927074,0.0
WR,4.861942556105786,19.328905087657432,19.328905087657432,0.0
