rank_model,player,team,adp,rb_adp_rank,tier,n_seasons,mu_hat,n_eff,V,m_adp,tau2,B,theta_star,post_SD,p_avail,SV,board_value,delta_rank_vs_adp,thin_data_flag,arm_ii_adopted,arm_iii_adopted,m_old,m_deep,d_m,theta_deep,d_theta,rank_old,rank_new,d_rank
1,Jahmyr Gibbs,DET,1.6,1,vet,3,20.7376,2.3333,16.989144013370606,19.40125646412411,12.991944015840865,0.5666620236336178,19.980344867690864,2.7133081813445106,0.8370718336427194,16.72498391521189,19.40125646412411,0,,False,False,19.40125646412411,19.40125646412411,0.0,19.94752536188078,-0.0328195058100853,1,1,0
2,Bijan Robinson,ATL,2.0,2,vet,3,20.4032,2.3333,16.989144013370606,19.40125646412411,12.991944015840865,0.5666620236336178,19.835436648393944,2.7133081813445106,0.835520819332439,16.572920280282798,19.40125646412411,0,,False,False,19.40125646412411,19.40125646412411,0.0,19.810829733469554,-0.02460691492439082,3,3,0
3,Christian McCaffrey,SF,5.3,3,vet,9,21.0408,2.9883,13.265324675031833,18.801468895250412,12.991944015840865,0.5052058091496393,19.90947691727103,2.5619534712694723,0.6824111701398422,13.5864494399871,18.801468895250412,0,,False,False,18.801468895250412,18.801468895250412,0.0,19.853145336846183,-0.056331580424846095,2,2,0
4,Jonathan Taylor,IND,7.5,4,vet,6,19.1292,2.9077,13.633032887298423,16.783941579810566,12.991944015840865,0.5120392380768971,17.928335665432776,2.579221804151178,0.78259331448999,14.030595631700136,16.783941579810566,0,,False,False,16.783941579810566,16.783941579810566,0.0,17.86940776134793,-0.058927904084846716,4,4,0
5,De'Von Achane,MIA,9.4,5,vet,3,19.0455,2.3333,16.989144013370606,16.783941579810566,12.991944015840865,0.5666620236336178,17.763960729049806,2.7133081813445106,0.8289406977386046,14.725270001339718,16.783941579810566,0,,False,False,16.783941579810566,16.783941579810566,0.0,17.708418701331162,-0.05554202771864425,5,5,0
6,Chase Brown,CIN,12.2,6,vet,3,15.1017,2.3333,16.989144013370606,16.783941579810566,12.991944015840865,0.5666620236336178,16.05496241785607,2.7133081813445106,0.8082309616029848,12.976117713483594,16.783941579810566,0,,False,False,16.783941579810566,16.783941579810566,0.0,16.096276897120095,0.04131447926402387,8,7,1
7,Ashton Jeanty,LV,14.1,7,soph,1,14.4176,1.0,43.81668066802514,15.781450991037447,14.658756969839503,0.7493177039457075,15.439557693128258,3.314221796340473,0.8233419735072148,12.71203590113872,15.781450991037447,0,single season: n_eff = 1,False,False,15.781450991037447,15.781450991037447,0.0,15.425289907742663,-0.014267785385595033,10,10,0
8,James Cook,BUF,15.1,8,vet,4,16.2628,2.6471,14.975168949566555,15.48991409805029,12.991944015840865,0.535456375782848,15.848953316048348,2.637540380182986,0.8017711458274689,12.707233460374146,15.48991409805029,0,,False,False,15.48991409805029,15.48991409805029,0.0,15.829665342363757,-0.01928797368459101,9,9,0
9,Derrick Henry,BAL,16.1,9,vet,10,17.4879,2.9941,13.239627843558209,15.48991409805029,12.991944015840865,0.5047211015230982,16.47947435474032,2.560724173862079,0.7198400866102673,11.86258624680795,15.48991409805029,0,,False,False,15.48991409805029,15.48991409805029,0.0,16.429210523725004,-0.05026383101531451,6,6,0
10,Saquon Barkley,PHI,18.7,10,vet,8,16.6968,2.9767,13.31701875445884,15.48991409805029,12.991944015840865,0.5061780227038246,16.085900880521976,2.564417386662537,0.7602356782402832,12.229075766009592,15.48991409805029,0,,False,False,15.48991409805029,15.48991409805029,0.0,16.05554532949395,-0.030355551028026895,7,8,-1
