rank_theta,player,team,adp,adp_rank,tier,mu_hat,n_eff,V,m_adp,tau2,B,theta_star,post_SD,delta_rank_vs_adp,edge_terms_applied,m_old,m_deep,d_m,theta_deep,d_theta,rank_old,rank_new,d_rank
1,Puka Nacua,LAR,2.9,1,vet,21.26749427043545,2.3333333333333335,18.48881982383031,19.556530987394957,11.253901674718662,0.6216250192415077,20.203916686693887,2.6449398566109257,0,none (no term survived FDR + temporal holdout),19.556530987394957,19.556530987394957,0.0,20.18678433097485,-0.017132355719038372,1,1,0
2,Ja'Marr Chase,CIN,3.9,2,vet,20.23370018975332,2.8181818181818183,15.307947596074555,19.556530987394957,11.253901674718662,0.5763133221641618,19.84343855707492,2.5467181747232916,0,none (no term survived FDR + temporal holdout),19.556530987394957,19.556530987394957,0.0,19.836385705709844,-0.007052851365074275,2,2,0
3,Amon-Ra St. Brown,DET,7.0,4,vet,19.551040480708412,2.8181818181818183,15.307947596074555,18.379251629089865,11.253901674718662,0.5763133221641618,18.8757229547572,2.5467181747232916,1,none (no term survived FDR + temporal holdout),18.379251629089865,18.379251629089865,0.0,18.863518541778976,-0.01220441297822461,3,3,0
4,Jaxon Smith-Njigba,SEA,5.9,3,vet,17.608403361344536,2.3333333333333335,18.48881982383031,18.379251629089865,11.253901674718662,0.6216250192415077,18.087581930614007,2.6449398566109257,-1,none (no term survived FDR + temporal holdout),18.379251629089865,18.379251629089865,0.0,18.09530065074046,0.007718720126451473,4,4,0
5,Rashee Rice,KC,11.4,7,vet,18.79970238095238,2.3333333333333335,18.48881982383031,16.94065359477124,11.253901674718662,0.6216250192415077,17.644071143471628,2.6449398566109257,2,none (no term survived FDR + temporal holdout),16.94065359477124,16.94065359477124,0.0,17.625455966033506,-0.018615177438121577,5,5,0
6,CeeDee Lamb,DAL,11.3,6,vet,17.72019257703081,2.9076923076923076,14.836707266036669,17.439970562535834,11.253901674718662,0.5686608273393231,17.560841294429405,2.5297535526491326,0,none (no term survived FDR + temporal holdout),17.439970562535834,17.439970562535834,0.0,17.55790850884714,-0.0029327855822636195,6,6,0
7,Drake London,ATL,10.6,5,vet,15.66433366013072,2.6470588235294117,16.297552289154122,17.943725961538462,11.253901674718662,0.5915314781762337,17.012665957525968,2.5801234646613955,-2,none (no term survived FDR + temporal holdout),17.943725961538462,17.943725961538462,0.0,17.036142696895677,0.023476739369709065,7,7,0
8,A.J. Brown,NE,17.5,9,vet,16.283783478564047,2.953488372093023,14.606652931687462,16.42261932202348,11.253901674718662,0.5648236533979488,16.362201246889388,2.5212040494366756,1,none (no term survived FDR + temporal holdout),16.42261932202348,16.42261932202348,0.0,16.36365756657404,0.0014563196846530957,8,8,0
9,Justin Jefferson,MIN,13.3,8,vet,15.596991129785248,2.9076923076923076,14.836707266036669,16.42261932202348,11.253901674718662,0.5686608273393231,16.06649354065811,2.5297535526491326,-1,none (no term survived FDR + temporal holdout),16.42261932202348,16.42261932202348,0.0,16.075134512220863,0.008640971562751787,9,9,0
10,Nico Collins,HOU,23.2,12,vet,15.530952380952382,2.8181818181818183,15.307947596074555,15.39774859415863,11.253901674718662,0.5763133221641618,15.454185264060428,2.5467181747232916,2,none (no term survived FDR + temporal holdout),15.39774859415863,15.39774859415863,0.0,15.452797920238162,-0.0013873438222660184,10,10,0
11,Davante Adams,LAR,41.2,20,vet,16.807252616496957,2.9985355137905785,14.387216489692834,14.318447404719464,11.253901674718662,0.5610994184201188,15.410785459607643,2.5128783664638132,9,none (no term survived FDR + temporal holdout),14.318447404719464,14.318447404719464,0.0,15.384625150521373,-0.026160309086270317,11,11,0
12,Chris Olave,NO,20.1,10,vet,15.070611111111113,2.6470588235294117,16.297552289154122,15.39774859415863,11.253901674718662,0.5915314781762337,15.264123230025064,2.5801234646613955,-2,none (no term survived FDR + temporal holdout),15.39774859415863,15.39774859415863,0.0,15.267492602389279,0.003369372364215195,12,12,0
13,George Pickens,DAL,21.6,11,vet,14.679516806722688,2.6470588235294117,16.297552289154122,15.39774859415863,11.253901674718662,0.5915314781762337,15.10437351761783,2.5801234646613955,-2,none (no term survived FDR + temporal holdout),15.39774859415863,15.39774859415863,0.0,15.111770989509903,0.007397471892073071,13,13,0
14,Malik Nabers,NYG,33.9,18,vet,15.59666666666667,1.8,23.96698866052077,14.50235995970254,11.253901674718662,0.680476513580384,14.852016653924087,2.767312012728055,4,none (no term survived FDR + temporal holdout),14.50235995970254,14.50235995970254,0.0,14.841912644377548,-0.010104009546539672,14,14,0
15,Tee Higgins,CIN,39.2,19,vet,15.041179138321995,2.9076923076923076,14.836707266036669,14.318447404719464,11.253901674718662,0.5686608273393231,14.630189912747197,2.5297535526491326,4,none (no term survived FDR + temporal holdout),14.318447404719464,14.318447404719464,0.0,14.622625848903121,-0.007564063844075264,15,15,0
16,Garrett Wilson,NYJ,28.5,14,vet,14.05036414565826,2.6470588235294117,16.297552289154122,14.881502854988153,11.253901674718662,0.5915314781762337,14.54200885495766,2.5801234646613955,-2,none (no term survived FDR + temporal holdout),14.881502854988153,14.881502854988153,0.0,14.550569218545341,0.008560363587681863,16,16,0
17,Zay Flowers,BAL,26.6,13,vet,13.793508403361344,2.3333333333333335,18.48881982383031,14.881502854988153,11.253901674718662,0.6216250192415077,14.469832975288512,2.6449398566109257,-4,none (no term survived FDR + temporal holdout),14.881502854988153,14.881502854988153,0.0,14.480727369195371,0.010894393906859534,17,17,0
18,DeVonta Smith,PHI,29.1,15,vet,13.246547949204496,2.8181818181818183,15.307947596074555,14.881502854988153,11.253901674718662,0.5763133221641618,14.18879424254527,2.5467181747232916,-3,none (no term survived FDR + temporal holdout),14.881502854988153,14.881502854988153,0.0,14.205822621713915,0.017028379168644747,18,18,0
19,Tetairoa McMillan,CAR,33.9,17,soph,12.552941176470588,1.0,39.731751511831725,14.50235995970254,7.852390682341091,0.834978832857836,14.180664596844746,2.5605819664843597,-2,none (no term survived FDR + temporal holdout),14.50235995970254,14.50235995970254,0.0,14.129727179401629,-0.05093741744311764,19,19,0
20,Emeka Egbuka,TB,33.7,16,soph,11.511764705882351,1.0,39.731751511831725,14.564388227965946,7.852390682341091,0.834978832857836,14.060640731506089,2.5605819664843597,-4,none (no term survived FDR + temporal holdout),14.564388227965946,14.564388227965948,1.7763568394002505e-15,13.98087708093571,-0.0797636505703796,20,20,0
21,Ladd McConkey,LAC,44.2,22,vet,12.55625,1.8,23.96698866052077,13.894337842606388,11.253901674718662,0.680476513580384,13.466787350001091,2.767312012728055,1,none (no term survived FDR + temporal holdout),13.894337842606388,13.894337842606387,-1.7763568394002505e-15,13.479142252196027,0.012354902194935846,21,21,0
22,Terry McLaurin,WAS,42.6,21,vet,12.817073380533316,2.953488372093023,14.606652931687462,13.894337842606388,11.253901674718662,0.5648236533979488,13.425537829677204,2.5212040494366756,-1,none (no term survived FDR + temporal holdout),13.894337842606388,13.894337842606387,-1.7763568394002505e-15,13.436837803823675,0.011299974146471214,22,22,0
