overall,n_avail,key,p_M0,rank_M0,p_M1,rank_M1,p_M2,rank_M2,p_M2R,rank_M2R,p_OLS,rank_OLS,p_UNIF
1,204,jahmyr gibbs,0.24825571247788214,1,0.4532126962555064,1,0.4483755143212064,1,0.44692246451981466,1,0.09243063381689756,1,0.004901960784313725
2,203,bijan robinson,0.19663898374255998,2,0.435905206389163,1,0.3974249251849027,1,0.39623570432560845,1,0.09152342189374758,1,0.0049261083743842365
3,202,jamarr chase,0.27350624181960137,1,0.23353833283137643,1,0.30917699595765,1,0.30771172227503,1,0.07962181887721298,3,0.0049504950495049506
4,201,puka nacua,0.17780522437885882,2,0.1210803190453986,3,0.16302370599267768,3,0.1625455090220222,3,0.08595200618993662,2,0.004975124378109453
6,199,jaxon smith njigba,0.08803553291334805,2,0.05767239921783078,4,0.06829357920323004,3,0.06836939353650802,3,0.08050341586631996,2,0.005025125628140704
7,198,amon ra st brown,0.424171483065659,1,0.36318854331139006,1,0.5256285152904697,1,0.5220967203275801,1,0.07920009056043631,3,0.005050505050505051
8,197,chase brown,0.047210272402834416,5,0.08711886474756098,3,0.07979257217242695,4,0.07969864088363869,4,0.06586356349728872,5,0.005076142131979695
9,196,james cook,0.05328479885602288,4,0.10396337649727735,2,0.09519813404450808,3,0.09504170179645514,3,0.05591620310610603,8,0.00510204081632653
10,195,omarion hampton,0.038035665325160825,7,0.07218681708178491,4,0.06229570604911442,5,0.06231167248697702,5,0.04197023255719443,11,0.005128205128205128
11,194,jonathan taylor,0.09079901496380038,3,0.11576723770811442,3,0.13879613485655118,2,0.13923477489511418,2,0.07902258718027197,1,0.005154639175257732
12,193,ceedee lamb,0.10894809700592964,2,0.13236855115187857,2,0.14307171926921142,2,0.14195376024701079,2,0.07329945330411669,3,0.0051813471502590676
13,192,kenneth walker,0.02886048092742454,13,0.029766651424815306,12,0.031417127157050605,11,0.03171399898794022,10,0.030140291175930128,15,0.005208333333333333
14,191,ashton jeanty,0.015938343761413717,16,0.03361485402009934,6,0.03114349729026342,6,0.03114617659827899,6,0.06906708440767007,4,0.005235602094240838
15,190,devon achane,0.06553508361296038,2,0.1872842296595452,1,0.2049019106867683,1,0.20342325839170414,1,0.07130507405163775,3,0.005263157894736842
17,188,brock bowers,0.0010210224902054482,63,0.005380005575769039,24,0.00583069076318465,21,0.005862625229340206,22,0.031883971545937986,15,0.005319148936170213
18,187,justin jefferson,0.05671551292743318,4,0.02931158337226939,9,0.027144546964757904,9,0.027521880468431636,9,0.06931430500455057,1,0.0053475935828877
19,186,aj brown,0.07118886953615135,2,0.08139445462282749,3,0.08325808529954142,4,0.08293945120512969,4,0.06675310473462842,3,0.005376344086021506
20,185,derrick henry,0.06372137966417973,3,0.07540618752091298,2,0.08649644990633326,2,0.08719828027654002,2,0.06904973760727752,1,0.005405405405405406
21,184,drake london,0.06263622950397885,4,0.08056829209225386,2,0.07804642642368607,2,0.07788342800810528,2,0.05832017057605814,8,0.005434782608695652
22,183,george pickens,0.05385328685219186,4,0.05030560145204281,3,0.03935437409586748,4,0.03957439567390173,4,0.0649906162445598,3,0.00546448087431694
23,182,jeremiyah love,0.014976161554157598,18,0.046861506751984694,6,0.04871058377437095,6,0.04859700563326807,6,0.06454220697828016,5,0.005494505494505495
24,181,nico collins,0.0503134038535684,5,0.02753899660176939,8,0.024615376423008626,9,0.024980788042059884,9,0.06618612210679815,4,0.0055248618784530384
25,180,malik nabers,0.019049649130471392,10,0.01884583344517706,11,0.015195819420299005,11,0.015279762729993838,11,0.03742509055926847,13,0.005555555555555556
26,179,rashee rice,0.2519319672571078,1,0.313164157025198,1,0.2865848397099134,1,0.2862212872499963,1,0.043632136254131336,12,0.00558659217877095
28,177,devonta smith,0.06017710642361334,4,0.09355111440771073,2,0.08922010683849294,3,0.08860928383203655,3,0.057596226749653784,8,0.005649717514124294
29,176,ladd mcconkey,0.026324482301273874,8,0.020077502485563194,12,0.012061811877456067,13,0.012226878915935576,13,0.01992855385103307,18,0.005681818181818182
30,175,kyren williams,0.020956028457786907,13,0.008125335795499313,26,0.013127903315300171,17,0.013445913248486903,17,0.058865403932077266,6,0.005714285714285714
31,174,tee higgins,0.02717345375696988,8,0.035970838188851745,8,0.033034062927100795,8,0.032874042798507634,8,0.04070335760906057,12,0.005747126436781609
32,173,emeka egbuka,0.03475932990692254,6,0.018709281514695978,11,0.00609051136990656,15,0.006308446839950841,15,0.057832822875998245,6,0.005780346820809248
33,172,trey mcbride,0.0047031570236054955,37,0.08854841847013546,4,0.07739365560826121,4,0.07647139831247904,4,0.04331022140213647,10,0.005813953488372093
35,170,tetairoa mcmillan,0.046421479182735356,4,0.02716843001419483,7,0.008836487021236758,10,0.009138421191401118,10,0.06076796113125883,1,0.0058823529411764705
36,169,luther burden,0.014483632678125984,15,0.015672897916927955,15,0.007307997257292566,18,0.007405742905083585,18,0.015159329756232834,23,0.005917159763313609
37,168,javonte williams,0.030732889473229923,7,0.07615751561548563,4,0.07055912211583423,4,0.07080885747365755,4,0.05930814821028343,1,0.005952380952380952
38,167,breece hall,0.014751609501194763,14,0.02258751136105371,6,0.023081392220021337,6,0.023307155045127394,6,0.043129676663709544,11,0.005988023952095809
39,166,josh jacobs,0.03559909322534843,4,0.06598006277783315,4,0.07537192635438443,3,0.0757589663579538,3,0.024434480954577013,20,0.006024096385542169
40,165,josh allen,0.19507693120239833,1,0.11653702955829462,3,0.12102222394560595,3,0.11745771470136435,3,0.02954061292574022,18,0.006060606060606061
41,164,jaylen waddle,0.022665147049503304,9,0.022380449763067065,10,0.01225822704119903,9,0.012322125996623568,9,0.04679447160960013,8,0.006097560975609756
42,163,colston loveland,0.0015256500280697723,66,0.029917761130965854,6,0.019524240694289346,5,0.01937600123643368,5,0.05155023691777485,6,0.006134969325153374
43,162,cam skattebo,0.042667804939864794,4,0.04033593970950286,4,0.07082985952361401,3,0.07114024994112522,3,0.031821145702195845,17,0.006172839506172839
44,161,travis etienne,0.21056482148966274,1,0.5574163967155209,1,0.7681160777104029,1,0.7641519846416852,1,0.045929669337763886,10,0.006211180124223602
45,160,bhayshul tuten,0.006753783836750055,35,0.004420279724579205,43,0.011100521999878835,20,0.011229956670917937,21,0.04964093708445429,9,0.00625
46,159,bucky irving,0.008221746922544538,32,0.015418935058847191,13,0.030115073574009294,8,0.029921433672982504,8,0.05007039643973513,7,0.006289308176100629
48,157,lamar jackson,0.04788993723453174,4,0.019572002390771833,12,0.024963195074165823,7,0.024332639421359326,7,0.04678290312621654,8,0.006369426751592357
49,156,david montgomery,0.006067884301564639,33,0.01021899969963552,24,0.019234914500118258,9,0.01914346909887721,9,0.03380180186357251,16,0.00641025641025641
50,155,drake maye,0.05486749828455513,2,0.01921423367493812,11,0.017215269783276914,12,0.016967796414039782,12,0.048910709508460284,5,0.0064516129032258064
51,154,davante adams,0.23433636167522587,1,0.33373809305947355,1,0.4207066006339625,1,0.41634971723230674,1,0.03527810066904634,14,0.006493506493506494
52,153,tyler warren,0.0033830065975718297,56,0.0766890678976393,1,0.0843526993631633,1,0.08314719026969672,1,0.04963895217042467,3,0.006535947712418301
53,152,jameson williams,0.03597346415848691,6,0.04707127669952028,5,0.049810064102920826,5,0.0492112966388005,5,0.041028655724199996,10,0.006578947368421052
55,150,jayden daniels,0.0068122569918103405,37,0.0024548932373053252,65,0.0023706820498462992,65,0.0023318864595079096,65,0.019315021713544957,24,0.006666666666666667
56,149,treveyon henderson,0.011638891134860318,28,0.008711439604057656,35,0.028628600982708505,8,0.02860792667251135,8,0.04651432583660736,6,0.006711409395973154
57,148,quinshon judkins,0.017842441686403244,19,0.018981180547476037,16,0.054671886459454734,3,0.05475696782743807,3,0.03348617103216824,17,0.006756756756756757
