anchor,key,name,pos,p_surv,survived
31,josh allen,Josh Allen,QB,0.707,0
31,travis etienne,Travis Etienne Jr.,RB,0.0,0
31,davante adams,Davante Adams,WR,0.0155,1
31,zay flowers,Zay Flowers,WR,0.1995,0
31,tetairoa mcmillan,Tetairoa McMillan,WR,0.2035,0
31,emeka egbuka,Emeka Egbuka,WR,0.308,0
31,josh jacobs,Josh Jacobs,RB,0.157,0
31,tee higgins,Tee Higgins,WR,0.421,0
31,garrett wilson,Garrett Wilson,WR,0.4555,1
31,cam skattebo,Cam Skattebo,RB,0.1965,0
31,javonte williams,Javonte Williams,RB,0.212,0
31,drake maye,Drake Maye,QB,0.981,1
31,dj moore,DJ Moore,WR,0.5865,1
31,lamar jackson,Lamar Jackson,QB,0.988,1
31,terry mclaurin,Terry McLaurin,WR,0.7315,1
31,jaylen waddle,Jaylen Waddle,WR,0.712,0
31,dk metcalf,DK Metcalf,WR,0.76,1
31,rome odunze,Rome Odunze,WR,0.7625,1
31,luther burden,Luther Burden III,WR,0.7545,0
31,breece hall,Breece Hall,RB,0.584,0
31,dak prescott,Dak Prescott,QB,0.989,1
31,jameson williams,Jameson Williams,WR,0.8025,1
31,joe burrow,Joe Burrow,QB,0.9955,1
31,wandale robinson,Wan'Dale Robinson,WR,0.853,1
31,michael pittman,Michael Pittman Jr.,WR,0.865,1
31,mike evans,Mike Evans,WR,0.8695,1
31,jakobi meyers,Jakobi Meyers,WR,0.855,1
31,marvin harrison,Marvin Harrison Jr.,WR,0.888,1
31,carnell tate,Carnell Tate,WR,0.8945,1
31,christian watson,Christian Watson,WR,0.9,1
31,dandre swift,D'Andre Swift,RB,0.811,1
31,courtland sutton,Courtland Sutton,WR,0.912,1
31,quentin johnston,Quentin Johnston,WR,0.9245,1
31,patrick mahomes,Patrick Mahomes,QB,0.996,1
31,bo nix,Bo Nix,QB,0.996,1
31,jalen hurts,Jalen Hurts,QB,0.997,1
31,quinshon judkins,Quinshon Judkins,RB,0.8725,1
31,jared goff,Jared Goff,QB,0.999,1
31,trey mcbride,Trey McBride,TE,0.0525,0
31,parker washington,Parker Washington,WR,0.9325,1
31,jaxson dart,Jaxson Dart,QB,0.9985,1
31,caleb williams,Caleb Williams,QB,0.9975,1
31,matthew stafford,Matthew Stafford,QB,0.996,1
31,justin herbert,Justin Herbert,QB,0.998,1
31,bucky irving,Bucky Irving,RB,0.9015,1
31,trevor lawrence,Trevor Lawrence,QB,0.9985,1
31,alec pierce,Alec Pierce,WR,0.9555,1
31,bhayshul tuten,Bhayshul Tuten,RB,0.9275,0
31,treveyon henderson,TreVeyon Henderson,RB,0.928,1
31,david montgomery,David Montgomery,RB,0.9455,1
31,brian thomas,Brian Thomas Jr.,WR,0.9735,1
31,jaylen warren,Jaylen Warren,RB,0.952,1
31,tony pollard,Tony Pollard,RB,0.951,1
31,stefon diggs,Stefon Diggs,WR,0.98,1
31,jadarian price,Jadarian Price,RB,0.958,1
31,josh downs,Josh Downs,WR,0.9785,1
31,jordyn tyson,Jordyn Tyson,WR,0.979,1
31,brock purdy,Brock Purdy,QB,0.999,1
31,jayden daniels,Jayden Daniels,QB,1.0,1
31,chuba hubbard,Chuba Hubbard,RB,0.967,1
31,michael wilson,Michael Wilson,WR,0.9815,1
31,rico dowdle,Rico Dowdle,RB,0.9595,1
31,jordan addison,Jordan Addison,WR,0.985,1
31,deebo samuel,Deebo Samuel Sr.,WR,0.9875,1
31,jayden reed,Jayden Reed,WR,0.989,1
31,chris godwin,Chris Godwin Jr.,WR,0.9915,1
31,khalil shakir,Khalil Shakir,WR,0.988,1
31,xavier worthy,Xavier Worthy,WR,0.987,1
31,rhamondre stevenson,Rhamondre Stevenson,RB,0.9785,1
31,baker mayfield,Baker Mayfield,QB,0.9995,1
31,jayden higgins,Jayden Higgins,WR,0.9905,1
31,makai lemon,Makai Lemon,WR,0.991,1
31,matthew golden,Matthew Golden,WR,0.9895,1
31,kc concepcion,KC Concepcion,WR,0.9915,1
31,theo wease,Theo Wease Jr.,WR,0.991,1
31,colston loveland,Colston Loveland,TE,0.72,0
31,tyler warren,Tyler Warren,TE,0.708,1
31,jerry jeudy,Jerry Jeudy,WR,0.993,1
31,romeo doubs,Romeo Doubs,WR,0.992,1
31,tyler shough,Tyler Shough,QB,0.9995,1
31,tre tucker,Tre Tucker,WR,0.995,1
31,calvin ridley,Calvin Ridley,WR,0.9965,1
31,jordan love,Jordan Love,QB,1.0,1
