pos,which,rmse_incumbent,rmse_arm,mean_gain,dm_t,dm_p,mde80,panel,arm,label,n,d_rmse,folds_improved,sd_folds,obs_over_mde,spearman_arm,spearman_incumbent
WR,a6 with n_eff recomputed on qualifying seasons,3.401054144912574,3.427255288939316,-0.18170901197858497,-1.3314183011646523,0.2157884277047985,0.4292991804484265,,,,,,,,,,
WR,,3.401054144912574,3.472165921851735,-0.5095058998643406,-1.8077929739436396,0.10409819820265512,0.8865406174640934,"wide, UNWEIGHTED pooled games (sensitivity)",a2_median,2 median (game),638.0,0.07111177693916071,4.0,0.8912520117556464,-0.5747124156835111,0.5866032763526939,0.6123738112891938
WR,,3.401054144912574,3.444865145046008,-0.3170151943272309,-1.4004083225082469,0.19491031370518308,0.7120713457647194,"wide, UNWEIGHTED pooled games (sensitivity)",a3_trim20,3 trimmed mean 20% (game),638.0,0.043811000133433975,4.0,0.7158555478729214,-0.4452014481593508,0.590888008155279,0.6123738112891938
WR,,3.401054144912574,3.4344047289750437,-0.2424061084230637,-1.402875740699754,0.19419681666067845,0.5435286848005267,"wide, UNWEIGHTED pooled games (sensitivity)",a4_huber,4 Huber c=1.345 (game),638.0,0.03335058406246949,3.0,0.5464171908570111,-0.4459858609155577,0.596265894053744,0.6123738112891938
WR,,3.401054144912574,3.4976781929277574,-0.6730810258290292,-2.9751979971194937,0.01557047166419159,0.7116223666151329,"wide, UNWEIGHTED pooled games (sensitivity)",a5_p60,5 p60 (game),638.0,0.0966240480151832,2.0,0.7154041826873645,-0.9458401778889729,0.5826811681194516,0.6123738112891938
RB,a6 with n_eff recomputed on qualifying seasons,3.790927307456422,3.8295187729832985,-0.2816989883759386,-1.3046579806539358,0.2243816458584194,0.679182874794551,,,,,,,,,,
RB,,3.790927307456422,3.8828569485990263,-0.7152082110166944,-2.3279844458861283,0.04489505360332028,0.9663857830107035,"wide, UNWEIGHTED pooled games (sensitivity)",a2_median,2 median (game),573.0,0.09192964114260427,2.0,0.9715215031027375,-0.7400856092776076,0.5910425174830867,0.6079017519422714
RB,,3.790927307456422,3.8544607559109294,-0.4875316930836283,-2.021403053618248,0.07395426761118344,0.7586615090303659,"wide, UNWEIGHTED pooled games (sensitivity)",a3_trim20,3 trimmed mean 20% (game),573.0,0.06353344845450737,2.0,0.762693307949056,-0.6426208358807282,0.5919508535858082,0.6079017519422714
RB,,3.790927307456422,3.842265580467467,-0.3889228447161724,-1.9221614202796309,0.08675557562707718,0.6364608758698563,"wide, UNWEIGHTED pooled games (sensitivity)",a4_huber,4 Huber c=1.345 (game),573.0,0.051338273011044766,2.0,0.6398432568666204,-0.6110710955871849,0.5959001075106862,0.6079017519422714
RB,,3.790927307456422,3.915104907266171,-0.9489000484349601,-3.412392998619552,0.007720313950843515,0.8747008354109407,"wide, UNWEIGHTED pooled games (sensitivity)",a5_p60,5 p60 (game),573.0,0.12417759980974896,1.0,0.8793493088611023,-1.0848281035300031,0.588612188480317,0.6079017519422714
