pos,arm,n,rmse_mu,rmse_arm,d_rmse,label,mean_gain,dm_t,dm_p,mde80,folds_improved,n_folds,obs_over_mde,spearman,spearman_mu,gain_vs_mucal,p_vs_mucal,rmse_theta_mu,rmse_theta_arm,eq7_gain,eq7_p,eq7_mde
WR,ridge_P0,568,3.776007070631069,3.5404078517911595,-0.23559921883990942,A2: projection WITHOUT any age term,1.741740039478541,2.462645996189897,0.0360020257648607,2.224741025732813,7,10,0.7828956356413775,0.5623609249439506,0.542041250309014,0.4551278042911142,0.1952861934889968,3.403603515941307,3.3865258538656935,0.11111930681749811,0.6324474628197192,0.7061012301895114
WR,ridge_P1,568,3.776007070631069,3.5196140128683036,-0.25639305776276533,A2: projection WITHOUT any age term,1.8866748336210435,2.928698487539091,0.01679251609723227,2.0263782168411297,8,10,0.9310575972150616,0.5784997723562143,0.542041250309014,0.6000625984336164,0.10399179700984934,3.403603515941307,3.3838858096844984,0.1300001884946612,0.5458467065979399,0.6515487780712661
RB,ridge_P0,489,4.490909578515818,4.158266809031463,-0.33264276948435434,A2: projection WITHOUT any age term,2.848339412368263,4.023071361630501,0.00300413653590142,2.2270610260509485,9,10,1.2789678320665387,0.4929777037344877,0.49473399193971657,0.08702815016804974,0.9038904173790447,3.7842142879145224,3.7193468505213425,0.48092693454602065,0.025095011449565312,0.5639048925429705
RB,ridge_P1,489,4.490909578515818,4.059243034228186,-0.43166654428763174,A2: projection WITHOUT any age term,3.646801839129241,5.708721905964791,0.00029107687512419796,2.009423109243586,10,10,1.814850153933991,0.5137328932051897,0.49473399193971657,0.885490576929028,0.2079542108209788,3.7842142879145224,3.6998787681033347,0.6212651951194534,0.007031694305502354,0.562928417850802
WR,ridge_P0,568,3.776007070631069,3.5374925585503894,-0.23851451208067953,A2: + §H external curve as feature,1.7701375571018427,2.449198454717269,0.03680508047716594,2.2734277385438837,8,10,0.7786205504097548,0.5626167171233252,0.542041250309014,0.4835253219144158,0.1865008249336511,3.403603515941307,3.385238700946291,0.12232961194936484,0.6025735056027719,0.7131285240623141
WR,ridge_P1,568,3.776007070631069,3.5106363888889596,-0.2653706817421093,A2: + §H external curve as feature,1.9563800595051113,2.9118084176806125,0.017260371933692682,2.113433295640683,9,10,0.9256881035897745,0.5872023002249183,0.542041250309014,0.6697678243176847,0.11237380233395743,3.403603515941307,3.3801561066785415,0.15740466388676122,0.48033745020675733,0.6725128504513479
RB,ridge_P0,489,4.490909578515818,4.156738846677262,-0.3341707318385554,A2: + §H external curve as feature,2.854692182583812,3.7882822817405803,0.0042939779574716576,2.3703641368452573,8,10,1.2043264316271474,0.4974078895528546,0.49473399193971657,0.09338092038359877,0.9022395287289209,3.7842142879145224,3.720444516162659,0.4713438450295281,0.030765908994946498,0.5795103492056143
RB,ridge_P1,489,4.490909578515818,4.0776655322292825,-0.4132440462865352,A2: + §H external curve as feature,3.4948107480684336,5.628059762857334,0.00032249604341944737,1.9532735851218894,10,10,1.7892069880473749,0.5116883730822849,0.49473399193971657,0.7334994858682204,0.3037510558031279,3.7842142879145224,3.7022954694752013,0.6032821916495863,0.006750608926445,0.5425851441664193
WR,ridge_P1,568,3.776007070631069,3.547110026546067,-0.22889704408500178,A2 decomposition: mu_hat + age spline only,1.7187890917707662,2.8456226581657784,0.019225981411628543,1.8999553428230482,9,10,0.9046471003981092,0.5700996966354277,0.542041250309014,0.43217685658333965,0.08465400349496205,3.403603515941307,3.3916529149905768,0.08561619215853136,0.6979196148045341,0.6719427716894403
RB,ridge_P1,489,4.490909578515818,4.0765227281034555,-0.41438685041236223,A2 decomposition: mu_hat + age spline only,3.505531765785876,6.053198627558986,0.00018974473334900806,1.8216590540292965,10,10,1.9243621675702982,0.508348081488343,0.49473399193971657,0.744220503585662,0.2325635135572201,3.7842142879145224,3.7158512271433777,0.5040671786618668,0.002656803747188078,0.386254901835072
WR,ridge_P1,568,3.776007070631069,3.536495624839168,-0.23951144579190098,A2 decomposition: mu_hat + experience only,1.792352325308857,3.213900683113608,0.010592458815928199,1.7542401489792698,9,10,1.0217257462450413,0.5700259821273401,0.542041250309014,0.50574009012143,0.041140929339990966,3.403603515941307,3.387729576622576,0.11153127103433617,0.5954743922963153,0.637467295433139
RB,ridge_P1,489,4.490909578515818,4.09027555211729,-0.40063402639852796,A2 decomposition: mu_hat + experience only,3.3994162297046286,5.795578258339954,0.0002609165011373451,1.8450395654928695,9,10,1.8424625104429861,0.5053303709513817,0.49473399193971657,0.6381049675044158,0.2625984293371784,3.7842142879145224,3.722294041862214,0.4575300643300153,0.006005854502165508,0.4029135784885122
WR,ridge_P1,568,3.776007070631069,3.6091292993756716,-0.16687777125539727,A2 decomposition: mu_hat + draft pick only,1.2630736998799093,2.242723732054603,0.051613133228421114,1.7715402669312887,8,10,0.7129805195271348,0.5433472441607913,0.542041250309014,-0.023538535307517528,0.17566633238113688,3.403603515941307,3.3990646113921574,0.03174776608602202,0.8806978680804778,0.6467722578819562
RB,ridge_P1,489,4.490909578515818,4.111679738100409,-0.37922984041540886,A2 decomposition: mu_hat + draft pick only,3.2567359162072314,5.192514258372233,0.0005697288585010173,1.9728904051074725,9,10,1.650743451220658,0.5065817836329136,0.49473399193971657,0.495424654007018,0.055503350732883455,3.7842142879145224,3.7254528549900074,0.44301648773433566,0.04307575177794024,0.5921770533736813
WR,ridge_P1,568,3.776007070631069,3.605229720850244,-0.17077734978082493,A2 decomposition: mu_hat alone (ridge),1.291967766283209,2.3061329095159553,0.04653006081930627,1.7622416432412138,8,10,0.7331388242006069,0.542041250309014,0.542041250309014,0.005355531095782467,0.3928495025750277,3.403603515941307,3.396448632307844,0.04986441115335458,0.8105090423387962,0.6352277803251242
RB,ridge_P1,489,4.490909578515818,4.170258261180299,-0.32065131733551855,A2 decomposition: mu_hat alone (ridge),2.7660642831917217,4.48028205591518,0.0015317996518808476,1.942025945344097,9,10,1.4243189128462534,0.49473399193971657,0.49473399193971657,0.004753020991508557,0.6410954351052283,3.7842142879145224,3.741916994069972,0.3178712189934937,0.12178125747737782,0.5853534259215682
