gsis_id,name,pos,adp,adp_rank,age,expr,n_prior,G_last,avail_wtd,mu_hat,mu_cal,proj_ridge_P0,proj_ridge_P1,alpha
00-0039139,Jahmyr Gibbs,RB,1.5,1.0,24.451745379876797,3,3,17.0,0.9831932773109244,20.73764705882353,16.92946599678205,16.848252813873636,18.105428615104387,31.622776601683793
00-0038542,Bijan Robinson,RB,2.0,2.0,24.58590006844627,3,3,17.0,1.0,20.276470588235295,16.65046105575496,17.769604921003264,18.278842941837407,31.622776601683793
00-0033280,Christian McCaffrey,RB,6.6,3.0,30.234086242299796,9,9,17.0,0.7699435938759065,21.040844255510425,17.11289581459844,17.12872632136091,17.97454005992851,31.622776601683793
00-0036223,Jonathan Taylor,RB,7.4,4.0,27.616700889801507,6,6,17.0,0.8794934640522876,19.059324254954507,15.914105533312119,14.184688758379313,15.019499719760308,31.622776601683793
00-0039040,De'Von Achane,RB,10.4,5.0,24.88432580424367,3,3,16.0,0.9159663865546219,19.045530939648586,15.905760781641272,14.458548805782048,15.318450542726758,31.622776601683793
00-0037248,James Cook III,RB,12.7,6.0,26.934976043805612,4,4,17.0,0.9803921568627452,16.191299019607843,14.178992701923631,13.064675882317466,13.482758234091136,31.622776601683793
00-0038597,Chase Brown,RB,13.4,7.0,26.4476386036961,3,3,17.0,0.9411764705882353,14.68963585434174,13.270508705909654,13.160883652563308,12.949173688902482,31.622776601683793
00-0040122,Ashton Jeanty,RB,15.0,8.0,22.748802190280628,1,1,17.0,1.0,14.41764705882353,13.105959509033253,15.9894955318591,14.883586970925924,31.622776601683793
00-0032764,Derrick Henry,RB,17.7,9.0,32.6570841889117,10,10,17.0,0.979148697602208,17.48787907538382,14.963404451155458,10.190752062623336,11.457180986670116,31.622776601683793
00-0034844,Saquon Barkley,RB,19.7,10.0,29.557837097878167,8,8,16.0,0.9072952710495963,16.696799719887956,14.484813146082267,14.978995247457833,15.277550327350841,31.622776601683793
00-0038134,Kenneth Walker,RB,22.1,11.0,25.864476386036962,4,4,17.0,0.8823529411764706,13.085563874034461,12.300068892061404,12.879613900015856,12.570656897821342,31.622776601683793
00-0040666,Omarion Hampton,RB,23.3,12.0,23.463381245722108,1,1,9.0,0.5294117647058824,15.077777777777776,13.505328826546519,13.849392861573346,15.18807382426981,31.622776601683793
00-0035700,Josh Jacobs,RB,30.8,13.0,28.553045859000683,7,7,15.0,0.9049038906901343,16.11477060842508,14.132694145490973,13.178686339828518,13.07280939355457,31.622776601683793
00-0037840,Kyren Williams,RB,31.6,14.0,26.015058179329227,4,4,17.0,0.9098039215686274,15.882892156862745,13.99241111322551,13.25545816266946,13.44423548512616,31.622776601683793
00-0038120,Breece Hall,RB,35.0,15.0,25.253935660506503,4,4,16.0,0.9137254901960784,14.311621848739495,13.041815825707108,13.41028247567598,12.942714131086749,31.622776601683793
00-0040715,Cam Skattebo,RB,36.6,16.0,24.569472963723477,1,1,8.0,0.47058823529411764,15.9625,14.040572680426614,12.792101489186845,14.032686123140214,31.622776601683793
00-0036997,Javonte Williams,RB,36.8,17.0,26.351813826146476,5,5,16.0,0.9127134724857685,12.740607210626187,12.091375214761767,13.180965094583312,12.656558844573336,31.622776601683793
00-0036973,Travis Etienne Jr.,RB,40.1,18.0,27.59753593429158,5,4,17.0,0.9686274509803922,13.299372549019608,12.429419976862462,13.20885343389984,12.647608283381821,31.622776601683793
00-0039361,Bucky Irving,RB,45.2,19.0,24.035592060232716,2,2,10.0,0.7254901960784315,14.025490196078431,12.868710409520421,12.889073251573322,12.50249756215841,31.622776601683793
00-0036275,D'Andre Swift,RB,45.8,20.0,27.630390143737166,6,6,16.0,0.9410014005602241,13.651917690152985,12.642704570904833,12.687568286475887,12.18111424357504,31.622776601683793
00-0040784,Quinshon Judkins,RB,50.9,21.0,22.84188911704312,1,1,14.0,0.8235294117647058,12.12857142857143,11.721102622448353,13.614225604562893,13.293288213646695,31.622776601683793
00-0040719,Bhayshul Tuten,RB,52.7,22.0,24.54483230663929,1,1,15.0,0.8823529411764706,5.906666666666666,7.956942302306265,8.515730069425821,8.721470410983116,31.622776601683793
00-0035685,David Montgomery,RB,58.2,23.0,29.234770704996578,7,7,17.0,0.9212019453450672,12.337007432894415,11.84720332099414,10.427624774975012,10.523453939417625,31.622776601683793
00-0037228,Jaylen Warren,RB,58.4,24.0,27.83299110198494,4,4,16.0,0.9333333333333333,11.372031045751635,11.263406884797174,10.38480112407229,9.371047340092396,31.622776601683793
00-0040734,TreVeyon Henderson,RB,61.5,25.0,23.860369609856264,1,1,17.0,1.0,12.129411764705882,11.72161101337588,12.903157336166352,13.372523484733804,31.622776601683793
00-0036875,Rhamondre Stevenson,RB,67.8,26.0,28.520191649555098,5,5,14.0,0.8311195445920304,12.438830306316074,11.908804652818338,11.027089844820743,10.675844251431792,31.622776601683793
00-0035261,Tony Pollard,RB,68.9,27.0,29.338809034907598,7,7,17.0,0.9767832329782307,11.80802884933501,11.527179104835982,10.126112463947534,9.429658924103684,31.622776601683793
00-0036139,Rico Dowdle,RB,74.6,28.0,28.216290212183434,6,5,17.0,0.9077266152362585,10.67513018322083,10.841792174480045,9.684326548256806,8.781859693573647,31.622776601683793
00-0036555,Chuba Hubbard,RB,78.8,29.0,27.225188227241617,5,5,15.0,0.8956356736242884,10.54738050058733,10.764505506702033,10.470449831433871,9.567513111849708,31.622776601683793
