policy,pick,round,name,position,board_value,eval_value,p_branch,p_cumulative,p_available,nsim
board,5,1,Amon-Ra St. Brown,WR,13.46851471552183,13.46851471552183,0.9833333333333333,0.9833333333333333,0.9933333333333333,1500
board,5,1,Puka Nacua,WR,12.90264761011976,12.90264761011976,0.006666666666666667,0.99,0.102,1500
board,5,1,Ja'Marr Chase,WR,13.818141150342182,13.818141150342182,0.006,0.996,0.006,1500
board,5,1,Jahmyr Gibbs,RB,14.310998599832075,14.310998599832075,0.0033333333333333335,0.9993333333333333,0.0033333333333333335,1500
board,5,1,Bijan Robinson,RB,13.679503771131364,13.679503771131364,0.0006666666666666666,1.0,0.0006666666666666666,1500
board,16,2,Rashee Rice,WR,11.034483427649093,11.034483427649093,1.0,1.0,1.0,1500
board,25,3,Josh Allen,QB,9.862924948469589,9.862924948469589,0.8366666666666667,0.8366666666666667,0.8873333333333333,1500
board,25,3,A.J. Brown,WR,9.90291301120638,9.90291301120638,0.06333333333333334,0.9,0.06333333333333334,1500
board,25,3,Travis Etienne Jr.,RB,9.611512118749536,9.611512118749536,0.056,0.9560000000000001,1.0,1500
board,25,3,Derrick Henry,RB,9.678161405057548,9.678161405057548,0.04,0.9960000000000001,0.18266666666666667,1500
board,25,3,Justin Jefferson,WR,9.696889956853202,9.696889956853202,0.0026666666666666666,0.9986666666666668,0.008666666666666666,1500
board,25,3,Saquon Barkley,RB,9.633204356032396,9.633204356032396,0.0006666666666666666,0.9993333333333335,0.0026666666666666666,1500
board,25,3,Chase Brown,RB,10.104688886817824,10.104688886817824,0.0006666666666666666,1.0000000000000002,0.0006666666666666666,1500
board,36,4,Travis Etienne Jr.,RB,9.611512118749536,9.611512118749536,0.8233333333333334,0.8233333333333334,0.8426666666666667,1500
board,36,4,Davante Adams,WR,9.231380595153713,9.231380595153713,0.15266666666666667,0.976,0.9673333333333334,1500
board,36,4,Josh Allen,QB,9.862924948469589,9.862924948469589,0.020666666666666667,0.9966666666666666,0.020666666666666667,1500
board,36,4,Tetairoa McMillan,WR,8.28286903433315,8.28286903433315,0.002,0.9986666666666666,0.832,1500
board,36,4,Zay Flowers,WR,8.33498281382771,8.33498281382771,0.0013333333333333333,0.9999999999999999,0.11333333333333333,1500
board,45,5,Davante Adams,WR,9.231380595153713,9.231380595153713,0.39466666666666667,0.39466666666666667,0.3953333333333333,1500
board,45,5,Tee Higgins,WR,7.774381293535458,7.774381293535458,0.22466666666666665,0.6193333333333333,0.38533333333333336,1500
board,45,5,DJ Moore,WR,7.420040143008085,7.420040143008085,0.162,0.7813333333333333,0.9393333333333334,1500
board,45,5,Javonte Williams,RB,7.7089093363629635,7.7089093363629635,0.07466666666666667,0.856,0.232,1500
board,45,5,Tetairoa McMillan,WR,8.28286903433315,8.28286903433315,0.04466666666666667,0.9006666666666666,0.06266666666666666,1500
board,45,5,Emeka Egbuka,WR,8.038443985100187,8.038443985100187,0.035333333333333335,0.9359999999999999,0.06066666666666667,1500
board,45,5,Drake Maye,QB,7.5122299410861775,7.5122299410861775,0.027333333333333334,0.9633333333333333,0.7666666666666667,1500
board,45,5,Cam Skattebo,RB,7.708909336362965,7.708909336362965,0.016,0.9793333333333333,0.04133333333333333,1500
board,45,5,Kyren Williams,RB,7.487071365718668,7.487071365718668,0.009333333333333334,0.9886666666666666,0.034,1500
