policy,first,then,then_pos,p_given_first,n_first
board,Amon-Ra St. Brown,Rashee Rice,WR,1.0,1475
board,Ja'Marr Chase,Rashee Rice,WR,1.0,9
board,Puka Nacua,Rashee Rice,WR,1.0,10
board,Bijan Robinson,Rashee Rice,WR,1.0,1
board,Jahmyr Gibbs,Rashee Rice,WR,1.0,5
board+dRB,Christian McCaffrey,Rashee Rice,WR,0.927007299270073,1370
board+dRB,Christian McCaffrey,De'Von Achane,RB,0.04671532846715328,1370
board+dRB,Christian McCaffrey,Chase Brown,RB,0.020437956204379562,1370
board+dRB,Christian McCaffrey,Omarion Hampton,RB,0.0051094890510948905,1370
board+dRB,Christian McCaffrey,James Cook III,RB,0.00072992700729927,1370
board+dRB,Amon-Ra St. Brown,Rashee Rice,WR,0.9279279279279279,111
board+dRB,Amon-Ra St. Brown,De'Von Achane,RB,0.06306306306306306,111
board+dRB,Amon-Ra St. Brown,Chase Brown,RB,0.009009009009009009,111
board+dRB,Jahmyr Gibbs,Rashee Rice,WR,1.0,2
board+dRB,Ja'Marr Chase,Rashee Rice,WR,0.8823529411764706,17
board+dRB,Ja'Marr Chase,De'Von Achane,RB,0.11764705882352941,17
lineup_marginal,Amon-Ra St. Brown,Rashee Rice,WR,1.0,1479
lineup_marginal,Puka Nacua,Rashee Rice,WR,1.0,6
lineup_marginal,Bijan Robinson,Rashee Rice,WR,1.0,5
lineup_marginal,Ja'Marr Chase,Rashee Rice,WR,1.0,5
lineup_marginal,Jahmyr Gibbs,Rashee Rice,WR,1.0,5
lineup_marginal+dRB,Christian McCaffrey,Rashee Rice,WR,0.9432314410480349,1374
lineup_marginal+dRB,Christian McCaffrey,De'Von Achane,RB,0.03857350800582242,1374
lineup_marginal+dRB,Christian McCaffrey,Chase Brown,RB,0.011644832605531296,1374
lineup_marginal+dRB,Christian McCaffrey,Omarion Hampton,RB,0.004366812227074236,1374
lineup_marginal+dRB,Christian McCaffrey,James Cook III,RB,0.002183406113537118,1374
lineup_marginal+dRB,Ja'Marr Chase,Rashee Rice,WR,1.0,9
lineup_marginal+dRB,Amon-Ra St. Brown,Rashee Rice,WR,0.9166666666666666,108
lineup_marginal+dRB,Amon-Ra St. Brown,De'Von Achane,RB,0.06481481481481481,108
lineup_marginal+dRB,Amon-Ra St. Brown,Omarion Hampton,RB,0.018518518518518517,108
lineup_marginal+dRB,Jahmyr Gibbs,Rashee Rice,WR,1.0,7
lineup_marginal+dRB,Bijan Robinson,Chase Brown,RB,0.5,2
lineup_marginal+dRB,Bijan Robinson,Rashee Rice,WR,0.5,2
