from_pick,to_pick,position,best_marginal_now,delta1,delta2,mean_gap_top4,E_drain,drain_rate,p_ge1,W_cost_of_waiting,W_identity,W_identity_naive,residual,se_W
5,16,QB,9.860966035963434,2.3488181782105553,0.09897041666666778,0.8650562893637926,0.02,0.0018181818181818182,0.02,0.04701390014766815,0.0470139001476682,0.04697636356421111,-4.85722573273506e-17,0.00969603969882701
5,16,RB,12.090726134686507,1.3959983897955364,0.5071244344708387,0.5227796736341696,6.8175,0.6197727272727273,1.0,2.355055915300312,2.4496698641396915,2.4529544409033788,-0.09461394883937935,0.003932528037840082
5,16,TE,5.6099902760130105,0.6693538324420774,1.1770558250980896,0.7807039033113643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5650192292743577e-17
5,16,WR,13.464381867034847,1.693047015397672,0.6941370234158174,0.8742372968660423,3.1625,0.28750000000000003,1.0,2.4278700799791917,2.802353464253526,2.8153651971455043,-0.37448338427433425,0.0020283594065606137
16,25,QB,9.798280835766544,2.2887596446803333,0.11402375000000108,0.8532974899381266,0.0875,0.009722222222222222,0.0875,0.20568581314604906,0.2056858131460488,0.20026646890952915,2.498001805406602e-16,0.02165744643335225
16,25,RB,9.70357764432692,0.07203630242358863,0.25980265772878336,0.4757869052191238,3.3066666666666666,0.3674074074074074,1.0,0.07975479495352289,1.6281086229644988,1.497530252201781,-1.5483538280109759,0.0007460331326389156
16,25,TE,5.6099902760130105,0.6693538324420774,1.1770558250980896,0.7807039033113643,0.6258333333333334,0.06953703703703704,0.625,0.0,0.41932702513054415,0.4193270251305467,-0.41932702513054415,2.5650192292743577e-17
16,25,WR,11.034483427649093,1.0053913446474079,0.31771390827194473,0.4321222135852419,3.98,0.44222222222222224,1.0,0.020433273345885183,1.7095937966024681,1.6954300948953542,-1.689160523256583,0.005288909973014769
25,36,QB,9.592595022620495,2.091692581534291,0.16341750000000138,0.8147139293226596,0.5241666666666667,0.04765151515151515,0.5066666666666667,1.1476875660994121,1.1871120662224568,1.0626507142273742,-0.03942450012304466,0.033265114346216276
25,36,RB,9.623767308301476,1.4645644231594854,0.42809732666131156,0.524115623965156,2.5391666666666666,0.23083333333333333,0.9916666666666667,0.13497651639681507,1.8951837284828583,1.8795817804017985,-1.7602072120860432,0.013448951858584938
25,36,TE,5.6099902760130105,1.4099181223996216,0.4364915351405433,0.7987924449780326,0.5375,0.04886363636363636,0.475,0.2938868704918107,0.5131381614054205,0.6972973128738742,-0.21925129091360973,0.01950740462166308
25,36,WR,9.327493904207216,0.12472042416717734,0.1590734470682466,0.24691249881255745,6.399166666666667,0.5817424242424243,1.0,0.1189460758899692,1.3576001203154087,1.3523925556736593,-1.2386540444254395,0.004295427150943755
36,45,QB,1.3006828028348507,0.06585364598715449,0.09790374999999968,0.08004098337307716,0.275,0.030555555555555558,0.2625,0.04191392095023749,0.04893982513536255,0.018510378946628048,-0.007025904185125054,0.08143628047906516
36,45,RB,9.342018552941294,1.6585658467727868,0.34781462820247455,0.885674679244895,3.2675,0.3630555555555556,0.9991666666666666,1.7207609680306977,3.0407833984520223,2.9837298947126802,-1.3200224304213246,0.0454715998648811
36,45,TE,5.254556416936528,1.4920394700934305,0.24686765143635975,0.7309115843755767,0.6508333333333334,0.07231481481481482,0.6341666666666667,1.134003264672586,1.1540060359626065,0.9503161581415231,-0.020002771290020593,0.021058086075115733
36,45,WR,9.197821483176725,0.9652638802769492,0.28556394163661314,0.4562753438796647,3.8066666666666666,0.422962962962963,0.9991666666666666,0.6655370333242896,1.7506391436804365,1.7578265286280388,-1.085102110356147,0.02241483664959454
45,56,QB,1.0897118664084007,0.03843791666666668,0.08389375031177802,0.06123640796439442,1.2241666666666666,0.11128787878787878,0.8091666666666667,0.03767447924461109,0.06420156257794447,0.0646853945501585,-0.02652708333333338,0.07362948461029727
45,56,RB,6.472062283630988,0.7743874314873715,0.35115449225303136,0.3628455579005682,3.375,0.3068181818181818,0.9983333333333333,1.1374768585085633,1.355020828220272,1.3476125882573828,-0.21754396971170875,0.010176680809113598
45,56,TE,4.057467488964653,0.3194149896059157,1.0627806148651466,0.4665466440492779,0.4275,0.038863636363636364,0.3775,0.30771460167861786,0.3172876463464068,0.17049981233418868,-0.009573044667788966,0.003815882734484233
45,56,WR,8.306258735714051,0.943503850667639,0.3232395974066431,0.36549877248103163,4.973333333333334,0.45212121212121215,1.0,1.1286832688683637,1.5595313628190217,1.5839537527842782,-0.43084809395065804,0.00975407356293104
56,65,QB,0.8166055223627275,0.06432055569271797,0.061068087187837676,0.0406121817693094,1.4233333333333333,0.15814814814814815,0.8425,0.05449750155889066,0.09179753472526032,0.08477560692346013,-0.037300033166369664,0.06146694013514817
56,65,RB,5.2700522068095115,0.3011391648704932,0.14382889748328187,0.1544406392755378,2.4816666666666665,0.27574074074074073,0.98,0.3485207386480971,0.4769868308646255,0.4701845711853182,-0.12846609221652844,0.005415602271210736
56,65,TE,3.7433708575075086,0.33687739670597544,0.9548687980339879,0.398576469406134,0.6683333333333333,0.07425925925925926,0.55,0.18942938342962057,0.26416439254934243,0.2955606466288618,-0.07473500911972186,0.013661260761376245
56,65,WR,7.086383253529373,0.314134858218238,0.22932644847468764,0.18739416992224953,3.4266666666666667,0.38074074074074077,0.9975,0.284727520648997,0.7148523346658312,0.696955000290081,-0.4301248140168342,0.007726664556778815
65,76,QB,0.44072178664785516,0.04488589550059808,0.011545076601648026,0.0165723795587639,1.7125,0.15568181818181817,0.885,0.032115245297220096,0.05210744433500553,0.047333672877974055,-0.019992199037785437,0.04428160163210964
65,76,RB,4.822771171632028,0.16531819820912494,0.1489250634597268,0.20390051948374488,3.254166666666667,0.29583333333333334,0.995,0.32714125872322697,0.5657260602294026,0.6404969128536001,-0.23858480150617567,0.01885093937771824
65,76,TE,3.5305406982232896,0.6986430731904737,0.4686586547428372,0.3636694031182585,1.2225,0.11113636363636363,0.7775,0.6318972516289341,0.8467128354276691,0.7202437697293208,-0.214815583798735,0.01745352776021894
65,76,WR,6.4661521886647515,0.203193738578406,0.06647834576244718,0.12565791576774127,3.8108333333333335,0.34643939393939394,0.9983333333333333,0.19119946677685373,0.46620951053911636,0.48474590246627075,-0.2750100437622626,0.024642841126372973
76,85,QB,0.2590125822681042,0.01384691775554217,0.0030015429430428823,0.005935416978444766,1.4841666666666666,0.1649074074074074,0.8516666666666667,0.008781250935334273,0.015112620181705096,0.013807460109947956,-0.006331369246370823,0.034333748695665564
76,85,RB,4.0048853560126485,0.4037448499677097,0.43623649342180243,0.30989803242780656,2.2283333333333335,0.24759259259259261,0.9691666666666666,0.5852674635739858,0.9020580382765712,0.8299212588575472,-0.3167905747025853,0.03946403157483753
76,85,TE,2.8554477530339333,0.44730895830474215,0.21934654935258982,0.2487286765772222,1.2516666666666667,0.13907407407407407,0.7841666666666667,0.35170435905718067,0.5010154912291305,0.4465911136895376,-0.1493111321719498,0.009790406629981267
76,85,WR,5.567444274306575,0.15475868336505816,0.21539350230317453,0.2600327307466418,3.035833333333333,0.3373148148148148,0.99,0.17785044809403328,0.6728240701140678,0.7025817421515611,-0.4949736220200345,0.05715388402209752
85,96,QB,0.16947424020552107,0.002044697478894955,0.0031516930063376345,0.0022335767879748127,2.0008333333333335,0.1818939393939394,0.9283333333333333,0.0007669380590696606,0.005455830938817798,0.004902225213148618,-0.004688892879748137,0.02811059010240671
85,96,RB,3.3596203700232667,0.4055486941882285,0.16936520223094434,0.23988599403376978,2.381666666666667,0.21651515151515152,0.955,0.4275198730661338,0.657871896273117,0.6484069793699022,-0.23035202320698323,0.031902852942223836
85,96,TE,2.485883477259287,0.2705169239803566,0.22516209913583415,0.19439209269399133,1.4816666666666667,0.1346969696969697,0.8525,0.20914590137322087,0.35953836090164293,0.3598534606540911,-0.15039245952842206,0.006250661491876663
85,96,WR,5.263596284777411,0.48791107641202197,0.44314212281660276,0.3039162145420055,4.135833333333333,0.3759848484848485,0.9991666666666666,0.3518901052896579,1.2162246670150452,1.207974438443194,-0.8643345617253873,0.053682358527559246
96,105,QB,0.16380645168277375,0.0028456880590696687,0.003219459609709549,0.0038629461695214654,1.7283333333333333,0.19203703703703703,0.8891666666666667,0.0006612428164533557,0.005067226213081465,0.0051632842285428615,-0.004405983396628109,0.027592629027554137
96,105,RB,2.9229972963805593,0.20024965935193664,0.27012103817519684,0.21393035059161758,1.99,0.22111111111111112,0.92,0.15498283099088894,0.4182316183763586,0.43769161678506624,-0.26324878738546964,0.03020017363800662
96,105,TE,2.270867178963055,0.30804094604098015,0.1769603399039475,0.17013985868864692,0.815,0.09055555555555556,0.5975,0.09630526060373379,0.2274856119833854,0.22085621304720127,-0.13118035137965162,0.006643359564858915
96,105,WR,4.482914492346261,0.42321477834707955,0.14059549340656988,0.1917743482323813,3.466666666666667,0.3851851851851852,0.9958333333333333,0.28625029049517625,0.7007618047661442,0.7127847052281504,-0.414511514270968,0.04640871138002716
105,116,QB,0.05764355565907411,0.0015162547890310862,0.000922502394515543,0.002809149001354215,2.118333333333333,0.19257575757575757,0.94,0.0002168047573837123,0.0025472286075970043,0.003715381426323998,-0.002330423850213292,0.016501881464873063
105,116,RB,2.7438462453624726,0.31409545896732977,0.3025747635104582,0.29680913740224407,2.28,0.20727272727272725,0.9558333333333333,0.29937523408082134,0.6744351125754905,0.6881881766598416,-0.37505987849466915,0.028880104496327552
105,116,TE,2.165918397344922,0.30523243354616897,0.1462038680125737,0.15572994582112865,1.2416666666666667,0.11287878787878788,0.7658333333333334,0.11505181780417928,0.3143429500353664,0.2976776151246019,-0.1992911322311871,0.006750794515273269
