opp,metric,strat,mean_diff,se,t,p,ci_lo,ci_hi,mde,seasons_positive,family,bh_thresh,reject
logit,pts14,SD,-105.45031000000002,24.08559285623046,-4.378148822387079,0.0017758977577779778,-159.93192104079333,-50.96869895920672,67.48783118315775,1,1,0.025,True
logit,pts14,SB,-113.00619000000002,29.87491335720565,-3.7826449452360875,0.004331358006232522,-180.5832440139992,-45.429135986000844,83.70950722689022,2,1,0.05,True
logit,pts14,SE,-51.31142,17.712653694054737,-2.8968793093506204,0.017685013013049478,-91.37744265595181,-11.245397344048186,49.630855650741374,2,1,0.07500000000000001,True
logit,pts14,SG,-31.90838,16.225776028425333,-1.966524124584297,0.08079252541867388,-68.6110853762981,4.794325376298104,45.464624431647785,3,0,,False
logit,pts14,SC,-29.891200000000005,17.461609953558757,-1.7118238283582803,0.12108670642527275,-69.38936171494991,9.606961714949904,48.92743108987164,2,1,0.1,False
logit,pts14,SF,-5.453510000000003,21.78865462112207,-0.250291268315086,0.8079820217985247,-54.739446752978125,43.83242675297812,61.051810248384044,6,0,,False
adp,pts14,SB,-122.62466000000002,19.264530923390442,-6.365307335415713,0.00013049597123693246,-166.2010289487092,-79.04829105129085,53.97921564734002,0,1,0.025,True
adp,pts14,SD,-123.17463000000002,20.85480782118252,-5.906294177158029,0.0002272916891516985,-170.3482052915149,-76.00105470848516,58.43517151495342,1,1,0.05,True
adp,pts14,SE,-79.59128999999999,21.585106377502516,-3.687324426761015,0.005018152261308417,-128.41680062591067,-30.7657793740893,60.48146806976205,1,1,0.07500000000000001,True
adp,pts14,SC,-67.35932,20.11999782064711,-3.347879090268885,0.008552332475652236,-112.87075507030376,-21.847884929696235,56.376233893453204,1,1,0.1,True
adp,pts14,SG,-90.06899000000001,27.17006668170139,-3.315008058506535,0.009011701196747213,-151.52768083400855,-28.61029916599147,76.1305268421273,1,0,,False
adp,pts14,SF,-27.540550000000007,27.94937530870671,-0.9853726495067907,0.3501886180175422,-90.76203694829458,35.68093694829457,78.3141496149962,4,0,,False
logit,pts17,SG,-16.41881,4.382521896134691,-3.74642965605742,0.004579829681354175,-26.33207452905667,-6.50554547094333,12.279826352969403,1,0,,False
logit,pts17,SE,-24.142219999999995,7.519402314321414,-3.210656777071078,0.010647703278765075,-41.15110803499503,-7.133331965004956,21.0693652847286,1,1,0.025,True
logit,pts17,SC,-15.662799999999999,6.32956353195946,-2.474546613034979,0.03530592476448402,-29.980272709292297,-1.3453272907077007,17.735437016550406,2,1,0.05,True
logit,pts17,SD,-29.39248,12.650485788834795,-2.3234269806414503,0.04523131918623524,-58.007878854344305,-0.7770811456556928,35.4466611803151,3,1,0.07500000000000001,True
logit,pts17,SB,-25.344649999999994,12.764723021682757,-1.985522910050487,0.07835965959288038,-54.21845347504639,3.529153475046403,35.766753906755085,1,1,0.1,True
logit,pts17,SF,-2.354049999999998,9.103333972149983,-0.2585920726628059,0.8017668181126174,-22.94579144500326,18.237691445003264,25.507541789964254,4,0,,False
adp,pts17,SG,-37.39269,5.017509544904833,-7.452440232619274,3.88214723283653e-05,-48.74229659057473,-26.04308340942527,14.059061744823342,0,0,,False
adp,pts17,SC,-27.514279999999996,3.8415213905083654,-7.162339397089472,5.2949187104855966e-05,-36.20380138532992,-18.824758614670074,10.76394293620444,0,1,0.025,True
adp,pts17,SD,-32.07223,5.173573335134153,-6.199241399014276,0.00015901058280398672,-43.774852884073454,-20.369607115926545,14.496352485045897,0,1,0.05,True
adp,pts17,SB,-29.21336,6.474044560228345,-4.5123816693300025,0.001462699081528962,-43.857648795236514,-14.569071204763485,18.140272857759822,2,1,0.07500000000000001,True
adp,pts17,SE,-26.88228,8.181209771568016,-3.285856340393986,0.009440580636342677,-45.38817650328686,-8.37638349671315,22.92374977993358,1,1,0.1,True
adp,pts17,SF,-20.89936,8.875335978181333,-2.354768321039103,0.042968108744287026,-40.97536998264618,-0.8233500173538246,24.868691410864095,2,0,,False
logit,pts_all,SD,-134.84278999999998,32.346967477663014,-4.168637758488946,0.0024165018167607855,-208.01163043447372,-61.67394956552624,90.63620287241177,2,1,0.025,True
logit,pts_all,SE,-75.45364000000002,20.039926930889187,-3.7651654250144557,0.004449459886217255,-120.78395471767136,-30.12332528232868,56.1518752603515,1,1,0.05,True
logit,pts_all,SB,-138.35084,38.01881490896082,-3.6390097989980084,0.005409215776116083,-224.3493993240694,-52.35228067593063,106.52871937490822,2,1,0.07500000000000001,True
logit,pts_all,SG,-48.32719,17.846049152150982,-2.708004981269209,0.02407601662516967,-88.69495318216553,-7.959426817834476,50.00462972432705,1,0,,False
logit,pts_all,SC,-45.554,20.212107981070265,-2.2537975773068197,0.05068776871918779,-91.27378825318094,0.16578825318093493,56.63432656295888,1,1,0.1,True
