opp,year,slot,sim,strat,pts14,pts17,nQB,nRB,nWR,nTE,pts_all
logit,2015,1,0,SA,1886.14,350.18,2,6,5,1,2236.32
logit,2015,1,0,SB,1771.04,300.53999999999996,2,2,8,2,2071.58
logit,2015,1,0,SC,1826.26,396.68,2,2,9,1,2222.94
logit,2015,1,0,SD,1680.3400000000001,271.94,2,2,10,0,1952.2800000000002
logit,2015,1,0,SE,1896.5000000000002,449.2,2,4,8,0,2345.7000000000003
logit,2015,1,0,SF,1901.3600000000001,357.4,2,4,7,1,2258.76
logit,2015,1,0,SG,1838.76,391.28,2,6,6,0,2230.04
logit,2015,1,1,SA,1833.2,385.44,2,6,6,0,2218.64
logit,2015,1,1,SB,1936.94,406.09999999999997,1,2,10,1,2343.04
logit,2015,1,1,SC,1716.72,351.14,2,4,7,1,2067.86
logit,2015,1,1,SD,1968.94,385.0,1,2,10,1,2353.94
logit,2015,1,1,SE,1673.88,338.5,2,5,7,0,2012.38
logit,2015,1,1,SF,1864.08,403.14,2,4,6,2,2267.22
logit,2015,1,1,SG,1784.58,338.20000000000005,2,5,6,1,2122.7799999999997
logit,2015,1,2,SA,1921.3200000000002,383.96000000000004,2,7,4,1,2305.28
logit,2015,1,2,SB,1981.8000000000002,449.53999999999996,1,2,10,1,2431.34
logit,2015,1,2,SC,2000.4,472.08,2,4,7,1,2472.48
logit,2015,1,2,SD,1798.7199999999998,367.03999999999996,2,2,10,0,2165.7599999999998
logit,2015,1,2,SE,1787.86,432.03999999999996,1,7,5,1,2219.8999999999996
logit,2015,1,2,SF,1819.26,412.94,2,4,8,0,2232.2
logit,2015,1,2,SG,1814.6,384.74,2,6,5,1,2199.34
logit,2015,1,3,SA,1575.3600000000001,338.53999999999996,1,7,5,1,1913.9
logit,2015,1,3,SB,1482.44,290.1,1,2,10,1,1772.54
logit,2015,1,3,SC,1736.92,312.44000000000005,2,6,6,0,2049.36
logit,2015,1,3,SD,1747.08,398.24,2,2,10,0,2145.3199999999997
logit,2015,1,3,SE,1736.92,312.44000000000005,2,6,6,0,2049.36
logit,2015,1,3,SF,1712.0200000000002,358.94,2,4,7,1,2070.96
logit,2015,1,3,SG,1638.72,340.14,2,7,4,1,1978.8600000000001
logit,2015,1,4,SA,1886.3,302.76,1,5,7,1,2189.06
logit,2015,1,4,SB,1894.56,476.54,1,2,10,1,2371.1
logit,2015,1,4,SC,1984.98,460.43999999999994,2,3,8,1,2445.42
logit,2015,1,4,SD,1862.16,454.34000000000003,1,2,10,1,2316.5
