tag,game_noise,strategy,E_lineup_ppg,sd_outcome,se_level,delta_vs_S0,se_paired,t,p_beats_S0,mix,nsim
base,False,S0_adp,57.946212484349324,4.573713674408394,0.1180927792753656,0.0,0.0,0.0,0.0,"QB1.5,RB4.5,TE1.5,WR6.4",1500
base,False,S1_board,59.91212225680721,4.238695417445576,0.10944264507608273,1.9659097724578924,0.13518424957900838,14.542446909163907,0.6393333333333333,"QB1.0,RB2.0,TE1.0,WR10.0",1500
base,False,S2_board_dRB,60.68630264614744,4.068747345508209,0.10505460472719286,2.7400901617981215,0.11331400579353113,24.181389958014773,0.7386666666666667,"QB1.0,RB4.2,TE1.0,WR7.8",1500
base,False,S3_lineup_marginal,60.039886984632545,4.377384638078934,0.11302358535482594,2.093674500283233,0.13809298860558158,15.1613381781688,0.6446666666666667,"QB1.1,RB2.0,TE1.0,WR9.9",1500
base,False,S4_lineup_marginal_dRB,61.530485768761096,4.163778320655937,0.1075082939546662,3.5842732844117817,0.11555223545338147,31.01864079347755,0.8066666666666666,"QB2.0,RB3.8,TE1.0,WR7.2",1500
base,False,S5_first_QB,57.433432358109684,4.502591133840114,0.11625640317429288,-0.5127801262396338,0.14058275732696957,-3.6475321439812265,0.44533333333333336,"QB1.0,RB2.0,TE1.0,WR10.0",1500
base,False,S5_first_RB,59.70920881885362,4.230889283977633,0.10924109157661863,1.7629963345043027,0.12550859454574698,14.04681759751284,0.6266666666666667,"QB1.0,RB2.1,TE1.0,WR9.9",1500
base,False,S5_first_TE,56.99610978616491,4.331080220067842,0.11182801042274071,-0.9501026981844121,0.13614185541541576,-6.978770013713424,0.44066666666666665,"QB1.1,RB2.0,TE1.0,WR9.9",1500
base,False,S5_first_WR,59.8948752912925,4.234253124710913,0.10932794557088056,1.948662806943185,0.13560304199895373,14.370347288803597,0.638,"QB1.0,RB2.0,TE1.0,WR10.0",1500
base,False,S6_noQB_before_R8,58.961574369085895,4.338227798332773,0.11201256009997933,1.0153618847365682,0.14104149291017795,7.199029617356644,0.5693333333333334,"QB1.0,RB2.0,TE1.0,WR10.0",1500
base,False,S7_noQB_before_R12,59.08374466141778,4.367237342264072,0.1127615833034926,1.1375321770684614,0.14177692582307697,8.023394289759002,0.584,"QB1.0,RB2.0,TE1.0,WR10.0",1500
base,False,S8_minRB2_in6,61.792104699882934,4.1098500148199335,0.10611587108538606,3.8458922155336164,0.13208080809412978,29.11772172678389,0.7713333333333333,"QB1.0,RB2.0,TE1.0,WR10.0",1500
base,False,S9_minRB2_marg,62.6453251469165,4.2306263174464585,0.10923430180997964,4.699112662567175,0.13409488819160412,35.043190131548904,0.816,"QB2.0,RB2.0,TE1.0,WR9.0",1500
base,False,S8_minRB3_in6,62.14934869524778,4.019444762148748,0.10378161749868488,4.2031362108984665,0.13356850019368358,31.468019816076605,0.7866666666666666,"QB1.0,RB3.0,TE1.0,WR9.0",1500
