name,position,value,mu,sigma,d_shift,S_5,Sfree_5,S_16,Sfree_16,S_25,Sfree_25,S_36,Sfree_36,S_45,Sfree_45,S_56,Sfree_56,S_65,Sfree_65,S_76,Sfree_76,S_85,Sfree_85,S_96,Sfree_96,S_105,Sfree_105,S_116,Sfree_116,S_125,Sfree_125,S_136,Sfree_136
Jahmyr Gibbs,RB,14.310998599832075,1.0,1.774843147264719,-2.9942214488983154,0.002,0.02225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ja'Marr Chase,WR,13.818141150342182,3.0,1.774843147264719,-4.3341100215911865,0.00925,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bijan Robinson,RB,13.679503771131364,2.0,1.774843147264719,-4.3083250522613525,0.0015,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amon-Ra St. Brown,WR,13.46851471552183,7.0,1.774843147264719,0.0,0.98875,0.92275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puka Nacua,WR,12.90264761011976,4.0,1.774843147264719,-2.663487195968628,0.101,0.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian McCaffrey,RB,12.176922423207584,5.0,1.774843147264719,0.0,0.92675,0.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaxon Smith-Njigba,WR,11.654405770002567,6.0,1.774843147264719,0.0,0.9755,0.82075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rashee Rice,WR,11.034483427649093,26.0,1.774843147264719,0.0,1.0,1.0,1.0,1.0,0.9985,0.9775,0.00525,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CeeDee Lamb,WR,10.838209699055906,13.0,1.774843147264719,0.0,1.0,1.0,0.2405,0.18775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Taylor,RB,10.730218096912536,8.0,1.774843147264719,0.0,0.997,0.975,0.00025,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Cook III,RB,10.193204356032396,9.0,1.774843147264719,0.0,0.9995,0.99175,0.00325,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chase Brown,RB,10.104688886817824,11.0,1.774843147264719,0.0,1.0,0.9995,0.04125,0.02925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
De'Von Achane,RB,10.020218096912538,12.0,1.774843147264719,0.0,1.0,1.0,0.10175,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.J. Brown,WR,9.90291301120638,19.0,1.774843147264719,0.0,1.0,1.0,0.99575,0.993,0.16725,0.03275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Allen,QB,9.862924948469589,32.0,8.5,0.0,1.0,0.99975,0.9815,0.98025,0.90775,0.87275,0.50975,0.49675,0.16075,0.16075,0.0205,0.0205,0.00125,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Omarion Hampton,RB,9.717568598069136,10.0,1.774843147264719,0.0,0.99975,0.9985,0.0105,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Jefferson,WR,9.696889956853202,17.0,1.774843147264719,0.0,1.0,1.0,0.94325,0.9255,0.023,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Henry,RB,9.678161405057548,20.0,1.774843147264719,0.0,1.0,1.0,0.99975,0.99975,0.35225,0.1035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saquon Barkley,RB,9.633204356032396,16.0,1.774843147264719,0.0,1.0,1.0,0.854,0.819,0.00625,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Travis Etienne Jr.,RB,9.611512118749536,41.0,4.9,0.0,1.0,1.0,1.0,1.0,1.0,0.99975,0.97425,0.9685,0.57375,0.57375,0.047,0.047,0.00075,0.00075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drake London,WR,9.57732679308018,24.0,1.774843147264719,-8.005446195602417,1.0,1.0,0.86225,1.0,0.0065,0.8485,0.0,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Pickens,WR,9.315140939387293,22.0,1.774843147264719,0.0,1.0,1.0,1.0,1.0,0.79325,0.43225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davante Adams,WR,9.231380595153713,43.0,4.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.995,0.99425,0.7515,0.7515,0.07675,0.07675,0.00075,0.00075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nico Collins,WR,9.1470533648705,25.0,1.774843147264719,0.0,1.0,1.0,1.0,1.0,0.9905,0.93175,0.0015,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenneth Walker,RB,9.080300534661951,14.0,1.774843147264719,0.0,1.0,1.0,0.449,0.37675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeVonta Smith,WR,8.872166755489298,27.0,1.774843147264719,0.0,1.0,1.0,1.0,1.0,0.99975,0.995,0.01625,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Olave,WR,8.419248047021613,29.0,3.6,-11.225706338882446,1.0,1.0,0.8465,1.0,0.20425,0.96625,0.0,0.21225,0.0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zay Flowers,WR,8.33498281382771,31.0,3.0,0.0,1.0,1.0,1.0,1.0,0.99975,0.99825,0.39725,0.3645,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashton Jeanty,RB,8.33147280252598,15.0,1.774843147264719,0.0,1.0,1.0,0.69,0.63,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tetairoa McMillan,WR,8.28286903433315,38.0,3.6,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9595,0.95275,0.27525,0.275,0.00225,0.00225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emeka Egbuka,WR,8.038443985100187,37.0,4.1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9095,0.8975,0.236,0.23575,0.00225,0.00225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malik Nabers,WR,7.915285560134378,23.0,1.774843147264719,0.0,1.0,1.0,1.0,1.0,0.91575,0.66825,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Jacobs,RB,7.830532471254773,30.0,3.9,0.0,1.0,1.0,1.0,1.0,0.99475,0.9805,0.33425,0.311,0.0085,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
