policy,pick,round,name,position,board_value,eval_value,p_branch,p_cumulative,p_available,nsim
board,5,1,Christian McCaffrey,RB,12.319095975299009,12.319095975299009,0.9183333333333333,0.9183333333333333,0.92,1200
board,5,1,Amon-Ra St. Brown,WR,11.931003864131965,11.931003864131965,0.07916666666666666,0.9975,0.9966666666666667,1200
board,5,1,Bijan Robinson,RB,13.821677323222788,13.821677323222788,0.0025,1.0,0.0025,1200
board,16,2,Derrick Henry,RB,9.82033495714897,9.82033495714897,0.9216666666666666,0.9216666666666666,0.9966666666666667,1200
board,16,2,De'Von Achane,RB,10.162391649003965,10.162391649003965,0.060833333333333336,0.9824999999999999,0.06166666666666667,1200
board,16,2,Chase Brown,RB,10.246862438909249,10.246862438909249,0.011666666666666667,0.9941666666666666,0.011666666666666667,1200
board,16,2,Saquon Barkley,RB,9.775377908123822,9.775377908123822,0.0033333333333333335,0.9974999999999999,0.7383333333333333,1200
board,16,2,Omarion Hampton,RB,9.85224215016056,9.85224215016056,0.0016666666666666668,0.9991666666666666,0.0025,1200
board,16,2,James Cook III,RB,10.33537790812382,10.33537790812382,0.0008333333333333334,1.0,0.0008333333333333334,1200
board,25,3,Travis Etienne Jr.,RB,9.75368567084096,9.75368567084096,0.9925,0.9925,0.9991666666666666,1200
board,25,3,Derrick Henry,RB,9.82033495714897,9.82033495714897,0.005833333333333334,0.9983333333333334,0.005833333333333334,1200
board,25,3,Rashee Rice,WR,9.496972576259228,9.496972576259228,0.0008333333333333334,0.9991666666666668,0.9691666666666666,1200
board,25,3,Saquon Barkley,RB,9.775377908123822,9.775377908123822,0.0008333333333333334,1.0,0.0008333333333333334,1200
board,36,4,Javonte Williams,RB,7.85108288845439,7.85108288845439,0.7775,0.7775,0.9025,1200
board,36,4,Josh Jacobs,RB,7.972706023346198,7.972706023346198,0.13916666666666666,0.9166666666666666,0.14083333333333334,1200
board,36,4,Cam Skattebo,RB,7.843582888454392,7.843582888454392,0.056666666666666664,0.9733333333333333,0.5591666666666667,1200
board,36,4,Davante Adams,WR,7.693869743763846,7.693869743763846,0.020833333333333332,0.9941666666666666,0.985,1200
board,36,4,Travis Etienne Jr.,RB,9.75368567084096,9.75368567084096,0.005,0.9991666666666666,0.005,1200
board,36,4,Kyren Williams,RB,7.629244917810094,7.629244917810094,0.0008333333333333334,1.0,0.6533333333333333,1200
board,45,5,Davante Adams,WR,7.693869743763846,7.693869743763846,0.44583333333333336,0.44583333333333336,0.4725,1200
board,45,5,D'Andre Swift,RB,6.106277781164755,6.106277781164755,0.15166666666666667,0.5975,0.7408333333333333,1200
board,45,5,Tee Higgins,WR,6.2368704421455945,6.2368704421455945,0.14833333333333334,0.7458333333333333,0.37916666666666665,1200
board,45,5,Josh Allen,QB,6.915265489597878,6.915265489597878,0.04416666666666667,0.79,0.08166666666666667,1200
board,45,5,Emeka Egbuka,WR,6.499683133710324,6.499683133710324,0.04,0.8300000000000001,0.0775,1200
board,45,5,Tetairoa McMillan,WR,6.744108182943286,6.744108182943286,0.03916666666666667,0.8691666666666668,0.07916666666666666,1200
board,45,5,Cam Skattebo,RB,7.843582888454392,7.843582888454392,0.03833333333333333,0.9075000000000001,0.03916666666666667,1200
board,45,5,Javonte Williams,RB,7.85108288845439,7.85108288845439,0.03,0.9375000000000001,0.03,1200
board,45,5,Kyren Williams,RB,7.629244917810094,7.629244917810094,0.0275,0.9650000000000001,0.045,1200
board,45,5,DJ Moore,WR,5.88252929161822,5.88252929161822,0.025,0.9900000000000001,0.9358333333333333,1200
board,45,5,Breece Hall,RB,6.933582888454388,6.933582888454388,0.009166666666666667,0.9991666666666668,0.0175,1200
board,45,5,Garrett Wilson,WR,6.187313811787816,6.187313811787816,0.0008333333333333334,1.0,0.0033333333333333335,1200
board,56,6,DJ Moore,WR,5.88252929161822,5.88252929161822,0.3858333333333333,0.3858333333333333,0.40166666666666667,1200
board,56,6,DK Metcalf,WR,5.336206629980244,5.336206629980244,0.31333333333333335,0.6991666666666667,0.94,1200
board,56,6,Quinshon Judkins,RB,5.785560878393112,5.785560878393112,0.1725,0.8716666666666667,0.2825,1200
board,56,6,Jaylen Waddle,WR,5.437517168622347,5.437517168622347,0.059166666666666666,0.9308333333333334,0.12416666666666666,1200
board,56,6,D'Andre Swift,RB,6.106277781164755,6.106277781164755,0.030833333333333334,0.9616666666666668,0.030833333333333334,1200
board,56,6,Bucky Irving,RB,5.518777781164754,5.518777781164754,0.01,0.9716666666666668,0.025833333333333333,1200
board,56,6,Terry McLaurin,WR,5.446082397066146,5.446082397066146,0.009166666666666667,0.9808333333333334,0.015,1200
board,56,6,TreVeyon Henderson,RB,5.2857008976875415,5.2857008976875415,0.008333333333333333,0.9891666666666667,0.655,1200
board,56,6,Bhayshul Tuten,RB,5.2857008976875415,5.2857008976875415,0.0033333333333333335,0.9925,0.33166666666666667,1200
board,56,6,Rome Odunze,WR,5.293330699238695,5.293330699238695,0.0025,0.995,0.22583333333333333,1200
board,56,6,Tee Higgins,WR,6.2368704421455945,6.2368704421455945,0.0025,0.9974999999999999,0.0025,1200
board,56,6,Josh Allen,QB,6.915265489597878,6.915265489597878,0.0016666666666666668,0.9991666666666666,0.0016666666666666668,1200
board,56,6,Luther Burden III,WR,5.285306963082485,5.285306963082485,0.0008333333333333334,1.0,0.525,1200
board+dRB,5,1,Christian McCaffrey,RB,12.319095975299009,13.66409597529901,0.9275,0.9275,0.9283333333333333,1200
board+dRB,5,1,Jonathan Taylor,RB,10.872391649003962,12.217391649003963,0.07,0.9975,0.9983333333333333,1200
board+dRB,5,1,Bijan Robinson,RB,13.821677323222788,15.166677323222789,0.0016666666666666668,0.9991666666666668,0.0016666666666666668,1200
board+dRB,5,1,Jahmyr Gibbs,RB,14.4531721519235,15.7981721519235,0.0008333333333333334,1.0,0.0008333333333333334,1200
board+dRB,16,2,Derrick Henry,RB,9.82033495714897,11.165334957148971,0.9283333333333333,0.9283333333333333,0.9966666666666667,1200
board+dRB,16,2,De'Von Achane,RB,10.162391649003965,11.507391649003965,0.04416666666666667,0.9725,0.045,1200
board+dRB,16,2,Chase Brown,RB,10.246862438909249,11.59186243890925,0.018333333333333333,0.9908333333333333,0.018333333333333333,1200
board+dRB,16,2,Omarion Hampton,RB,9.85224215016056,11.19724215016056,0.005833333333333334,0.9966666666666667,0.005833333333333334,1200
board+dRB,16,2,Saquon Barkley,RB,9.775377908123822,11.120377908123823,0.0025,0.9991666666666666,0.765,1200
board+dRB,16,2,Jonathan Taylor,RB,10.872391649003962,12.217391649003963,0.0008333333333333334,1.0,0.0008333333333333334,1200
board+dRB,25,3,Travis Etienne Jr.,RB,9.75368567084096,11.098685670840961,0.9958333333333333,0.9958333333333333,1.0,1200
board+dRB,25,3,Derrick Henry,RB,9.82033495714897,11.165334957148971,0.004166666666666667,1.0,0.004166666666666667,1200
board+dRB,36,4,Javonte Williams,RB,7.85108288845439,9.19608288845439,0.7408333333333333,0.7408333333333333,0.895,1200
