tag,game_noise,strategy,E_lineup_ppg,sd_outcome,se_level,delta_vs_S0,se_paired,t,p_beats_S0,mix,nsim,delta_rb
dRB=0.0,False,S2_board_dRB,52.800793642881985,3.833051037648484,0.13551881906776878,0.0,0.0,0.0,0.0,"QB1.0,RB7.2,TE1.0,WR4.8",800,0.0
dRB=0.5,False,S2_board_dRB,50.67138535106427,4.439815593775942,0.1569711856788373,-2.1294082918177035,0.087054975338021,-24.46050077608477,0.15125,"QB1.0,RB9.3,TE1.0,WR2.7",800,0.5
dRB=1.0,False,S2_board_dRB,48.48432099716814,4.4803768954293135,0.15840524425147992,-4.316472645713843,0.1105792490593994,-39.03510543280305,0.06625,"QB1.0,RB9.9,TE1.0,WR2.1",800,1.0
dRB=1.29,False,S2_board_dRB,47.65196042563216,4.340727583974415,0.15346789549559037,-5.148833217249826,0.11752304411021375,-43.81126489900331,0.0425,"QB1.0,RB10.0,TE1.0,WR2.0",800,1.29
dRB=1.345,False,S2_board_dRB,47.230230857257254,4.261302744031204,0.15065980334966536,-5.570562785624725,0.11625752831937955,-47.91571665209865,0.03,"QB1.0,RB10.0,TE1.0,WR2.0",800,1.345
dRB=1.4,False,S2_board_dRB,47.01819312713,4.228896017060983,0.14951405252983013,-5.7826005157519855,0.11595186549851952,-49.87069842206047,0.02625,"QB1.0,RB10.0,TE1.0,WR2.0",800,1.4
dRB=1.75,False,S2_board_dRB,45.56343843799956,3.8409320817461703,0.13579745605398397,-7.2373552048824275,0.11874692604784533,-60.94772678129254,0.01,"QB1.0,RB10.0,TE1.0,WR2.0",800,1.75
dRB=2.0,False,S2_board_dRB,45.14344014218377,3.774342479616831,0.1334431580928755,-7.657353500698211,0.1200872476218247,-63.764918027037545,0.0075,"QB1.0,RB10.0,TE1.0,WR2.0",800,2.0
dRB=2.5,False,S2_board_dRB,45.070965932519655,3.7342708025145774,0.1320264103622494,-7.7298277103623185,0.12061838183356312,-64.0849893097424,0.0075,"QB1.0,RB10.0,TE1.0,WR2.0",800,2.5
dRB=3.0,False,S2_board_dRB,45.0717866707517,3.736019071066619,0.1320882209896736,-7.729006972130278,0.1206248621952425,-64.07474239945796,0.0075,"QB1.0,RB10.0,TE1.0,WR2.0",800,3.0
