year,pid,name,pos,adp,ffc_stdev,sim_mean,sim_sd,n
2015,00-0025394,Adrian Peterson,0,1.8,1.0,1.6958333333333333,0.9391437240641569,240
2015,00-0027793,Antonio Brown,1,2.5,1.4,2.4791666666666665,1.1386989443718338,240
2015,00-0030496,LeVeon Bell,2,3.1,1.7,2.870833333333333,1.2658961357470457,240
2015,00-0026213,Jamaal Charles,4,4.5,1.6,4.6,1.36237547893622,240
2015,00-0027944,Julio Jones,5,6.2,1.9,6.241666666666666,1.5142051691503795,240
2015,00-0030485,Eddie Lacy,3,4.0,1.6,4.208333333333333,1.407664812074246,240
2015,00-0031235,Odell Beckham Jr.,11,11.4,2.8,11.675,2.378996307471355,240
2015,00-0027656,Rob Gronkowski,9,10.3,3.3,9.941666666666666,2.696024760986989,240
2015,00-0025389,Calvin Johnson,12,13.1,2.4,14.025,2.1549301263317995,240
2015,00-0025399,Marshawn Lynch,7,8.6,2.3,8.495833333333334,2.0166626324060295,240
2015,00-0027902,Dez Bryant,6,7.6,1.7,7.966666666666667,1.5385334174818914,240
2015,00-0029668,Andrew Luck,17,16.9,5.3,14.7875,3.9015941919289507,240
2015,00-0029854,CJ Anderson,10,10.7,3.0,10.845833333333333,2.423124157653311,240
2015,00-0026184,Matt Forte,13,13.7,3.1,14.295833333333333,2.481728909882753,240
2015,00-0027874,Demaryius Thomas,8,9.1,1.9,9.979166666666666,1.8801938755785004,240
2015,00-0031236,Brandin Cooks,20,20.6,2.9,21.558333333333334,2.113102513253965,240
2015,00-0031301,Jeremy Hill,14,14.4,2.8,15.029166666666667,2.265620656586997,240
2015,00-0027942,A.J. Green,16,16.7,2.5,17.683333333333334,2.1452812217103734,240
2015,00-0028002,Randall Cobb,15,15.9,2.4,17.2625,2.1242399576059054,240
2015,00-0028009,DeMarco Murray,18,17.6,3.4,17.820833333333333,2.395337026393978,240
2015,00-0026373,Justin Forsett,19,19.3,3.2,19.804166666666667,2.326665357886082,240
2015,00-0029608,T.Y. Hilton,22,22.8,2.7,23.7,2.1300794571385944,240
2015,00-0023459,Aaron Rodgers,26,27.1,5.4,25.7375,3.5831208785255244,240
2015,00-0029615,Lamar Miller,21,22.3,3.0,22.966666666666665,2.2085165445960624,240
2015,00-0031299,Jordan Matthews,23,24.4,2.8,25.158333333333335,2.0779609950122233,240
2015,00-0029137,Alshon Jeffery,25,26.1,3.1,26.358333333333334,2.4091729629504472,240
2015,00-0027029,LeSean McCoy,24,24.4,4.2,23.975,2.8970118785168597,240
2015,00-0023500,Frank Gore,27,27.7,3.4,28.266666666666666,2.4417338422126225,240
2015,00-0027966,Mark Ingram II,30,31.0,3.2,31.883333333333333,2.6863464894993996,240
2015,00-0030513,Latavius Murray,32,33.2,4.1,33.7625,3.4782422940426314,240
2015,00-0030564,DeAndre Hopkins,28,28.7,3.3,29.4625,2.4797611742205232,240
2015,00-0031408,Mike Evans,29,30.0,3.4,30.816666666666666,2.707446212397672,240
2015,00-0027696,Jimmy Graham,33,33.5,5.1,33.225,4.1919678126459194,240
2015,00-0031381,Davante Adams,34,34.6,4.3,35.208333333333336,3.3608522363431534,240
2015,00-0027685,Emmanuel Sanders,31,31.9,3.7,32.641666666666666,3.100265431566235,240
2015,00-0026796,Arian Foster,36,37.5,4.8,37.525,3.7871451806402754,240
2015,00-0032104,Ameer Abdullah,41,41.5,6.0,41.59166666666667,4.482407887976957,240
2015,00-0026995,Jeremy Maclin,39,38.8,4.8,40.19583333333333,3.77161598903689,240
2015,00-0031428,Allen Robinson II,54,53.5,6.0,55.0125,4.623463218615588,240
2015,00-0027150,Julian Edelman,42,41.9,4.5,44.24166666666667,3.8311557698396252,240
2015,00-0022044,Andre Johnson,37,37.7,4.2,39.02916666666667,3.7643982073260243,240
2015,00-0027891,Golden Tate,43,43.5,4.3,46.13333333333333,3.7156985373737683,240
2015,00-0031382,Jarvis Landry,35,36.6,4.4,37.375,3.3437946024085026,240
2015,00-0030287,Andre Ellington,44,43.7,5.7,44.28333333333333,4.9460407788787935,240
