year,pid,name,pos,adp,ffc_stdev,sim_mean,sim_sd,n
2015,00-0025394,Adrian Peterson,0,1.8,1.0,1.74,0.9732089592641241,200
2015,00-0027793,Antonio Brown,1,2.5,1.4,2.47,1.1426408625213424,200
2015,00-0030496,LeVeon Bell,2,3.1,1.7,2.885,1.2923334044048786,200
2015,00-0026213,Jamaal Charles,4,4.5,1.6,4.565,1.3912053267963478,200
2015,00-0027944,Julio Jones,5,6.2,1.9,6.26,1.5145525235968769,200
2015,00-0030485,Eddie Lacy,3,4.0,1.6,4.165,1.416973560216195,200
2015,00-0031235,Odell Beckham Jr.,11,11.4,2.8,11.755,2.3966003979255035,200
2015,00-0027656,Rob Gronkowski,9,10.3,3.3,9.855,2.572364729486769,200
2015,00-0025389,Calvin Johnson,12,13.1,2.4,13.87,2.2266318616323133,200
2015,00-0025399,Marshawn Lynch,7,8.6,2.3,8.52,2.093205087345347,200
2015,00-0029854,CJ Anderson,10,10.7,3.0,10.895,2.472761156823171,200
2015,00-0027874,Demaryius Thomas,8,9.1,1.9,9.855,1.7462019085797722,200
2015,00-0027902,Dez Bryant,6,7.6,1.7,8.055,1.5761970006711163,200
2015,00-0026184,Matt Forte,13,13.7,3.1,14.295,2.331340977585399,200
2015,00-0027942,A.J. Green,16,16.7,2.5,17.895,2.0701212549148544,200
2015,00-0031301,Jeremy Hill,14,14.4,2.8,15.07,2.2827956060266263,200
2015,00-0028002,Randall Cobb,15,15.9,2.4,16.955,1.972926046746215,200
2015,00-0028009,DeMarco Murray,18,17.6,3.4,17.915,2.6538632123281607,200
2015,00-0029668,Andrew Luck,17,16.9,5.3,14.74,3.828273552394055,200
2015,00-0026373,Justin Forsett,19,19.3,3.2,20.235,2.184866864612213,200
2015,00-0031236,Brandin Cooks,20,20.6,2.9,21.26,1.9854748935113278,200
2015,00-0029137,Alshon Jeffery,25,26.1,3.1,26.39,2.327009856956317,200
2015,00-0029608,T.Y. Hilton,22,22.8,2.7,23.665,2.089162030563869,200
2015,00-0029615,Lamar Miller,21,22.3,3.0,22.745,2.147798920058632,200
2015,00-0023500,Frank Gore,27,27.7,3.4,28.26,2.809245325079747,200
2015,00-0031299,Jordan Matthews,23,24.4,2.8,25.01,2.198651939657297,200
2015,00-0027029,LeSean McCoy,24,24.4,4.2,24.05,2.685808600625886,200
2015,00-0023459,Aaron Rodgers,26,27.1,5.4,26.015,3.322645764202356,200
2015,00-0027696,Jimmy Graham,33,33.5,5.1,32.94,4.386640293587638,200
2015,00-0030513,Latavius Murray,32,33.2,4.1,33.515,3.1270862382909335,200
2015,00-0027966,Mark Ingram II,30,31.0,3.2,32.04,2.463482031311161,200
2015,00-0026796,Arian Foster,36,37.5,4.8,38.285,3.897399596922344,200
2015,00-0031408,Mike Evans,29,30.0,3.4,30.475,2.6370714303263036,200
2015,00-0030564,DeAndre Hopkins,28,28.7,3.3,29.83,2.532422916723376,200
2015,00-0027685,Emmanuel Sanders,31,31.9,3.7,32.565,2.946043253971563,200
2015,00-0030287,Andre Ellington,44,43.7,5.7,44.455,4.599319919139455,200
2015,00-0029613,Doug Martin,38,38.0,4.8,38.99,4.0586033689599015,200
2015,00-0029141,Alfred Morris,48,48.2,6.9,48.085,5.211870390255702,200
2015,00-0031382,Jarvis Landry,35,36.6,4.4,37.56,3.4751667470206367,200
2015,00-0031381,Davante Adams,34,34.6,4.3,34.8,3.433503272696575,200
2015,00-0022044,Andre Johnson,37,37.7,4.2,39.22,3.5770907018759304,200
2015,00-0026995,Jeremy Maclin,39,38.8,4.8,39.88,3.875655237193827,200
2015,00-0027891,Golden Tate,43,43.5,4.3,46.175,3.5051111280671976,200
2015,00-0032104,Ameer Abdullah,41,41.5,6.0,41.28,4.866210024238575,200
2015,00-0010346,Peyton Manning,55,54.9,9.9,53.6,7.004664633882612,200
2015,00-0027150,Julian Edelman,42,41.9,4.5,43.895,3.982874772985768,200
2015,00-0031544,Amari Cooper,40,40.8,4.4,42.84,3.56763790217071,200
2015,00-0026153,Jonathan Stewart,53,53.0,6.1,54.54,4.597180696009109,200
2015,00-0031045,Carlos Hyde,45,44.7,5.6,45.695,4.598664324327141,200
2015,00-0031428,Allen Robinson II,54,53.5,6.0,55.26,4.476897705479391,200
2015,00-0025418,Greg Olsen,46,45.1,6.3,45.76,5.623211049975167,200
2015,00-0030279,Keenan Allen,49,48.7,5.4,50.34,4.082614198460019,200
