block,stat,term,n,n_regime,est,se,ci_lo,ci_hi,p,note
B1,TS,slope_no_change,958,466.0,0.8678094778058114,0.03538167938712025,0.7981908604064311,0.9374280952051918,,
B1,TS,slope_team_change,958,226.0,0.8572402698321538,0.05920019282230796,0.7407552514424925,0.9737252882218151,,
B1,TS,slope_qb_change,958,266.0,0.8116064247795872,0.04694809793799379,0.7192291910080432,0.9039836585511313,,
B1,TS,slope_equality_wald,958,,0.520957752312607,,,,0.5944704706950967,"F, 2 df, player-clustered"
B1_sens_noscreen,TS,slope_equality_wald,1014,,1.1768866116411827,,,,0.3095429898730738,
B1,WOPR,slope_no_change,958,466.0,0.8704612231195302,0.035078053512425066,0.8014400339363654,0.939482412302695,,
B1,WOPR,slope_team_change,958,226.0,0.8593835846476829,0.06302494561601651,0.7353728069949004,0.9833943623004655,,
B1,WOPR,slope_qb_change,958,266.0,0.8030676697832171,0.048446577823478915,0.7077419581656432,0.898393381400791,,
B1,WOPR,slope_equality_wald,958,,0.7127565201225398,,,,0.4910925153908856,"F, 2 df, player-clustered"
B1_sens_noscreen,WOPR,slope_equality_wald,1014,,1.7432539752320142,,,,0.17657703732053895,
B1,aDOT,slope_no_change,958,466.0,0.7207051955827797,0.05193001644683208,0.6185253101398184,0.822885081025741,,
B1,aDOT,slope_team_change,958,226.0,0.5906154940325904,0.07600397953222648,0.44106657313511133,0.7401644149300695,,
B1,aDOT,slope_qb_change,958,266.0,0.7007866484366331,0.059203830641121176,0.5842944721075943,0.8172788247656718,,
B1,aDOT,slope_equality_wald,958,,1.0383988697136324,,,,0.35524910566215134,"F, 2 df, player-clustered"
B1_sens_noscreen,aDOT,slope_equality_wald,1010,,0.24192855015581793,,,,0.7852539711193091,
B2,dPPG,Intercept,958,,-1.3764553316519987,0.3015785327606128,-2.0586733696994486,-0.694237293604549,0.0013581560904122958,"season(s+1)-clustered, use_t"
B2,dPPG,team_change,958,,-1.0040409556959977,0.30495998423433174,-1.6939083684155642,-0.3141735429764311,0.009342951320017605,"season(s+1)-clustered, use_t"
B2,dPPG,qb_change_same_team,958,,0.1952708615582452,0.17474366512350234,-0.20002677216426362,0.590568495280754,0.2927346940601363,"season(s+1)-clustered, use_t"
B2,dPPG,z_att,958,,-0.1865668356938203,0.11870210926253169,-0.45508966240794624,0.08195599102030562,0.1504639110189218,"season(s+1)-clustered, use_t"
B2,dPPG,z_epa,958,,-0.0025035785748314526,0.17219145056641172,-0.3920277018558772,0.3870205447062143,0.9887167701814759,"season(s+1)-clustered, use_t"
B2,dPPG,vacated_share,958,,1.9215594122208972,0.503498298702947,0.782567129325173,3.0605516951166214,0.004112446820994387,"season(s+1)-clustered, use_t"
