metric,strat,mean_diff,se,t,p,ci_lo,ci_hi,mde,seasons_positive,bh_thresh,reject,family
pts14,S5,-38.17850250000001,16.79009377406855,-2.2738707129179216,0.04905166045108933,-76.15769461694306,-0.1993103830569538,47.045842754940075,3,0.02,False,1
pts14,S2,-11.829894999999995,10.347637677393026,-1.1432459628776264,0.28243446957433993,-35.23625142626302,11.576461426263029,28.99408077205526,4,0.04,False,1
pts14,S1,-5.427551666666674,11.627437996200044,-0.46678826999038386,0.6517447738046247,-31.728816414071172,20.873713080737826,32.580081265352526,6,0.06000000000000001,False,1
pts14,S4,3.6918600000000104,10.114032061383922,0.3650235610875497,0.7235243346976454,-19.18608052285042,26.56980052285044,28.33951783599775,5,0.08,False,1
pts14,S3,-2.5280958333333396,12.996388457132865,-0.19452295086992677,0.8500864981681135,-31.925926523367878,26.8697348567012,36.415880456886285,5,0.1,False,1
pts17,S4,-6.601714166666667,3.352702723118552,-1.9690723311507956,0.08046209556605888,-14.185527726360831,0.9820993930274975,9.394273030178184,4,0.02,False,0
pts17,S5,-5.439708333333332,6.080848106740665,-0.8945640867600977,0.3943139855021287,-19.194586750780715,8.315170084114051,17.038536395087345,4,0.04,False,0
pts17,S1,-1.6741124999999992,6.170447293970308,-0.27131136856738464,0.7922719419063342,-15.631664278960836,12.283439278960836,17.289593317704803,6,0.06000000000000001,False,0
pts17,S3,1.2210841666666667,4.760483857884422,0.2565042132522473,0.8033287304272876,-9.547130319867895,11.98929865320123,13.33887576979215,5,0.08,False,0
pts17,S2,-0.4940599999999996,4.695165156298656,-0.10522739532116532,0.918503277632055,-11.114523583547559,10.12640358354756,13.155852767948835,5,0.1,False,0
pts_all,S5,-43.61821083333335,20.501535942739093,-2.127558196379006,0.06226812398296322,-89.99268513580918,2.7562634691424748,57.445303711554935,3,0.02,False,0
pts_all,S2,-12.323955,13.912052773405803,-0.885847344078395,0.39875014463327263,-43.79301837344393,19.145108373443925,38.98157187108306,5,0.04,False,0
pts_all,S1,-7.1016641666666755,16.324452333465477,-0.43503230746112764,0.6737842574645034,-44.027575344965584,29.824247011632234,45.741115438370265,6,0.06000000000000001,False,0
pts_all,S4,-2.909854166666658,11.858842887277344,-0.2453742067692346,0.8116704130497929,-29.73455677768801,23.914848444354693,33.228477770151116,4,0.08,False,0
pts_all,S3,-1.3070116666666756,16.04440300820241,-0.08146215636683332,0.9368572678888643,-37.59945127122052,34.985427937887174,44.95641722898315,6,0.1,False,0
pts_static,S5,-48.9601675,20.929629065459213,-2.339275452368165,0.04407254714703379,-96.30298844606874,-1.617346553931256,58.644820641416715,3,0.02,False,0
pts_static,S1,-19.02277,18.124070291238013,-1.0495859756843064,0.3212743540865586,-60.019416998780386,21.973876998780383,50.78364495604891,6,0.04,False,0
pts_static,S2,-10.050023333333328,14.50866022573879,-0.692691342754329,0.5059820609796648,-42.868612763954474,22.768566097287817,40.653265952520094,5,0.06000000000000001,False,0
pts_static,S3,-10.169699999999997,17.534235687552957,-0.5799910632671129,0.5761505819224269,-49.83214112524479,29.49274112524479,49.13092839652339,5,0.08,False,0
pts_static,S4,4.040010000000003,11.06050483319734,0.3652645210075938,0.7233505896791521,-20.978851932692383,29.058871932692387,30.991534542618947,4,0.1,False,0
