strat,slot,pts14,playoff,champ,rank14
S0,1,1695.46234,0.3655,0.0815,5.6915
S0,2,1722.0383800000002,0.4415,0.106,5.205
S0,3,1736.8390200000001,0.4835,0.136,4.94
S0,4,1760.1513300000001,0.545,0.1815,4.545
S0,5,1732.5401200000001,0.4685,0.124,5.0355
S0,6,1731.6213,0.457,0.124,5.032
S0,7,1735.66595,0.477,0.1465,4.9975
S0,8,1749.98397,0.507,0.1445,4.7245
S0,9,1746.5515,0.5075,0.139,4.7675
S0,10,1745.3912,0.5085,0.1475,4.7315
S1,1,1701.1904299999999,0.3945,0.068,5.5375
S1,2,1733.30326,0.4625,0.113,5.024
S1,3,1745.28122,0.5205,0.153,4.739
S1,4,1748.14759,0.524,0.1655,4.6985
S1,5,1731.348,0.4425,0.1115,5.0475
S1,6,1716.5698,0.4045,0.084,5.2985
S1,7,1731.46206,0.4595,0.1255,5.0215
S1,8,1743.4856399999999,0.4915,0.132,4.8105
S1,9,1733.94822,0.478,0.1055,4.939
S1,10,1714.27926,0.4215,0.095,5.269
S2,1,1713.3557700000001,0.427,0.105,5.3335
S2,2,1711.39057,0.427,0.1085,5.384
S2,3,1718.88108,0.4475,0.131,5.1855
S2,4,1734.17233,0.4775,0.1585,4.9285
S2,5,1719.62037,0.4315,0.11,5.25
S2,6,1720.8429199999998,0.422,0.109,5.216
S2,7,1731.62851,0.462,0.1235,5.081
S2,8,1738.49772,0.4735,0.131,4.9425
S2,9,1725.81764,0.458,0.1145,5.1195
S2,10,1717.51755,0.4285,0.106,5.267
S3,1,1717.86574,0.4195,0.1005,5.2465
S3,2,1721.00699,0.4355,0.1025,5.2
S3,3,1725.80985,0.46,0.1165,5.083
S3,4,1731.30528,0.4595,0.124,5.045
S3,5,1721.75118,0.439,0.1105,5.175
S3,6,1711.51676,0.4285,0.0955,5.303
S3,7,1713.42616,0.428,0.1155,5.2585
S3,8,1728.3033400000002,0.447,0.12,5.0265
S3,9,1728.87074,0.4575,0.133,5.054
S3,10,1741.08576,0.506,0.157,4.7815
S4,1,1688.26358,0.345,0.072,5.8235
S4,2,1726.05045,0.4565,0.114,5.139
S4,3,1744.3179599999999,0.495,0.1495,4.836
S4,4,1762.90905,0.533,0.1825,4.514
S4,5,1743.7462,0.483,0.13,4.8725
S4,6,1740.13759,0.491,0.138,4.9045
S4,7,1737.74768,0.484,0.1465,4.9585
S4,8,1751.2629299999999,0.5175,0.145,4.7245
S4,9,1747.7288,0.5105,0.1435,4.7335
S4,10,1746.9760700000002,0.5085,0.158,4.7755
S5,1,1729.26946,0.46,0.1155,5.0235
S5,2,1728.13255,0.4515,0.1055,5.108
S5,3,1722.97442,0.461,0.111,5.1255
S5,4,1719.06241,0.4205,0.126,5.2195
S5,5,1702.5051,0.3915,0.102,5.5015
S5,6,1689.55582,0.3775,0.0885,5.6795
S5,7,1692.5552,0.371,0.0865,5.643
S5,8,1701.21274,0.4015,0.0955,5.4615
S5,9,1709.06358,0.422,0.1145,5.34
S5,10,1716.73022,0.455,0.131,5.1895
