strat,slot,pts14,playoff,champ,rank14
S0,1,1547.61082,0.438,0.0715,6.283
S0,2,1570.92998,0.488,0.125,5.8615
S0,3,1588.4076699999998,0.5315,0.1585,5.5045
S0,4,1600.3092199999999,0.569,0.1685,5.259
S0,5,1574.7248100000002,0.506,0.114,5.7855
S0,6,1571.36774,0.4925,0.111,5.855
S0,7,1566.8896599999998,0.487,0.0995,5.932
S0,8,1564.8515,0.481,0.0955,5.9165
S0,9,1557.6756599999999,0.4635,0.0945,6.099
S0,10,1560.02125,0.4625,0.091,6.039
S0,11,1563.96252,0.486,0.099,5.9175
S0,12,1572.585,0.5195,0.1175,5.7095
S1,1,1547.2837299999999,0.4615,0.0675,6.245
S1,2,1581.96856,0.5105,0.1355,5.665
S1,3,1595.42604,0.582,0.1695,5.2845
S1,4,1591.5773700000002,0.5515,0.158,5.413
S1,5,1574.80359,0.4955,0.106,5.7445
S1,6,1554.67731,0.453,0.08,6.118
S1,7,1552.65914,0.447,0.0805,6.1595
S1,8,1562.83197,0.467,0.0885,5.984
S1,9,1555.11099,0.4565,0.071,6.086
S1,10,1546.10675,0.43,0.0575,6.2735
S1,11,1554.40153,0.455,0.079,6.1265
S1,12,1557.35823,0.452,0.0855,6.0685
S2,1,1573.86871,0.5035,0.116,5.77
S2,2,1578.3563800000002,0.504,0.138,5.759
S2,3,1581.9635600000001,0.501,0.1505,5.666
S2,4,1574.94452,0.5175,0.1365,5.766
S2,5,1551.32439,0.453,0.0945,6.2535
S2,6,1543.85327,0.43,0.0795,6.405
S2,7,1554.34973,0.468,0.0715,6.113
S2,8,1552.28767,0.456,0.08,6.1405
S2,9,1553.7381699999999,0.463,0.091,6.113
S2,10,1544.67659,0.437,0.08,6.314
S2,11,1541.65995,0.438,0.1025,6.3875
S2,12,1546.35415,0.452,0.1065,6.265
S3,1,1580.57887,0.535,0.1075,5.511
S3,2,1576.0128200000001,0.5085,0.108,5.693
S3,3,1578.18588,0.519,0.124,5.5995
S3,4,1581.44454,0.522,0.113,5.54
S3,5,1572.86927,0.498,0.101,5.746
S3,6,1555.76729,0.4515,0.091,6.099
S3,7,1557.03935,0.4485,0.087,6.1135
S3,8,1559.65807,0.4655,0.0975,6.001
S3,9,1556.30211,0.4605,0.1,6.0955
S3,10,1561.58893,0.485,0.1105,5.933
S3,11,1566.89564,0.5055,0.104,5.778
S3,12,1562.65591,0.507,0.111,5.821
S4,1,1548.5567800000001,0.4365,0.059,6.2585
S4,2,1572.5083800000002,0.486,0.123,5.8925
S4,3,1585.3309299999999,0.513,0.16,5.6125
S4,4,1599.92711,0.5695,0.172,5.283
S4,5,1576.8835100000001,0.508,0.122,5.75
S4,6,1576.6203899999998,0.4995,0.1215,5.757
S4,7,1567.37926,0.4845,0.1005,5.9145
S4,8,1572.5706100000002,0.502,0.111,5.7765
S4,9,1566.345,0.4885,0.102,5.9
S4,10,1566.60932,0.4805,0.1075,5.993
S4,11,1574.23102,0.5035,0.114,5.7855
S4,12,1576.67584,0.5115,0.1205,5.71
S5,1,1531.96254,0.409,0.0735,6.5885
S5,2,1530.21479,0.4105,0.0675,6.5975
S5,3,1528.9383300000002,0.4115,0.073,6.59
S5,4,1531.39418,0.3975,0.07,6.563
S5,5,1515.30156,0.3645,0.062,6.857
S5,6,1502.59758,0.3265,0.048,7.18
S5,7,1508.53773,0.335,0.0515,7.07
S5,8,1519.2226,0.367,0.069,6.8175
S5,9,1533.43322,0.411,0.0825,6.533
S5,10,1551.5423,0.4555,0.1005,6.143
S5,11,1567.7400400000001,0.4955,0.1195,5.8285
S5,12,1560.30893,0.476,0.1095,5.962
